pair,arm,step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
sun_moon,srd_uniform,1,2.398,0.463801,0.211874,0.220797,0.202951,20,0.00001777,0,0.137579,0.154278,0.120880,0.637963,0.622921,0.653005,0.241173,0.254862,0.227484,0.034963,0.024244,0.738687,0.767783,0.050000,0,0,0,0,0
sun_moon,srd_uniform,25,43.216,0.278241,0.336466,0.360303,0.312628,20,0.00009308,1,0.055788,0.069576,0.041999,0.866432,0.847067,0.885797,0.355565,0.385372,0.325758,0.015575,0.008252,0.607360,0.670125,0.050000,0,0,0,0,0
sun_moon,srd_uniform,50,311.153,0.229190,0.422210,0.454807,0.389613,20,0.00041449,1,0.041396,0.051858,0.030934,0.915347,0.902200,0.928493,0.440029,0.478392,0.401666,0.011619,0.006165,0.515149,0.594373,0.050000,0,0,0,0,0
sun_moon,srd_uniform,75,352.674,0.211452,0.470508,0.509644,0.431373,20,0.00046951,2,0.039479,0.047429,0.031529,0.926117,0.918401,0.933833,0.489395,0.533816,0.444973,0.010596,0.006185,0.459963,0.551282,0.050000,0,0,0,0,0
sun_moon,srd_uniform,100,621.531,0.196492,0.512188,0.535700,0.488676,20,0.00046143,2,0.036852,0.044080,0.029625,0.935671,0.926947,0.944395,0.531233,0.559313,0.503153,0.009955,0.006020,0.434533,0.492826,0.050000,0,0,0,0,0
sun_moon,srd_uniform,125,663.269,0.178115,0.562071,0.568406,0.555736,20,0.00043975,2,0.034718,0.041595,0.027841,0.943941,0.934356,0.953525,0.581628,0.592048,0.571208,0.009403,0.005495,0.402716,0.424434,0.050000,0,0,0,0,0
sun_moon,srd_uniform,150,927.150,0.156760,0.603132,0.589711,0.616553,20,0.00019745,4,0.029844,0.033276,0.026413,0.954076,0.948218,0.959935,0.621086,0.609334,0.632838,0.007358,0.005147,0.384867,0.363532,0.050000,0,0,0,0,0
sun_moon,srd_uniform,175,967.655,0.146254,0.639044,0.608172,0.669915,20,0.00032373,3,0.028342,0.031223,0.025461,0.958419,0.952576,0.964262,0.657066,0.627161,0.686972,0.007155,0.005128,0.368122,0.309672,0.050000,0,0,0,0,0
sun_moon,srd_uniform,200,1233.474,0.136989,0.654924,0.617557,0.692290,20,0.00040999,4,0.026737,0.028846,0.024628,0.961508,0.956571,0.966445,0.672356,0.635372,0.709340,0.006283,0.004837,0.359120,0.287517,0.050000,0,0,0,0,0
sun_moon,srd_uniform,225,1274.638,0.128414,0.670890,0.627412,0.714369,20,0.00011679,5,0.023673,0.024741,0.022606,0.966465,0.962945,0.969984,0.686726,0.642934,0.730518,0.005526,0.004555,0.351847,0.266661,0.050000,0,0,0,0,0
