pair	group	n	milestone	mean_steps	mean_seconds	reached
acm_scf	basic	1	iou_0p50	75	172.066	1/1
acm_scf	basic	1	iou_0p60	100	227.738	1/1
acm_scf	basic	1	iou_0p70	225	506.291	1/1
acm_scf	basic	1	iou_0p75	325	731.154	1/1
acm_scf	basic	1	iou_0p80	400	902.067	1/1
acm_scf	basic	1	iou_0p85	625	1409.03	1/1
acm_scf	basic	1	iou_0p90	-	-	0/1
acm_scf	basic	1	rel_90pct	375	844.52	1/1
acm_scf	basic	1	rel_95pct	425	958.799	1/1
acm_scf	basic	1	rel_99pct	575	1297.36	1/1
cat_face_bass	basic	1	iou_0p50	100	55.271	1/1
cat_face_bass	basic	1	iou_0p60	225	121.923	1/1
cat_face_bass	basic	1	iou_0p70	375	199.442	1/1
cat_face_bass	basic	1	iou_0p75	625	327.756	1/1
cat_face_bass	basic	1	iou_0p80	725	380.057	1/1
cat_face_bass	basic	1	iou_0p85	2325	1205.61	1/1
cat_face_bass	basic	1	iou_0p90	-	-	0/1
cat_face_bass	basic	1	rel_90pct	625	327.756	1/1
cat_face_bass	basic	1	rel_95pct	900	473.653	1/1
cat_face_bass	basic	1	rel_99pct	2250	1167.64	1/1
dance_argument	basic	1	iou_0p50	125	190.902	1/1
dance_argument	basic	1	iou_0p60	200	301.647	1/1
dance_argument	basic	1	iou_0p70	300	450.803	1/1
dance_argument	basic	1	iou_0p75	375	563.875	1/1
dance_argument	basic	1	iou_0p80	575	864.081	1/1
dance_argument	basic	1	iou_0p85	1800	2727.66	1/1
dance_argument	basic	1	iou_0p90	-	-	0/1
dance_argument	basic	1	rel_90pct	450	677.646	1/1
dance_argument	basic	1	rel_95pct	1275	1926.41	1/1
dance_argument	basic	1	rel_99pct	2325	3527.86	1/1
robot_man	basic	1	iou_0p50	50	29.717	1/1
robot_man	basic	1	iou_0p60	100	59.409	1/1
robot_man	basic	1	iou_0p70	175	104.349	1/1
robot_man	basic	1	iou_0p75	225	133.915	1/1
robot_man	basic	1	iou_0p80	300	176.997	1/1
robot_man	basic	1	iou_0p85	575	333.704	1/1
robot_man	basic	1	iou_0p90	-	-	0/1
robot_man	basic	1	rel_90pct	275	162.67	1/1
robot_man	basic	1	rel_95pct	550	319.418	1/1
robot_man	basic	1	rel_99pct	975	564.463	1/1
sun_moon	basic	1	iou_0p50	75	72.539	1/1
sun_moon	basic	1	iou_0p60	100	96.122	1/1
sun_moon	basic	1	iou_0p70	200	190.142	1/1
sun_moon	basic	1	iou_0p75	450	426.094	1/1
sun_moon	basic	1	iou_0p80	975	919.951	1/1
sun_moon	basic	1	iou_0p85	-	-	0/1
sun_moon	basic	1	iou_0p90	-	-	0/1
sun_moon	basic	1	rel_90pct	325	307.733	1/1
sun_moon	basic	1	rel_95pct	550	520.298	1/1
sun_moon	basic	1	rel_99pct	975	919.951	1/1
teapot_droplets	basic	1	iou_0p50	50	90.922	1/1
teapot_droplets	basic	1	iou_0p60	125	223.086	1/1
teapot_droplets	basic	1	iou_0p70	275	491.787	1/1
teapot_droplets	basic	1	iou_0p75	375	667.741	1/1
teapot_droplets	basic	1	iou_0p80	-	-	0/1
teapot_droplets	basic	1	iou_0p85	-	-	0/1
teapot_droplets	basic	1	iou_0p90	-	-	0/1
teapot_droplets	basic	1	rel_90pct	300	536.433	1/1
teapot_droplets	basic	1	rel_95pct	375	667.741	1/1
teapot_droplets	basic	1	rel_99pct	1700	2972.12	1/1
water_fire	basic	1	iou_0p50	100	49.238	1/1
water_fire	basic	1	iou_0p60	150	73.238	1/1
water_fire	basic	1	iou_0p70	200	97.559	1/1
water_fire	basic	1	iou_0p75	425	204.851	1/1
water_fire	basic	1	iou_0p80	1275	605.898	1/1
water_fire	basic	1	iou_0p85	-	-	0/1
water_fire	basic	1	iou_0p90	-	-	0/1
water_fire	basic	1	rel_90pct	350	169.611	1/1
water_fire	basic	1	rel_95pct	825	398.117	1/1
water_fire	basic	1	rel_99pct	1275	605.898	1/1
