patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
26,-1,0.084977,0.950736,0.953949,0.947523,0.983018,0.966634,0.033948
25,9,0.088022,0.949152,0.946003,0.952300,0.980942,0.967042,0.033519
24,3,0.083793,0.950293,0.955504,0.945082,0.979253,0.969811,0.030479
23,9,0.080973,0.953694,0.957494,0.949895,0.980896,0.971743,0.028523
22,2,0.079854,0.952434,0.958646,0.946222,0.979387,0.971897,0.028316
21,21,0.085770,0.949484,0.952659,0.946310,0.977828,0.970372,0.029854
20,8,0.087187,0.949741,0.954329,0.945153,0.976309,0.972140,0.027977
19,19,0.101155,0.940961,0.942151,0.939770,0.970504,0.968667,0.031396
18,16,0.101768,0.942884,0.932471,0.953298,0.965454,0.975750,0.023983
17,15,0.111343,0.936406,0.921978,0.950834,0.960373,0.973951,0.025655
16,11,0.119888,0.931337,0.926739,0.935936,0.955772,0.973273,0.026252
15,4,0.136682,0.923300,0.907370,0.939229,0.946172,0.974357,0.024866
14,9,0.147144,0.916960,0.907683,0.926236,0.942606,0.971134,0.028028
13,13,0.160384,0.908982,0.889868,0.928095,0.934960,0.970195,0.028667
12,12,0.190538,0.892353,0.883988,0.900718,0.920757,0.966542,0.031873
11,10,0.218277,0.878781,0.882602,0.874960,0.904039,0.969619,0.028687
10,6,0.241222,0.865931,0.875326,0.856535,0.889266,0.970863,0.026867
9,9,0.270383,0.851038,0.852119,0.849957,0.876256,0.967599,0.029618
8,2,0.305153,0.830751,0.815479,0.846024,0.858704,0.962123,0.033819
7,4,0.370352,0.796318,0.798780,0.793856,0.819146,0.966262,0.028654
6,6,0.462069,0.745742,0.725819,0.765664,0.771936,0.956287,0.035211
5,3,0.575201,0.687587,0.695669,0.679506,0.712445,0.952094,0.036059
4,2,0.719334,0.609064,0.550202,0.667925,0.631613,0.943463,0.037305
3,1,0.907402,0.505836,0.424195,0.587476,0.520179,0.945466,0.028863
2,2,1.145536,0.374120,0.151711,0.596530,0.383533,0.914405,0.024507
1,0,1.412342,0.228992,0.127155,0.330829,0.234558,0.894852,0.023352
