job	pair	arm	config	seed	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_axe_shield_srd_aw0p1875	axe_shield	srd	aw0p1875	0	converged	1950	0.076553	0.941286	0.896095	0.986476	0.941286	1950	0.970288	0.970834	17	20	23	17	18.671	0.029365	0.970502	0.967896	0.00002701	3	0	6	6609.672
neg_axe_tree_srd_aw0p1875	axe_tree	srd	aw0p1875	0	converged	1500	0.158516	0.878350	0.868086	0.888613	0.913788	950	0.926128	0.956132	18	20	20	18	19.443	0.077902	0.926857	0.946302	0.00001996	0	0	2	5426.574
neg_dance_sitting_srd_aw0p1875	dance_sitting	srd	aw0p1875	0	converged	1700	0.239153	0.826933	0.763178	0.890689	0.830933	1500	0.927108	0.930073	18	20	20	18	18.522	0.062761	0.933712	0.876062	0.00006030	0	0	2	6024.990
neg_guitar_dance_srd_aw0p1875	guitar_dance	srd	aw0p1875	0	converged	2550	0.207263	0.838014	0.891140	0.784888	0.841323	2525	0.921649	0.92355	18	20	20	18	18.447	0.073543	0.924065	0.898259	0.00005647	0	0	2	9230.017
neg_happy_sad_srd_aw0p1875	happy_sad	srd	aw0p1875	0	converged	1500	0.132166	0.919032	0.958870	0.879195	0.933782	825	0.981139	0.981403	17	20	20	17	18.574	0.012153	0.987534	0.930503	0.00004714	0	0	3	8601.726
neg_tshirt_pants_srd_aw0p1875	tshirt_pants	srd	aw0p1875	0	converged	3100	0.017519	0.987091	0.988248	0.985933	0.988256	3000	0.994412	0.995595	17	20	23	17	18.488	0.005349	0.994671	0.992375	0.00000948	2	1	6	9797.637
neg_axe_shield_hinge2_aw0p1875	axe_shield	hinge2	aw0p1875	0	converged	1700	0.095204	0.927377	0.879839	0.974915	0.929688	1400	0.960751	0.965033	15	20	23	15	18.101	0.039574	0.960556	0.962825	0.00001160	3	0	8	5353.867
neg_axe_tree_hinge2_aw0p1875	axe_tree	hinge2	aw0p1875	0	converged	1500	0.113890	0.914942	0.931116	0.898769	0.916673	1175	0.960224	0.962089	17	20	20	17	18.705	0.038188	0.961957	0.950120	0.00001096	0	0	3	8606.767
neg_dance_sitting_hinge2_aw0p1875	dance_sitting	hinge2	aw0p1875	0	converged	1775	0.246833	0.820580	0.764759	0.876400	0.823330	1475	0.929026	0.932238	18	20	20	18	18.944	0.058752	0.936957	0.866667	0.00048118	0	0	2	6429.847
neg_guitar_dance_hinge2_aw0p1875	guitar_dance	hinge2	aw0p1875	0	converged	2300	0.207004	0.839793	0.886169	0.793417	0.844783	2000	0.924664	0.935324	18	20	20	18	18.667	0.069876	0.927464	0.897586	0.00009680	0	0	2	8349.151
neg_happy_sad_hinge2_aw0p1875	happy_sad	hinge2	aw0p1875	0	shed_converged	1500	0.137093	0.915713	0.952341	0.879086	0.931166	875	0.980828	0.983376	10	20	20	10	14.066	0.012000	0.987367	0.926831	0.00020096	0	0	10	7975.673
neg_tshirt_pants_hinge2_aw0p1875	tshirt_pants	hinge2	aw0p1875	0	shed_converged	1500	0.047701	0.967291	0.954831	0.979751	0.967291	1500	0.987265	0.989934	4	20	23	4	7.770	0.011628	0.988278	0.978441	0.00066759	2	1	19	2792.636
