job	pair	arm	config	seed	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_sun_moon_srd_softiou	sun_moon	srd	softiou	0	converged	2200	0.229367	0.886450	0.807771	0.965130	0.888304	1900	0.914034	0.914224	19	20	20	19	19.674	0.097449	0.911198	0.967292	0.00017527	0	0	1	8215.522
neg_water_fire_srd_softiou	water_fire	srd	softiou	0	converged	1625	0.138800	0.932168	0.958559	0.905777	0.937280	1325	0.95417	0.959139	20	20	22	20	20.061	0.049724	0.952114	0.977844	0.00057314	1	1	2	6069.972
neg_cat_face_bass_srd_softiou	cat_face_bass	srd	softiou	0	converged	3150	0.123887	0.939012	0.936317	0.941708	0.943468	2875	0.96251	0.966849	18	20	20	18	18.551	0.039601	0.961075	0.976180	0.00003568	0	0	2	17531.024
neg_horse_circle_srd_softiou	horse_circle	srd	softiou	0	converged	1500	0.175887	0.914567	0.855884	0.973250	0.924386	525	0.933356	0.950499	18	20	23	18	19.148	0.075640	0.930202	0.980592	0.00001402	2	1	5	8389.766
neg_robot_man_srd_softiou	robot_man	srd	softiou	0	converged	1500	0.201110	0.901814	0.890345	0.913284	0.911512	950	0.931348	0.939956	18	20	23	18	20.033	0.076222	0.927190	0.970569	0.00308070	3	0	5	9128.103
neg_sun_moon_srd_tversky_r5p33	sun_moon	srd	tversky_r5p33	0	converged	1500	0.117780	0.835047	0.744947	0.925148	0.840499	1075	0.94948	0.961106	19	20	20	19	19.230	0.035684	0.958716	0.862327	0.00020640	0	0	1	5649.092
neg_water_fire_srd_tversky_r5p33	water_fire	srd	tversky_r5p33	0	converged	2725	0.045737	0.929841	0.958654	0.901028	0.932912	2525	0.981134	0.981411	16	20	20	16	16.909	0.013716	0.985564	0.942262	0.00007994	0	0	4	8200.207
neg_cat_face_bass_srd_tversky_r5p33	cat_face_bass	srd	tversky_r5p33	0	converged	2050	0.058083	0.912591	0.902860	0.922323	0.916230	1725	0.97433	0.975827	15	20	20	15	16.518	0.019482	0.979673	0.930250	0.00017290	0	0	5	10440.605
neg_horse_circle_srd_tversky_r5p33	horse_circle	srd	tversky_r5p33	0	converged	2750	0.103824	0.897354	0.817630	0.977077	0.899064	2450	0.950025	0.950997	17	20	20	17	18.045	0.047771	0.951176	0.937030	0.00000127	0	0	3	9691.340
neg_robot_man_srd_tversky_r5p33	robot_man	srd	tversky_r5p33	0	converged	1500	0.093542	0.879318	0.819243	0.939394	0.885945	650	0.958194	0.966198	19	20	20	19	19.328	0.033984	0.963791	0.909181	0.00059544	0	0	1	5567.901
neg_sun_moon_srd_tversky_sym	sun_moon	srd	tversky_sym	0	converged	2675	0.135225	0.878826	0.791401	0.966252	0.882334	2375	0.930803	0.936019	18	20	20	18	19.500	0.070281	0.930017	0.936402	0.00020233	0	0	2	10040.782
neg_water_fire_srd_tversky_sym	water_fire	srd	tversky_sym	0	converged	3625	0.083035	0.921558	0.951231	0.891884	0.928089	3325	0.950904	0.956014	19	20	20	19	19.260	0.052168	0.948937	0.969136	0.00064412	0	0	1	12506.677
neg_cat_face_bass_srd_tversky_sym	cat_face_bass	srd	tversky_sym	0	converged	1925	0.083319	0.921534	0.890463	0.952605	0.922339	1625	0.946052	0.946099	16	20	20	16	16.744	0.058912	0.944814	0.974502	0.00000230	0	0	4	5825.597
neg_horse_circle_srd_tversky_sym	horse_circle	srd	tversky_sym	0	converged	1500	0.085873	0.921816	0.867294	0.976339	0.923506	1250	0.950164	0.953518	19	20	23	19	19.885	0.052987	0.948447	0.968767	0.00000022	3	0	4	5652.606
neg_robot_man_srd_tversky_sym	robot_man	srd	tversky_sym	0	converged	1625	0.096018	0.908674	0.922231	0.895116	0.913238	1350	0.92749	0.930902	17	20	20	17	18.485	0.083778	0.922516	0.984403	0.00014237	0	0	3	8691.347
neg_sun_moon_srd_tversky_r2	sun_moon	srd	tversky_r2	0	converged	2025	0.123869	0.881747	0.797461	0.966034	0.885372	1725	0.947288	0.947994	19	20	20	19	19.488	0.048264	0.949252	0.921570	0.00029837	0	0	1	12227.562
neg_water_fire_srd_tversky_r2	water_fire	srd	tversky_r2	0	converged	1750	0.108273	0.900912	0.953286	0.848537	0.903859	1350	0.946041	0.955895	16	20	20	16	17.972	0.054346	0.945900	0.948256	0.00005691	0	0	4	5906.161
neg_cat_face_bass_srd_tversky_r2	cat_face_bass	srd	tversky_r2	0	converged	1975	0.063906	0.937365	0.913957	0.960774	0.938830	1775	0.970141	0.971417	18	20	22	18	18.675	0.028999	0.970843	0.964222	0.00057079	0	2	4	6996.725
neg_horse_circle_srd_tversky_r2	horse_circle	srd	tversky_r2	0	converged	1500	0.151704	0.868302	0.759503	0.977101	0.874003	550	0.924499	0.939229	18	20	20	18	18.393	0.076152	0.924019	0.927724	0.00000259	0	0	2	4939.663
neg_robot_man_srd_tversky_r2	robot_man	srd	tversky_r2	0	converged	2350	0.119027	0.887324	0.849333	0.925314	0.915113	2000	0.941759	0.963398	17	20	20	17	17.611	0.057591	0.941926	0.938146	0.00036063	0	0	3	7838.956
