job	pair	arm	config	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_sun_moon_srd_aw0p125	sun_moon	srd	aw0p125	converged	2050	0.179243	0.853867	0.757758	0.949976	0.861409	1750	0.952011	0.957114	15	20	20	15	16.952	0.036366	0.958707	0.882464	0.00016258	0	0	5	6724.252
neg_water_fire_srd_aw0p125	water_fire	srd	aw0p125	converged	1500	0.099884	0.907383	0.941339	0.873427	0.914841	1075	0.957084	0.964936	15	20	20	15	16.311	0.040852	0.958362	0.944261	0.00014436	0	0	5	4582.679
neg_cat_face_bass_srd_aw0p125	cat_face_bass	srd	aw0p125	converged	1500	0.141397	0.900943	0.900114	0.901771	0.904872	975	0.953013	0.964291	18	20	20	18	18.689	0.045087	0.954323	0.941560	0.00008157	0	0	2	5017.184
neg_dance_argument_srd_aw0p125	dance_argument	srd	aw0p125	converged	1875	0.221335	0.820536	0.775700	0.865373	0.824353	1850	0.919505	0.929325	17	20	20	17	19.316	0.071860	0.924707	0.878064	0.00003454	0	0	3	6751.552
neg_horse_circle_srd_aw0p125	horse_circle	srd	aw0p125	converged	1825	0.226333	0.884047	0.796046	0.972048	0.889683	1525	0.928475	0.941829	17	20	20	17	18.568	0.074768	0.927587	0.944963	0.00000077	0	0	3	10417.843
neg_acm_scf_srd_aw0p125	acm_scf	srd	aw0p125	converged	1525	0.313619	0.731744	0.603171	0.860317	0.738295	875	0.8982	0.8982	17	20	20	17	19.742	0.077168	0.920044	0.794285	0.00000000	0	0	3	5831.742
neg_teapot_droplets_srd_aw0p125	teapot_droplets	srd	aw0p125	converged	1500	0.283739	0.691881	0.773127	0.610635	0.701597	625	0.790889	0.824143	20	20	20	20	20.000	0.225775	0.819057	0.832047	0.00045535	0	0	0	5689.503
neg_sun_moon_hinge2_aw0p125	sun_moon	hinge2	aw0p125	converged	1500	0.187155	0.848616	0.757910	0.939322	0.855953	1200	0.949555	0.951398	18	20	20	18	18.590	0.038336	0.956735	0.878384	0.00025069	0	0	2	5389.789
neg_water_fire_hinge2_aw0p125	water_fire	hinge2	aw0p125	converged	1500	0.103767	0.904083	0.936577	0.871588	0.908561	900	0.953559	0.955011	16	20	20	16	17.049	0.044919	0.954436	0.944346	0.00010786	0	0	4	4734.162
neg_cat_face_bass_hinge2_aw0p125	cat_face_bass	hinge2	aw0p125	shed_converged	2750	0.110882	0.915028	0.912879	0.917176	0.931276	2150	0.965673	0.968417	9	20	20	9	16.730	0.030966	0.968218	0.943359	0.00002258	0	0	11	9484.873
neg_dance_argument_hinge2_aw0p125	dance_argument	hinge2	aw0p125	converged	1500	0.201535	0.830591	0.788692	0.872491	0.838748	1200	0.928328	0.935143	20	20	20	20	20.000	0.062410	0.934030	0.881285	0.00000761	0	0	0	5873.309
