config	arm	n	final_mean_iou	best_mean_iou	final_mean_tversky	best_mean_tversky	final_patches	max_patches	final_mean_spill	final_mean_coverage	srd_total_deletes	final_step	total_seconds
aw0p125	srd	7	0.8272	0.833579	0.914168	0.925691	17	20	0.0816966	0.888235	3	1682.14	6430.68
aw0p125	hinge2	7	0.848386	0.854509	0.92711	0.93053	16.7143	20	0.0684669	0.902422	3.28571	2092.86	7265.84
nonorm4	srd	7	0.794038	0.800109	0.932315	0.93978	16.7143	20	0.0449159	0.825749	3.28571	2296.43	7693.06
nonorm4	hinge2	7	0.763653	0.781245	0.924189	0.935455	17.1429	20	0.0456581	0.794011	2.85714	1860.71	6763.39
aw0p1875	srd	7	0.851731	0.857417	0.914342	0.922575	17.1429	20.4286	0.0872061	0.920789	3.28571	2135.71	7467.67
aw0p1875	hinge2	7	0.841359	0.845887	0.90732	0.915782	16	20.4286	0.0960866	0.914562	4.42857	1975	7529.9
