job	pair	arm	count_target_iou	count_lambda	count_power	count_margin_reward	count_hard_floor	count_start_mode	delete_eval_steps	shed_patience_evals	seed	stop_reason	final_step	count_target_reached	count_final_deficit	final_mean_iou	best_mean_iou	final_patches	shed_entered_step	shed_entry_patches	shed_entry_mean_iou	shed_evals	min_iou_after_target	patches_at_threshold	patches_shed_after_threshold	start_patches	max_patches	min_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
h2_sun_moon_l200	sun_moon	l200	0.91	200	1	5	True	on_target	15	8	0	shed_converged	1050	True	0.000000	0.912990	0.945011	14	450	34	0.931712	25	0.843960	36	22	20	36	14	0.037030	0.961959	0.945140	0.00075212	17	0	23	5477.459
h2_sun_moon_l2000	sun_moon	l2000	0.91	2000	1	5	True	on_target	15	8	0	shed_converged	1250	True	0.000000	0.923034	0.938284	16	500	33	0.934960	31	0.899395	33	17	20	35	16	0.034105	0.965347	0.954190	0.00003772	15	0	19	6435.214
h2_sun_moon_l500	sun_moon	l500	0.91	500	1	5	True	on_target	15	8	0	shed_converged	1300	True	0.000000	0.917199	0.933200	14	525	34	0.932681	32	0.885808	35	21	20	35	14	0.030815	0.967977	0.943763	0.00000000	14	1	21	7295.380
h2_water_fire_l200	water_fire	l200	0.91	200	1	5	True	on_target	15	8	0	shed_converged	1300	True	0.000000	0.923648	0.937860	9	675	22	0.930982	26	0.906017	23	14	20	27	9	0.057268	0.944918	0.975843	0.00000258	10	0	21	4825.066
h2_water_fire_l2000	water_fire	l2000	0.91	2000	1	5	True	on_target	15	8	0	shed_converged	1400	True	0.000000	0.920969	0.936519	8	675	23	0.933113	30	0.873835	24	16	20	27	8	0.049650	0.951195	0.966433	0.00000134	11	1	24	8441.073
h2_water_fire_l500	water_fire	l500	0.91	500	1	5	True	on_target	15	8	0	shed_converged	1100	True	0.000000	0.922976	0.930264	9	575	28	0.930264	22	0.881380	29	20	20	29	9	0.056664	0.945948	0.973719	0.00001211	12	0	23	4924.162
h2_cat_face_bass_l200	cat_face_bass	l200	0.91	200	1	5	True	on_target	15	8	0	shed_converged	1450	True	0.000000	0.919938	0.931161	12	600	27	0.930904	35	0.898207	28	16	20	29	12	0.022900	0.976335	0.940939	0.00012785	15	0	23	7037.135
h2_cat_face_bass_l2000	cat_face_bass	l2000	0.91	2000	1	5	True	on_target	15	8	0	shed_converged	1250	True	0.000000	0.915515	0.933157	10	425	36	0.932261	34	0.895089	34	24	20	36	10	0.032083	0.967314	0.944481	0.00062915	21	0	31	6405.980
h2_cat_face_bass_l500	cat_face_bass	l500	0.91	500	1	5	True	on_target	15	8	0	shed_converged	1000	True	0.000000	0.917367	0.935665	13	375	28	0.935665	26	0.906410	30	17	20	32	13	0.041205	0.958558	0.954998	0.00011992	16	0	23	7602.963
h2_dance_argument_l200	dance_argument	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1100	False	0.043893	0.866107	0.884130	29	-1	-1	-1	0	-1	-1	-1	20	31	20	0.091488	0.912592	0.944626	0.00020954	16	1	8	5951.462
