step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
750,3318.782,0.478635,0.693108,0.617420,0.768797,23,0.00049521,1,0.099606,0.041824,0.157388,0.894327,0.938949,0.849704,0.766519,0.643242,0.889796,0.015135,0.022139,0.108523,0.032269
775,3348.996,0.478349,0.691460,0.618841,0.764078,23,0.00044831,1,0.100962,0.039311,0.162612,0.893834,0.942399,0.845270,0.765748,0.643169,0.888327,0.014449,0.022621,0.107984,0.032826
800,3540.353,0.473698,0.693648,0.617651,0.769644,23,0.00047727,0,0.097990,0.040715,0.155265,0.895884,0.940432,0.851337,0.765971,0.642799,0.889143,0.015016,0.020892,0.108540,0.031295
825,3570.187,0.473756,0.694992,0.619061,0.770922,23,0.00050249,1,0.096533,0.042045,0.151020,0.896685,0.938811,0.854560,0.766218,0.645090,0.887347,0.015522,0.020697,0.108361,0.031331
850,3760.880,0.472808,0.695203,0.618060,0.772346,23,0.00046766,0,0.094881,0.040863,0.148898,0.898292,0.940274,0.856310,0.765332,0.643316,0.887347,0.015110,0.020538,0.108461,0.031208
875,3789.847,0.471862,0.698803,0.622359,0.775248,23,0.00045423,0,0.098313,0.042341,0.154286,0.895835,0.938730,0.852941,0.771784,0.648711,0.894857,0.015801,0.021431,0.107484,0.031082
900,3980.557,0.468744,0.699800,0.623074,0.776525,23,0.00053044,0,0.099742,0.040789,0.158694,0.895446,0.940823,0.850069,0.774122,0.648489,0.899755,0.015012,0.021736,0.107068,0.030683
925,4010.136,0.466777,0.703102,0.623846,0.782357,23,0.00056538,1,0.098651,0.040568,0.156735,0.896779,0.941183,0.852376,0.777067,0.649154,0.904980,0.015104,0.021812,0.106881,0.030121
950,4203.587,0.461966,0.705344,0.624246,0.786442,23,0.00054966,0,0.097359,0.041085,0.153633,0.897864,0.940541,0.855186,0.778579,0.649893,0.907265,0.015000,0.021027,0.106655,0.029192
975,4232.857,0.464147,0.703702,0.619102,0.788302,23,0.00056724,0,0.092935,0.041380,0.144490,0.900822,0.939688,0.861956,0.773462,0.644720,0.902204,0.015391,0.019828,0.108267,0.028707
1000,4421.193,0.467033,0.701558,0.618490,0.784626,23,0.00055364,0,0.094196,0.041454,0.146939,0.899586,0.939534,0.859638,0.772024,0.644129,0.899918,0.015361,0.020109,0.108547,0.029267
1025,4449.773,0.463032,0.704185,0.617872,0.790497,23,0.00064459,0,0.087888,0.041898,0.133878,0.904471,0.938894,0.870048,0.770043,0.643760,0.896327,0.015505,0.018605,0.108706,0.028432
1050,4638.095,0.455723,0.710399,0.624522,0.796275,23,0.00060278,0,0.087297,0.043819,0.130776,0.905097,0.937015,0.873179,0.776148,0.651888,0.900408,0.016236,0.018169,0.106959,0.027605
1075,4666.653,0.462874,0.704492,0.622523,0.786461,23,0.00052714,0,0.094309,0.047883,0.140735,0.898009,0.931617,0.864401,0.774737,0.652331,0.897143,0.017741,0.018455,0.107882,0.028189
1100,4854.605,0.467058,0.700811,0.622288,0.779334,23,0.00035588,0,0.095679,0.048991,0.142367,0.896161,0.930188,0.862134,0.771530,0.652775,0.890286,0.017930,0.018715,0.107935,0.029346
1125,4883.122,0.463355,0.701984,0.623327,0.780641,23,0.00031256,1,0.091847,0.043449,0.140245,0.900634,0.937380,0.863888,0.770266,0.650410,0.890122,0.016175,0.019006,0.107196,0.029593
1150,5070.741,0.457855,0.706269,0.627727,0.784810,23,0.00025288,1,0.089050,0.043080,0.135020,0.903321,0.938268,0.868375,0.772773,0.654770,0.890776,0.016043,0.018747,0.105930,0.029234
1175,5099.135,0.461509,0.704233,0.627150,0.781317,23,0.00018128,0,0.093530,0.044040,0.143020,0.899469,0.936978,0.861960,0.773916,0.654770,0.893061,0.016424,0.019437,0.106339,0.029525
1200,5283.852,0.460460,0.707501,0.621779,0.793223,23,0.00016884,0,0.087958,0.043671,0.132245,0.904300,0.936947,0.871653,0.773527,0.648932,0.898122,0.016312,0.018637,0.107821,0.028151
1225,5312.607,0.454094,0.710192,0.624485,0.795898,23,0.00022804,0,0.089427,0.040568,0.138286,0.904406,0.941239,0.867573,0.777889,0.649819,0.905959,0.015087,0.019011,0.106682,0.027581
1250,5502.023,0.445551,0.714220,0.627577,0.800863,23,0.00017074,1,0.089184,0.042858,0.135510,0.904426,0.938540,0.870313,0.781931,0.654474,0.909388,0.015909,0.017472,0.105977,0.025810
1275,5531.266,0.447191,0.715846,0.630977,0.800716,23,0.00017860,1,0.090229,0.040050,0.140408,0.904605,0.942481,0.866729,0.784695,0.656248,0.913143,0.015052,0.019305,0.104890,0.026954
1300,5720.013,0.445558,0.715898,0.628070,0.803725,23,0.00017325,0,0.090227,0.040863,0.139592,0.904460,0.941170,0.867749,0.784827,0.653735,0.915918,0.015310,0.018367,0.105808,0.025833
1325,5749.029,0.449991,0.713717,0.629858,0.797577,23,0.00019875,0,0.093602,0.041898,0.145306,0.901374,0.939987,0.862760,0.784859,0.656248,0.913469,0.015401,0.019597,0.105230,0.027222
1350,5939.447,0.445164,0.714546,0.626288,0.802805,23,0.00019096,1,0.090474,0.040050,0.140898,0.904376,0.942075,0.866677,0.783645,0.651371,0.915918,0.014653,0.018454,0.105863,0.025927
1375,5968.977,0.445772,0.715059,0.625472,0.804646,23,0.00017897,1,0.084491,0.037390,0.131592,0.909621,0.945515,0.873727,0.779694,0.648858,0.910531,0.014035,0.018169,0.106165,0.026282
1400,6161.547,0.446359,0.716939,0.625595,0.808282,23,0.00023038,1,0.089370,0.039311,0.139429,0.905750,0.942986,0.868514,0.785584,0.650188,0.920980,0.014459,0.019160,0.106156,0.025767
1425,6190.985,0.442412,0.719148,0.625463,0.812833,23,0.00021823,1,0.084707,0.037168,0.132245,0.910085,0.945809,0.874360,0.784519,0.648711,0.920327,0.013943,0.018216,0.106179,0.025161
1450,6382.894,0.442993,0.719679,0.625632,0.813725,23,0.00023092,1,0.084825,0.037242,0.132408,0.910043,0.945725,0.874361,0.785201,0.648932,0.921469,0.014050,0.018427,0.106235,0.025137
1475,6412.156,0.442983,0.718909,0.628746,0.809073,23,0.00021059,1,0.087644,0.037981,0.137306,0.907580,0.945003,0.870156,0.786395,0.652627,0.920163,0.014031,0.019014,0.105228,0.025862
1500,6605.302,0.434678,0.724848,0.626861,0.822835,23,0.00019323,1,0.078384,0.037095,0.119673,0.915530,0.946022,0.885038,0.785710,0.650115,0.921306,0.013979,0.016711,0.105786,0.023717
1525,6634.362,0.428034,0.727321,0.627603,0.827039,23,0.00019848,1,0.073503,0.035986,0.111020,0.919878,0.947555,0.892200,0.784523,0.650188,0.918857,0.013528,0.015339,0.105489,0.022709
1550,6819.916,0.430400,0.725855,0.623228,0.828483,22,0.00024026,1,0.073976,0.037095,0.110857,0.919110,0.945724,0.892495,0.783336,0.646346,0.920327,0.013715,0.015161,0.106620,0.022353
1575,6848.289,0.430122,0.726100,0.622015,0.830186,22,0.00016553,1,0.071558,0.036503,0.106612,0.921217,0.946415,0.896019,0.781707,0.644720,0.918694,0.013622,0.014619,0.107084,0.022131
1600,7028.830,0.430311,0.726008,0.619102,0.832914,22,0.00005670,1,0.069954,0.036725,0.103184,0.922460,0.945878,0.899042,0.780348,0.641838,0.918857,0.013478,0.014183,0.107785,0.021809
1625,7056.705,0.434518,0.723140,0.622776,0.823504,22,0.00006690,1,0.075510,0.038203,0.112816,0.917299,0.944211,0.890387,0.781488,0.646568,0.916408,0.014104,0.015547,0.106825,0.023174
1650,7240.639,0.432863,0.722669,0.623940,0.821397,22,0.00008436,1,0.077078,0.037095,0.117061,0.916319,0.945782,0.886855,0.782318,0.647085,0.917551,0.013794,0.015534,0.106461,0.023143
1675,7268.811,0.428703,0.727664,0.628986,0.826342,22,0.00008651,1,0.075599,0.038055,0.113143,0.917698,0.944926,0.890469,0.786380,0.652922,0.919837,0.014257,0.015508,0.105219,0.022780
1700,7451.534,0.425356,0.728853,0.632797,0.824908,22,0.00010907,1,0.076023,0.037760,0.114286,0.917521,0.945627,0.889415,0.787937,0.656691,0.919184,0.013988,0.015585,0.103972,0.023001
1725,7480.004,0.419273,0.735298,0.641644,0.828953,22,0.00011377,1,0.075730,0.039459,0.112000,0.917902,0.944142,0.891661,0.794379,0.666962,0.921796,0.014764,0.015613,0.101770,0.022772
1750,7664.031,0.408553,0.738914,0.657915,0.819913,22,0.00010513,1,0.080919,0.038572,0.123265,0.914262,0.946566,0.881957,0.802136,0.683293,0.920980,0.014307,0.016620,0.096957,0.023739
1775,7692.629,0.398619,0.746205,0.671622,0.820787,22,0.00005023,1,0.083389,0.038942,0.127837,0.912901,0.947141,0.878661,0.811745,0.697776,0.925714,0.014643,0.017324,0.093138,0.023739
1800,7877.412,0.394843,0.747620,0.677994,0.817246,22,0.00014222,1,0.084066,0.041602,0.126531,0.911769,0.944368,0.879171,0.813426,0.706200,0.920653,0.015250,0.017152,0.091194,0.024186
1825,7905.970,0.388031,0.754146,0.682740,0.825552,22,0.00008707,1,0.078819,0.042045,0.115592,0.916343,0.944199,0.888486,0.816213,0.711446,0.920980,0.015756,0.016139,0.090123,0.023252
1850,8088.159,0.388218,0.756385,0.685027,0.827743,22,0.00011142,1,0.081174,0.047735,0.114612,0.913570,0.937639,0.889501,0.820170,0.717727,0.922612,0.017797,0.015738,0.089880,0.022732
1875,8116.766,0.378893,0.762798,0.704031,0.821564,22,0.00011988,2,0.085558,0.052095,0.119020,0.909834,0.934290,0.885377,0.830027,0.740708,0.919347,0.019326,0.016365,0.084772,0.023653
1900,8304.009,0.371699,0.768971,0.711131,0.826810,22,0.00007419,1,0.083520,0.057489,0.109551,0.911152,0.928982,0.893323,0.834701,0.752014,0.917388,0.021336,0.015063,0.082976,0.022707
1925,8332.450,0.362101,0.771253,0.714929,0.827576,22,0.00049172,1,0.080249,0.049804,0.110694,0.915144,0.937771,0.892517,0.834860,0.750536,0.919184,0.018208,0.015286,0.081114,0.022724
1950,8517.166,0.353873,0.775267,0.714629,0.835905,22,0.00021361,2,0.072742,0.045075,0.100408,0.922333,0.943081,0.901584,0.833339,0.746841,0.919837,0.016715,0.013912,0.081154,0.021441
1975,8545.576,0.357300,0.773879,0.713195,0.834564,22,0.00019153,2,0.075154,0.045001,0.105306,0.920298,0.943058,0.897538,0.833869,0.745289,0.922449,0.016829,0.014595,0.081633,0.021711
2000,8732.352,0.359830,0.771419,0.714397,0.828441,22,0.00012271,2,0.078745,0.045001,0.112490,0.917185,0.943148,0.891222,0.834089,0.746545,0.921633,0.016738,0.015457,0.081275,0.022543
2025,8760.937,0.356659,0.773088,0.715419,0.830758,22,0.00015183,2,0.076345,0.043302,0.109388,0.919535,0.945167,0.893903,0.834015,0.746398,0.921633,0.016455,0.014868,0.081087,0.022103
2050,8946.584,0.358896,0.772566,0.712314,0.832818,22,0.00014971,2,0.076751,0.044114,0.109388,0.919072,0.944007,0.894138,0.833828,0.743738,0.923918,0.016518,0.015091,0.081873,0.021920
2075,8975.113,0.351515,0.777023,0.712332,0.841714,22,0.00011144,2,0.070053,0.042637,0.097469,0.925133,0.945709,0.904556,0.833229,0.742703,0.923755,0.016071,0.013512,0.081733,0.020621
2100,9160.858,0.365395,0.767614,0.710618,0.824610,22,0.00012447,2,0.082234,0.044632,0.119837,0.914210,0.943286,0.885133,0.832881,0.742334,0.923429,0.016291,0.016543,0.082047,0.023305
