step,loss
1,0.917338
10,0.866779
20,0.817114
30,0.791396
40,0.772706
50,0.750062
60,0.727550
70,0.704070
80,0.679318
90,0.658264
100,0.641608
110,0.627047
120,0.616684
130,0.608410
140,0.598358
150,0.588423
160,0.581780
170,0.574851
180,0.568382
190,0.559804
200,0.549194
210,0.541606
220,0.534701
230,0.526971
240,0.519853
250,0.515392
260,0.506725
270,0.495345
280,0.478615
290,0.462417
300,0.435591
310,0.410081
320,0.390495
330,0.377668
340,0.381969
350,0.380237
360,0.379971
370,0.375263
380,0.372021
390,0.373411
400,0.373910
410,0.372113
420,0.371955
430,0.367965
440,0.365309
450,0.364848
460,0.363773
470,0.364136
480,0.362767
490,0.360005
500,0.356391
510,0.356655
520,0.353983
530,0.352111
540,0.356768
550,0.359394
560,0.362514
570,0.370988
580,0.382683
590,0.393468
600,0.403793
610,0.413673
620,0.422477
630,0.427850
640,0.435001
650,0.442905
660,0.449694
670,0.459235
680,0.467042
690,0.476059
700,0.482471
710,0.487930
720,0.494172
730,0.500141
740,0.502786
750,0.504490
760,0.504909
770,0.505664
780,0.508309
790,0.514706
800,0.516299
810,0.514571
820,0.517232
830,0.518909
840,0.516764
850,0.519681
860,0.522642
870,0.522481
880,0.519750
890,0.518752
900,0.519395
910,0.522283
920,0.522753
930,0.526840
940,0.526241
950,0.526845
960,0.526186
970,0.522267
980,0.521876
990,0.524353
1000,0.524118
