step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
750,2786.148,0.070971,0.917258,0.946461,0.888055,18,0.00007504,0,0.022228,0.012079,0.032378,0.976718,0.987548,0.965889,0.937351,0.957893,0.916809,0.001361,0.004485,0.006189,0.014527
775,2809.706,0.071210,0.918950,0.949661,0.888239,18,0.00010431,0,0.022886,0.013085,0.032688,0.976086,0.986582,0.965590,0.939680,0.962087,0.917273,0.001545,0.004803,0.005768,0.014770
800,2964.486,0.068072,0.921710,0.953412,0.890008,18,0.00007410,1,0.023209,0.015434,0.030984,0.975822,0.984308,0.967336,0.942855,0.968126,0.917583,0.001625,0.004524,0.005142,0.014457
825,2988.144,0.065310,0.926739,0.962086,0.891393,18,0.00008001,0,0.022273,0.013253,0.031294,0.976833,0.986587,0.967080,0.947062,0.974836,0.919287,0.001592,0.004557,0.004358,0.014319
850,3141.304,0.069215,0.922993,0.960489,0.885496,18,0.00006500,0,0.024887,0.014763,0.035012,0.974142,0.985080,0.963204,0.945584,0.974669,0.916499,0.001737,0.005122,0.004502,0.015126
875,3164.889,0.072866,0.919069,0.959616,0.878523,18,0.00008059,0,0.029025,0.013588,0.044462,0.970003,0.986222,0.953784,0.945119,0.972656,0.917583,0.001580,0.006165,0.004499,0.015898
900,3319.260,0.076051,0.916906,0.956400,0.877412,18,0.00009539,0,0.029806,0.015769,0.043842,0.969173,0.984027,0.954318,0.943680,0.971481,0.915879,0.001878,0.006359,0.004938,0.016272
925,3343.193,0.071361,0.921476,0.964102,0.878851,18,0.00009220,1,0.027703,0.009394,0.046011,0.971387,0.990439,0.952335,0.946223,0.973159,0.919287,0.001059,0.006470,0.004090,0.015911
950,3494.435,0.068297,0.924616,0.969464,0.879768,18,0.00007156,0,0.024528,0.005368,0.043687,0.974552,0.994522,0.954582,0.946436,0.974669,0.918203,0.000541,0.006297,0.003430,0.015900
975,3517.862,0.069158,0.923897,0.967817,0.879976,18,0.00012234,0,0.024476,0.006039,0.042912,0.974583,0.993836,0.955330,0.945700,0.973662,0.917738,0.000566,0.006295,0.003544,0.016050
1000,3672.020,0.068559,0.923549,0.968156,0.878941,18,0.00007222,0,0.023940,0.006207,0.041673,0.975067,0.993669,0.956465,0.944867,0.974165,0.915569,0.000633,0.005971,0.003576,0.015959
1025,3695.677,0.067266,0.924481,0.965644,0.883318,18,0.00007374,0,0.022068,0.005871,0.038265,0.976970,0.993991,0.959948,0.944216,0.971314,0.917119,0.000614,0.005601,0.003835,0.015463
1050,3842.181,0.063723,0.927295,0.967634,0.886957,18,0.00008259,0,0.019422,0.005536,0.033308,0.979637,0.994343,0.964932,0.944745,0.972991,0.916499,0.000601,0.004814,0.003664,0.014850
1075,3866.031,0.060789,0.929720,0.968813,0.890627,18,0.00009845,1,0.017808,0.005871,0.029744,0.981299,0.994011,0.968586,0.945810,0.974501,0.917119,0.000668,0.004228,0.003547,0.014245
1100,4015.486,0.061034,0.928830,0.967849,0.889810,18,0.00008382,0,0.017388,0.007046,0.027730,0.981696,0.992823,0.970569,0.944577,0.974669,0.914485,0.000736,0.004003,0.003580,0.014376
1125,4039.177,0.060801,0.928603,0.967044,0.890161,18,0.00012220,0,0.018040,0.007885,0.028195,0.981045,0.991975,0.970115,0.944964,0.974669,0.915259,0.000836,0.003870,0.003684,0.014202
1150,4195.767,0.060568,0.929691,0.966045,0.893337,18,0.00011467,1,0.016646,0.007885,0.025407,0.982490,0.991967,0.973013,0.944848,0.973662,0.916034,0.000923,0.003715,0.003898,0.013945
