step,loss
1,0.522651
10,0.425038
20,0.368552
30,0.341042
40,0.315063
50,0.291292
60,0.270634
70,0.250336
80,0.228655
90,0.213058
100,0.200708
110,0.189671
120,0.181892
130,0.175257
140,0.168824
150,0.163370
160,0.157307
170,0.151927
180,0.145533
190,0.141579
200,0.135056
210,0.128671
220,0.124982
230,0.121677
240,0.119319
250,0.118146
260,0.112742
270,0.110379
280,0.108794
290,0.109034
300,0.109193
310,0.108999
320,0.105383
330,0.102275
340,0.099312
350,0.098451
360,0.092212
370,0.085232
380,0.081048
390,0.074657
400,0.073899
410,0.071762
420,0.070791
430,0.069328
440,0.069816
450,0.068752
460,0.068745
470,0.069941
480,0.069067
490,0.069610
500,0.066329
510,0.069255
520,0.067752
530,0.069048
540,0.066659
550,0.067867
560,0.066328
570,0.066311
580,0.067497
590,0.065573
600,0.067327
610,0.064491
620,0.066258
630,0.065872
640,0.062797
650,0.065091
660,0.063250
670,0.065226
680,0.064719
690,0.064209
700,0.064361
710,0.063403
720,0.063718
730,0.063285
740,0.063678
750,0.062562
760,0.064677
770,0.065386
780,0.063038
790,0.064740
800,0.065100
810,0.065480
820,0.064464
830,0.063683
840,0.063665
850,0.062032
860,0.061502
870,0.061237
880,0.062260
890,0.063190
900,0.064641
910,0.061890
920,0.064210
930,0.063690
940,0.065123
950,0.064745
960,0.064832
970,0.064380
980,0.062135
990,0.061926
1000,0.062429
