job	pair	arm	config	seed	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_sun_moon_srd_aw0p25_seed0	sun_moon	srd	aw0p25	0	converged	2075	0.088274	0.947202	0.931989	0.962416	0.952785	1775	0.966042	0.970579	30	20	31	20	29.452	0.036254	0.964515	0.981333	0.00206648	13	2	5	19827.516
neg_sun_moon_srd_aw0p25_seed1	sun_moon	srd	aw0p25	1	converged	1625	0.069551	0.956755	0.939108	0.974401	0.959754	1325	0.969258	0.970184	28	20	34	20	29.000	0.033559	0.967572	0.988503	0.00028491	16	2	10	13850.169
neg_sun_moon_srd_aw0p25_seed2	sun_moon	srd	aw0p25	2	converged	1625	0.085202	0.947966	0.928232	0.967701	0.950925	1325	0.959316	0.963928	30	20	35	20	30.697	0.045671	0.956352	0.990833	0.00034947	16	0	6	14944.375
neg_horse_circle_srd_aw0p25_seed0	horse_circle	srd	aw0p25	0	converged	1600	0.114555	0.945924	0.915664	0.976184	0.948566	1500	0.960764	0.966347	37	20	42	20	36.446	0.043198	0.958322	0.986084	0.00008182	27	1	11	18166.852
neg_horse_circle_srd_aw0p25_seed1	horse_circle	srd	aw0p25	1	converged	1500	0.150664	0.925258	0.901911	0.948604	0.936824	1025	0.961775	0.972107	35	20	37	20	33.164	0.037919	0.962448	0.959804	0.00012481	25	0	10	16434.128
neg_horse_circle_srd_aw0p25_seed2	horse_circle	srd	aw0p25	2	converged	1650	0.078365	0.959231	0.934375	0.984087	0.961196	1350	0.977181	0.977181	36	20	37	20	33.254	0.023391	0.976710	0.981355	0.00001979	24	0	8	16792.101
neg_acm_scf_srd_aw0p25_seed0	acm_scf	srd	aw0p25	0	converged	1500	0.340406	0.791410	0.853534	0.729285	0.811449	525	0.83633	0.859218	33	20	38	20	33.197	0.197025	0.845236	0.937852	0.00000029	21	3	11	21514.926
neg_acm_scf_srd_aw0p25_seed1	acm_scf	srd	aw0p25	1	converged	1500	0.317269	0.813027	0.849603	0.776452	0.867563	900	0.866462	0.925188	29	20	33	20	29.361	0.152502	0.867712	0.933624	0.00005548	14	2	7	14686.824
neg_acm_scf_srd_aw0p25_seed2	acm_scf	srd	aw0p25	2	converged	2375	0.282149	0.822052	0.864528	0.779575	0.826943	2025	0.868366	0.881318	27	20	33	20	29.312	0.152419	0.872027	0.942719	0.00017757	16	2	11	22480.269
neg_sun_moon_hinge2_aw0p25_seed0	sun_moon	hinge2	aw0p25	0	shed_converged	1500	0.128834	0.925803	0.880012	0.971594	0.946010	625	0.971377	0.973473	15	20	32	15	20.836	0.025305	0.973831	0.948312	0.00001904	14	2	21	13296.843
neg_sun_moon_hinge2_aw0p25_seed1	sun_moon	hinge2	aw0p25	1	shed_converged	1500	0.148004	0.916780	0.852157	0.981403	0.939632	775	0.973808	0.97581	14	20	34	14	22.033	0.020676	0.977709	0.934683	0.00018533	15	2	23	17744.156
neg_sun_moon_hinge2_aw0p25_seed2	sun_moon	hinge2	aw0p25	2	shed_converged	1500	0.149869	0.913592	0.853666	0.973518	0.945544	975	0.96153	0.967278	16	20	38	16	26.262	0.035926	0.962877	0.945180	0.00005545	19	0	23	15819.190
neg_horse_circle_hinge2_aw0p25_seed0	horse_circle	hinge2	aw0p25	0	converged	1500	0.201907	0.912645	0.890268	0.935022	0.922282	925	0.942489	0.952553	33	20	37	20	33.689	0.062309	0.939543	0.969309	0.00032066	22	0	9	15755.184
neg_horse_circle_hinge2_aw0p25_seed1	horse_circle	hinge2	aw0p25	1	shed_converged	1925	0.169061	0.913322	0.890924	0.935720	0.936384	1125	0.966339	0.976475	14	20	38	14	25.154	0.029731	0.969491	0.940106	0.00059988	21	1	28	18690.335
neg_horse_circle_hinge2_aw0p25_seed2	horse_circle	hinge2	aw0p25	2	shed_converged	2000	0.167767	0.913957	0.854139	0.973775	0.941535	1125	0.963297	0.968479	10	20	37	10	25.037	0.033681	0.965006	0.943601	0.00020543	21	0	31	29615.052
neg_acm_scf_hinge2_aw0p25_seed0	acm_scf	hinge2	aw0p25	0	converged	1500	0.305720	0.810753	0.913417	0.708088	0.829542	650	0.831153	0.877934	42	20	43	20	36.197	0.214540	0.837977	0.966808	0.00002047	30	4	12	17633.299
neg_acm_scf_hinge2_aw0p25_seed1	acm_scf	hinge2	aw0p25	1	converged	1850	0.210226	0.862997	0.861590	0.864404	0.865487	1600	0.928315	0.929942	26	20	30	20	27.040	0.070885	0.934732	0.924255	0.00002696	11	3	8	16745.160
neg_acm_scf_hinge2_aw0p25_seed2	acm_scf	hinge2	aw0p25	2	converged	1675	0.307307	0.812635	0.885416	0.739854	0.856521	1400	0.845739	0.890684	33	20	40	20	33.588	0.188989	0.848290	0.956418	0.00031068	26	3	16	18705.531
