pair,arm,config,step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
sun_moon,srd,aw0p25,475,4073.564,0.109635,0.932640,0.918703,0.946576,31,0.00036768,3,0.046039,0.056504,0.035574,0.954984,0.944988,0.964980,0.975432,0.970614,0.980250,0.011971,0.006917,0.027972,0.018008,0.000000,13,2,4,0,1
sun_moon,srd,aw0p25,500,4540.973,0.109456,0.932198,0.919118,0.945279,31,0.00036677,3,0.047515,0.057908,0.037121,0.953655,0.943792,0.963517,0.976356,0.972342,0.980369,0.012038,0.007283,0.026026,0.018022,0.000000,13,2,4,0,1
sun_moon,srd,aw0p25,525,4582.001,0.112052,0.931229,0.920507,0.941951,31,0.00034587,3,0.048256,0.057368,0.039143,0.952944,0.944340,0.961547,0.976068,0.973315,0.978822,0.012085,0.007758,0.025562,0.019297,0.000000,13,2,4,0,1
sun_moon,srd,aw0p25,550,5047.069,0.114310,0.930477,0.916675,0.944279,31,0.00024715,3,0.048514,0.059313,0.037716,0.952686,0.942435,0.962937,0.975469,0.971046,0.979893,0.012893,0.007530,0.026668,0.018456,0.000000,13,2,4,0,1
sun_moon,srd,aw0p25,575,5088.163,0.117226,0.928501,0.913737,0.943264,31,0.00028299,4,0.049621,0.063310,0.035931,0.951679,0.938825,0.964533,0.974371,0.971586,0.977156,0.013608,0.007080,0.026751,0.020527,0.000000,13,2,4,0,1
sun_moon,srd,aw0p25,600,5543.979,0.120666,0.927673,0.914613,0.940732,30,0.00021354,3,0.052610,0.065363,0.039857,0.948994,0.937136,0.960851,0.976311,0.974395,0.978227,0.014308,0.007880,0.024630,0.020527,0.000000,13,2,5,0,1
sun_moon,srd,aw0p25,625,5583.949,0.127557,0.923260,0.906655,0.939865,30,0.00020534,3,0.054485,0.068280,0.040690,0.947103,0.934146,0.960061,0.973335,0.968561,0.978108,0.014863,0.008099,0.029671,0.020052,0.000000,13,2,5,0,1
sun_moon,srd,aw0p25,650,6035.716,0.127609,0.923883,0.906326,0.941439,30,0.00015612,2,0.053668,0.069144,0.038192,0.947895,0.933396,0.962395,0.973194,0.968993,0.977394,0.014962,0.007556,0.030019,0.021578,0.000000,13,2,5,0,1
sun_moon,srd,aw0p25,675,6075.692,0.128420,0.923573,0.905416,0.941729,30,0.00012382,2,0.054203,0.069144,0.039262,0.947382,0.933333,0.961431,0.973362,0.968021,0.978703,0.015251,0.007710,0.030578,0.020172,0.000000,13,2,5,0,1
sun_moon,srd,aw0p25,700,6521.387,0.125726,0.924764,0.903503,0.946026,30,0.00015050,3,0.055392,0.070333,0.040452,0.946363,0.932202,0.960525,0.975672,0.967048,0.984295,0.015433,0.007922,0.031455,0.014705,0.000000,13,2,5,0,1
