step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
750,3941.801,0.301984,0.766570,0.817222,0.715918,29,0.00016576,1,0.061392,0.095309,0.027476,0.933881,0.903769,0.963993,0.815349,0.895111,0.735588,0.012594,0.007935,0.023184,0.067174
775,3980.020,0.298292,0.769639,0.823005,0.716272,29,0.00014003,1,0.059110,0.092831,0.025389,0.936515,0.906442,0.966587,0.816932,0.899405,0.734458,0.012308,0.007421,0.022444,0.067090
800,4226.310,0.290741,0.775837,0.818454,0.733220,29,0.00005298,2,0.064370,0.102742,0.025998,0.932197,0.897798,0.966596,0.827413,0.902544,0.752282,0.013811,0.007390,0.023475,0.062826
825,4264.637,0.288489,0.775374,0.826873,0.723874,29,0.00009323,2,0.055054,0.086720,0.023389,0.940690,0.911987,0.969394,0.819692,0.898579,0.740805,0.011572,0.006779,0.021893,0.065073
850,4511.921,0.287619,0.778189,0.830900,0.725479,29,0.00006848,1,0.056372,0.086224,0.026519,0.939205,0.912797,0.965614,0.823631,0.902544,0.744718,0.011534,0.007766,0.021415,0.064792
875,4550.172,0.288732,0.777900,0.812267,0.743533,29,0.00003730,2,0.067739,0.106871,0.028606,0.928853,0.893760,0.963945,0.831939,0.899075,0.764803,0.014250,0.008333,0.024270,0.060674
900,4793.635,0.280042,0.782871,0.811612,0.754130,28,0.00035113,3,0.065078,0.103898,0.026259,0.931635,0.896085,0.967185,0.834935,0.895937,0.773933,0.013864,0.007846,0.024297,0.058113
925,4830.563,0.277941,0.785129,0.810100,0.760159,28,0.00021035,1,0.067382,0.105550,0.029215,0.929287,0.894572,0.964003,0.838986,0.895606,0.782367,0.014197,0.008641,0.024538,0.056642
950,5070.776,0.266696,0.795391,0.820896,0.769886,28,0.00006350,1,0.068743,0.106706,0.030780,0.928777,0.894891,0.962662,0.851037,0.908490,0.793583,0.014216,0.008852,0.023004,0.054345
975,5108.014,0.258124,0.800588,0.820372,0.780805,28,0.00005739,1,0.070895,0.110836,0.030954,0.927267,0.891564,0.962971,0.858136,0.911298,0.804973,0.014523,0.008795,0.022872,0.051497
1000,5348.133,0.251451,0.808459,0.825758,0.791161,29,0.00003176,3,0.071429,0.111992,0.030867,0.927414,0.891294,0.963534,0.866909,0.918236,0.815581,0.015297,0.008646,0.022833,0.049005
1025,5386.426,0.249094,0.808497,0.826048,0.790945,29,0.00004349,2,0.072094,0.114800,0.029389,0.927158,0.889155,0.965162,0.867534,0.920879,0.814190,0.015097,0.008358,0.022261,0.049033
1050,5632.546,0.246532,0.811064,0.822652,0.799476,32,0.00002731,2,0.073994,0.118599,0.029389,0.925677,0.885832,0.965521,0.871595,0.920218,0.822972,0.015860,0.008463,0.022979,0.047031
