patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
22,-1,0.083573,0.891014,0.870857,0.911170,0.931448,0.954061,0.046098
21,19,0.077089,0.894815,0.883469,0.906161,0.928739,0.961192,0.038195
20,8,0.072240,0.899629,0.894115,0.905142,0.925414,0.970194,0.028750
19,2,0.071094,0.899982,0.894510,0.905453,0.928174,0.967643,0.031420
18,13,0.070715,0.901887,0.897839,0.905934,0.928995,0.968960,0.030124
17,15,0.070020,0.902717,0.895408,0.910027,0.929535,0.969296,0.029840
16,16,0.072396,0.900379,0.897692,0.903067,0.931845,0.964170,0.034990
15,5,0.070424,0.901261,0.897794,0.904728,0.927416,0.969912,0.029072
14,0,0.073270,0.898145,0.892226,0.904064,0.926699,0.967031,0.031883
13,10,0.077590,0.891494,0.890282,0.892705,0.919851,0.967035,0.031831
12,0,0.081980,0.884636,0.890870,0.878402,0.913684,0.965959,0.032730
11,5,0.086546,0.876908,0.869003,0.884813,0.904564,0.966578,0.031689
10,4,0.101261,0.846514,0.809229,0.883799,0.865199,0.974643,0.022311
9,1,0.111746,0.828588,0.792302,0.864874,0.845414,0.976193,0.020463
8,1,0.129030,0.804137,0.791825,0.816449,0.821673,0.974065,0.021850
7,1,0.155302,0.765553,0.786961,0.744145,0.779848,0.976981,0.018536
6,6,0.178576,0.727135,0.731604,0.722665,0.740264,0.976264,0.018037
5,5,0.204232,0.686151,0.676619,0.695683,0.697880,0.976069,0.017101
4,3,0.243408,0.627862,0.653172,0.602553,0.638554,0.974278,0.016933
3,1,0.291588,0.544981,0.539305,0.550658,0.551128,0.979965,0.011273
2,2,0.350420,0.447945,0.397755,0.498134,0.452130,0.980997,0.009002
1,1,0.416379,0.344501,0.289571,0.399431,0.347508,0.978699,0.008065
