patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
23,-1,0.145563,0.908431,0.915566,0.901296,0.958106,0.946259,0.054815
22,17,0.112829,0.923885,0.911015,0.936756,0.955788,0.965042,0.034605
21,12,0.105555,0.928550,0.912814,0.944286,0.958607,0.967196,0.032510
20,2,0.105144,0.928194,0.914655,0.941732,0.955228,0.970307,0.029228
19,9,0.101772,0.930161,0.916256,0.944067,0.956472,0.971170,0.028378
18,14,0.102158,0.928882,0.916731,0.941033,0.954928,0.971394,0.028107
17,9,0.102509,0.929910,0.915176,0.944645,0.956527,0.970833,0.028712
16,15,0.105518,0.927723,0.912758,0.942687,0.954916,0.970092,0.029428
15,4,0.108712,0.924699,0.910004,0.939394,0.950666,0.971185,0.028206
14,6,0.113545,0.919938,0.912018,0.927858,0.945583,0.971339,0.027935
13,10,0.121779,0.913400,0.910249,0.916552,0.939511,0.970542,0.028614
12,2,0.127606,0.907824,0.894514,0.921134,0.934796,0.969090,0.029824
11,11,0.133785,0.903085,0.883428,0.922741,0.927164,0.971833,0.026821
10,5,0.149369,0.891307,0.861049,0.921564,0.916109,0.970116,0.028073
9,7,0.179776,0.864440,0.860445,0.868435,0.889045,0.968996,0.028490
8,4,0.207049,0.840121,0.856162,0.824080,0.863338,0.969385,0.027493
7,7,0.232376,0.817888,0.849219,0.786556,0.839887,0.969389,0.026706
6,6,0.261952,0.795238,0.794140,0.796336,0.816369,0.968607,0.026583
5,3,0.296262,0.766684,0.759803,0.773565,0.787508,0.966670,0.027238
4,2,0.350737,0.720256,0.674714,0.765798,0.737261,0.967843,0.024098
3,2,0.470059,0.616876,0.637538,0.596213,0.630807,0.966378,0.022317
2,1,0.615259,0.492052,0.441744,0.542360,0.499495,0.968520,0.015662
1,0,0.828270,0.299240,0.416544,0.181936,0.302938,0.970569,0.010069
