pair	group	n	milestone	mean_steps	mean_seconds	reached
horse_circle	basic	1	iou_0p50	75	101.537	1/1
horse_circle	basic	1	iou_0p60	75	101.537	1/1
horse_circle	basic	1	iou_0p70	125	170.518	1/1
horse_circle	basic	1	iou_0p75	150	204.922	1/1
horse_circle	basic	1	iou_0p80	175	239.135	1/1
horse_circle	basic	1	iou_0p85	250	342.754	1/1
horse_circle	basic	1	iou_0p90	-	-	0/1
horse_circle	basic	1	rel_90pct	200	274.036	1/1
horse_circle	basic	1	rel_95pct	250	342.754	1/1
horse_circle	basic	1	rel_99pct	975	1331.77	1/1
