pair	arm	n	final_patches	max_patches	mean_patches	srd_total_adds	srd_total_deletes	stop_reasons
crane_crab	basic	3	20	20	20	-	-	converged:3
crane_crab	srd	3	27	30.3333	26.9017	22.6667	15.6667	converged:3
crane_crab	srd_no_swept	3	16.3333	23	17.5423	15	18.6667	converged:3
dance_argument	basic	3	20	20	20	-	-	converged:3
dance_argument	srd	3	33.3333	34.6667	28.904	31.6667	18.3333	converged:3
dance_argument	srd_no_swept	3	18.6667	22.6667	19.5727	16.6667	18	converged:3
dancer_guitar	basic	3	20	20	20	-	-	converged:2,steps:1
dancer_guitar	srd	3	28	29.6667	27.4563	21.6667	13.6667	converged:3
dancer_guitar	srd_no_swept	3	16	22.6667	18.338	7.33333	11.3333	converged:3
siggraph_sigchi	basic	3	20	20	20	-	-	converged:3
siggraph_sigchi	srd	3	28	30.6667	27.436	21.3333	13.3333	converged:3
siggraph_sigchi	srd_no_swept	3	17.3333	24.6667	19.556	15	17.6667	converged:3
teapot_droplets	basic	3	20	20	20	-	-	converged:3
teapot_droplets	srd	3	33.3333	35.3333	31.5667	22.6667	9.33333	converged:3
teapot_droplets	srd_no_swept	3	22.6667	24.6667	21.945	13.6667	11	converged:3
