job	pair	arm_tag	arm	seed	overlap_mode	overlap_repair	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	final_mean_spill	final_view1_spill	final_view2_spill	final_mean_precision	final_mean_coverage	best_mean_spill	final_patches	start_patches	max_patches	min_patches	mean_patches	final_overlap	best_mean_iou	best_mean_iou_step	best_loss	best_loss_step	srd_total_adds	srd_total_deletes	total_seconds	iou_0p50_steps	iou_0p50_seconds	iou_0p60_steps	iou_0p60_seconds	iou_0p70_steps	iou_0p70_seconds	iou_0p75_steps	iou_0p75_seconds	iou_0p80_steps	iou_0p80_seconds	iou_0p85_steps	iou_0p85_seconds	iou_0p90_steps	iou_0p90_seconds	rel_90pct_steps	rel_90pct_seconds	rel_95pct_steps	rel_95pct_seconds	rel_99pct_steps	rel_99pct_seconds
hard_dance_argument_basic_seed2	dance_argument	basic	basic	2	planar	True	converged	2200	0.381159	0.671331	0.666768	0.675894	0.053172	0.085563	0.020781	0.932523	0.706879	0.035998	20	20	20	20	20.000	0.00000350	0.672769	1925	0.375193	1900	-	-	2194.172	200	190.637	375	358.653	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	425	406.954	1200	1173.073	1550	1523.297
hard_dance_argument_srd_no_swept_seed0	dance_argument	srd_no_swept	srd_no_swept	0	planar	True	converged	1700	0.183129	0.848106	0.789443	0.906770	0.078880	0.132805	0.024954	0.922275	0.911841	0.056919	19	20	21	19	19.406	0.00004480	0.851513	1400	0.170865	1425	3	4	6282.422	75	217.041	100	385.948	150	584.331	200	781.500	375	1403.116	1375	5051.874	-1	-1	225	809.237	400	1572.995	1250	4669.166
hard_dance_argument_srd_no_swept_seed1	dance_argument	srd_no_swept	srd_no_swept	1	planar	True	converged	1325	0.310984	0.767543	0.748268	0.786817	0.095283	0.120747	0.069820	0.898773	0.840186	0.067436	18	20	23	18	19.370	0.00007166	0.826302	1025	0.223277	1025	11	13	4507.351	150	570.007	200	754.021	250	945.308	325	1156.943	625	2212.895	-1	-1	-1	-1	325	1156.943	550	2021.663	900	3174.076
hard_dance_argument_srd_no_swept_seed2	dance_argument	srd_no_swept	srd_no_swept	2	planar	True	converged	3850	0.216440	0.824013	0.781589	0.866437	0.072808	0.112488	0.033128	0.924881	0.882324	0.045969	19	20	24	18	19.942	0.00160031	0.825636	3500	0.212837	3550	36	37	14031.840	200	713.599	300	1049.029	775	2706.050	1475	5265.216	1950	7090.435	-1	-1	-1	-1	1400	5063.132	1775	6344.063	2725	9919.792
hard_dance_argument_srd_seed0	dance_argument	srd	srd	0	planar	True	converged	2600	0.126985	0.898195	0.861705	0.934685	0.062753	0.096465	0.029041	0.939026	0.953330	0.051042	33	20	34	20	27.648	0.00001077	0.902426	2300	0.120698	2300	28	15	18315.485	75	293.408	100	551.359	150	875.963	200	1227.579	250	1586.923	1175	7464.948	2050	13693.189	275	1635.615	1425	9040.699	1675	10842.718
hard_dance_argument_srd_seed1	dance_argument	srd	srd	1	planar	True	converged	2600	0.136485	0.895917	0.871090	0.920744	0.062849	0.087876	0.037823	0.938532	0.951604	0.053199	34	20	35	20	29.429	0.00001313	0.902426	2300	0.125769	2300	39	25	14553.372	150	629.443	175	663.030	225	900.902	275	1170.146	325	1453.362	1100	5621.115	2275	12363.950	400	1965.061	1150	5885.836	2250	12321.635
hard_dance_argument_srd_seed2	dance_argument	srd	srd	2	planar	True	converged	1550	0.227886	0.834158	0.776559	0.891756	0.121406	0.204988	0.037823	0.890519	0.930615	0.055054	33	20	35	20	29.635	0.00001080	0.844407	1300	0.203839	1275	28	15	8890.249	150	623.981	225	908.894	325	1460.414	425	2026.364	975	5108.014	-1	-1	-1	-1	500	2547.346	1000	5348.133	1225	6620.026
hard_dancer_guitar_basic_seed0	dancer_guitar	basic	basic	0	planar	True	converged	1525	0.131125	0.835890	0.846301	0.825480	0.071306	0.073907	0.068705	0.926272	0.895521	0.054793	20	20	20	20	20.000	0.00038925	0.843176	1300	0.123831	1225	-	-	2040.555	75	100.249	125	166.798	250	332.813	475	640.634	850	1139.474	-1	-1	-1	-1	550	741.857	850	1139.474	1050	1404.781
hard_dancer_guitar_basic_seed1	dancer_guitar	basic	basic	1	planar	True	converged	1775	0.082004	0.883839	0.845588	0.922089	0.034893	0.060973	0.008813	0.963488	0.913681	0.030852	20	20	20	20	20.000	0.00032254	0.886272	1600	0.080230	1475	-	-	1841.194	50	52.891	75	79.417	100	106.124	175	184.951	300	314.349	675	698.601	-1	-1	300	314.349	550	572.703	1350	1394.985
hard_dancer_guitar_basic_seed2	dancer_guitar	basic	basic	2	planar	True	steps	4000	0.153940	0.764016	0.717331	0.810701	0.024557	0.030589	0.018525	0.969162	0.782496	0.019527	20	20	20	20	20.000	0.00022716	0.764030	3975	0.153831	3950	-	-	3765.887	75	73.260	150	144.594	1250	1169.996	3875	3647.311	-1	-1	-1	-1	-1	-1	1050	986.991	2450	2296.659	3925	3694.797
hard_dancer_guitar_srd_no_swept_seed0	dancer_guitar	srd_no_swept	srd_no_swept	0	planar	True	converged	2150	0.087168	0.880793	0.887261	0.874326	0.041991	0.050708	0.033273	0.956445	0.917835	0.029114	13	20	23	13	16.172	0.00033851	0.885079	1875	0.081504	1850	12	19	6320.286	75	214.025	125	408.798	250	905.348	325	1091.925	500	1716.665	900	3026.395	-1	-1	500	1716.665	800	2733.971	1400	4413.798
hard_dancer_guitar_srd_no_swept_seed1	dancer_guitar	srd_no_swept	srd_no_swept	1	planar	True	converged	2075	0.127724	0.822148	0.810358	0.833938	0.047615	0.054404	0.040827	0.947608	0.861215	0.030584	16	20	22	16	19.286	0.00000618	0.888569	1775	0.079585	1775	4	8	7552.495	50	199.879	75	228.071	100	405.355	125	434.457	275	1031.723	650	2565.332	-1	-1	275	1031.723	650	2565.332	1350	5142.952
hard_dancer_guitar_srd_no_swept_seed2	dancer_guitar	srd_no_swept	srd_no_swept	2	planar	True	converged	1775	0.117046	0.828938	0.779464	0.878411	0.034866	0.041675	0.028058	0.960523	0.857503	0.024074	19	20	23	19	19.556	0.00001597	0.841726	1475	0.107148	1475	6	7	6230.547	75	206.056	125	389.384	250	921.857	325	1138.683	700	2532.398	-1	-1	-1	-1	350	1297.423	700	2532.398	1350	4791.753
