patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
30,-1,0.191969,0.872814,0.916133,0.829496,0.964225,0.905259,0.108819
29,2,0.195374,0.870572,0.910905,0.830238,0.961433,0.905190,0.108019
28,10,0.189109,0.872967,0.919368,0.826566,0.958652,0.910253,0.102593
27,2,0.186562,0.875119,0.919503,0.830735,0.961739,0.909613,0.103061
26,23,0.190749,0.869722,0.918521,0.820922,0.959499,0.906353,0.108211
25,24,0.189101,0.872621,0.917186,0.828056,0.958729,0.909990,0.102918
24,1,0.199770,0.865660,0.912801,0.818519,0.953148,0.907241,0.105669
23,21,0.204060,0.865772,0.912408,0.819136,0.950003,0.909816,0.101647
22,7,0.219466,0.854748,0.894340,0.815156,0.939796,0.908438,0.103379
21,13,0.229538,0.850358,0.880693,0.820022,0.931420,0.912084,0.098156
20,13,0.233794,0.849389,0.886261,0.812517,0.929374,0.911930,0.097592
19,14,0.246944,0.843106,0.867320,0.818892,0.920837,0.914292,0.094372
18,18,0.269572,0.829966,0.854869,0.805064,0.911583,0.908389,0.100718
17,15,0.292746,0.820230,0.839173,0.801287,0.895155,0.913408,0.093066
16,5,0.323916,0.802291,0.817593,0.786988,0.876313,0.912226,0.093755
15,12,0.359728,0.781586,0.780514,0.782657,0.859613,0.907161,0.099718
14,9,0.392129,0.764081,0.733416,0.794746,0.833923,0.915603,0.088451
13,13,0.429727,0.742941,0.688123,0.797758,0.813800,0.914287,0.089838
12,6,0.479972,0.714853,0.634217,0.795490,0.785176,0.913513,0.089832
11,2,0.531446,0.689313,0.614212,0.764415,0.752605,0.915111,0.084061
10,10,0.586570,0.657928,0.552357,0.763498,0.723321,0.910868,0.087591
9,7,0.644152,0.631799,0.553611,0.709987,0.690711,0.908840,0.084417
8,2,0.705306,0.603394,0.554220,0.652569,0.656327,0.904436,0.082167
7,7,0.781164,0.560400,0.474069,0.646731,0.609329,0.908182,0.077017
6,5,0.856861,0.521100,0.428248,0.613952,0.566644,0.902926,0.076048
5,4,0.948061,0.469953,0.310721,0.629186,0.512713,0.907145,0.070428
4,2,1.037161,0.424531,0.303409,0.545653,0.459585,0.900681,0.066457
3,1,1.139747,0.372834,0.261403,0.484266,0.403690,0.886403,0.066607
2,1,1.269377,0.300721,0.171891,0.429551,0.327122,0.876057,0.064144
1,1,1.509724,0.168027,0.102051,0.234003,0.174161,0.878526,0.028649
