step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
750,4032.112,0.143231,0.809080,0.885365,0.732796,32,0.00017467,2,0.130477,0.015258,0.245696,0.885617,0.983308,0.787926,0.905857,0.898874,0.912841,0.003258,0.013905,0.021600,0.017521
775,4073.792,0.141629,0.809233,0.887343,0.731124,32,0.00004825,2,0.129045,0.013469,0.244620,0.886688,0.985243,0.788133,0.904633,0.899295,0.909971,0.002864,0.013973,0.021148,0.017632
800,4348.434,0.143646,0.809334,0.884244,0.734424,32,0.00010711,1,0.131902,0.014522,0.249283,0.885211,0.984070,0.786351,0.907294,0.897085,0.917504,0.003391,0.013910,0.021991,0.017216
825,4390.354,0.145723,0.804618,0.885845,0.723392,32,0.00011313,1,0.137199,0.013996,0.260402,0.881252,0.984658,0.777846,0.905004,0.898243,0.911765,0.003116,0.014613,0.021561,0.018123
850,4663.962,0.153200,0.799880,0.877443,0.722316,32,0.00005816,2,0.141020,0.012312,0.269727,0.879535,0.986329,0.772741,0.902695,0.888246,0.917145,0.002731,0.015431,0.023280,0.018692
875,4706.493,0.163752,0.787082,0.862123,0.712040,32,0.00003662,1,0.146144,0.014311,0.277977,0.874950,0.983898,0.766002,0.892216,0.874461,0.909971,0.003120,0.015542,0.026228,0.019016
900,4972.922,0.158066,0.795577,0.866500,0.724654,32,0.00002769,1,0.141094,0.012101,0.270086,0.879757,0.986389,0.773124,0.898680,0.876986,0.920373,0.002738,0.015308,0.025312,0.018348
925,5013.915,0.148617,0.804700,0.881019,0.728381,32,0.00019153,1,0.138425,0.011786,0.265065,0.881777,0.986951,0.776602,0.906426,0.891403,0.921449,0.002798,0.014996,0.022589,0.018009
950,5280.055,0.145173,0.807403,0.880000,0.734805,32,0.00018245,1,0.131957,0.012838,0.251076,0.885637,0.985801,0.785473,0.905297,0.891297,0.919297,0.002884,0.014034,0.022753,0.017136
975,5321.275,0.144499,0.810196,0.875741,0.744650,32,0.00030122,1,0.125735,0.011154,0.240316,0.890544,0.987560,0.793529,0.904555,0.885510,0.923601,0.002606,0.013416,0.023685,0.016401
1000,5589.490,0.154393,0.799032,0.874012,0.724051,35,0.00000996,2,0.143710,0.012312,0.275108,0.878352,0.986276,0.770428,0.904008,0.884773,0.923242,0.002686,0.015558,0.023901,0.018438
1025,5634.738,0.137760,0.814446,0.884747,0.744146,35,0.00002197,1,0.127072,0.013469,0.240674,0.889210,0.985201,0.793220,0.909953,0.896664,0.923242,0.002882,0.013276,0.021666,0.016170
1050,5919.029,0.136125,0.818165,0.888071,0.748258,33,0.00001983,2,0.125329,0.015364,0.235294,0.890170,0.983247,0.797092,0.913017,0.901715,0.924319,0.003333,0.013138,0.021091,0.016043
1075,5962.491,0.132847,0.819217,0.896955,0.741479,33,0.00003002,2,0.128925,0.016100,0.241750,0.887340,0.982641,0.792039,0.916064,0.911396,0.920732,0.003546,0.013339,0.019385,0.016448
1100,6244.070,0.130476,0.821913,0.899120,0.744706,33,0.00035252,1,0.126183,0.015995,0.236370,0.889257,0.982792,0.795722,0.917116,0.913501,0.920732,0.003321,0.013238,0.018753,0.016377
1125,6287.650,0.126678,0.826800,0.906470,0.747130,33,0.00029567,1,0.132239,0.014837,0.249641,0.886577,0.984127,0.789027,0.926782,0.919920,0.933644,0.003242,0.013739,0.017518,0.016149
1150,6563.100,0.126932,0.826180,0.912634,0.739726,36,0.00000705,0,0.137299,0.017784,0.256815,0.882384,0.981214,0.783555,0.929282,0.928865,0.929699,0.003976,0.014389,0.016249,0.016878
1175,6609.947,0.125675,0.827393,0.919450,0.735336,36,0.00001226,0,0.141730,0.017679,0.265782,0.879667,0.981457,0.777878,0.933240,0.935705,0.930775,0.003971,0.014998,0.014918,0.017487
1200,6905.826,0.124298,0.827358,0.918835,0.735881,35,0.00002163,0,0.138289,0.019047,0.257532,0.881178,0.980064,0.782292,0.930865,0.936336,0.925395,0.004246,0.014288,0.014986,0.017175
1225,6950.419,0.123450,0.828771,0.924717,0.732824,35,0.00003128,0,0.145217,0.021783,0.268651,0.876641,0.977466,0.775816,0.937279,0.944860,0.929699,0.004868,0.014873,0.013795,0.017477
1250,7242.386,0.124269,0.829540,0.928181,0.730899,35,0.00003625,0,0.149079,0.021256,0.276901,0.874629,0.978067,0.771191,0.940598,0.947911,0.933286,0.004930,0.015532,0.013311,0.017873
1275,7287.390,0.124572,0.829587,0.922049,0.737125,35,0.00005994,1,0.145416,0.023256,0.267575,0.876662,0.975944,0.777380,0.938927,0.943492,0.934362,0.005050,0.014990,0.014268,0.017222
1300,7582.494,0.130206,0.823356,0.919873,0.726839,35,0.00003111,1,0.151647,0.025676,0.277618,0.871678,0.973507,0.769848,0.936057,0.943492,0.928623,0.005499,0.015590,0.014705,0.018145
1325,7628.132,0.130608,0.823188,0.920942,0.725435,35,0.00002891,1,0.150595,0.023572,0.277618,0.872555,0.975604,0.769506,0.934739,0.942650,0.926829,0.005349,0.015696,0.014670,0.018337
1350,7921.252,0.124955,0.830002,0.920152,0.739851,35,0.00003785,1,0.139328,0.023992,0.254663,0.879943,0.975169,0.784718,0.935246,0.942229,0.928264,0.005418,0.014295,0.014800,0.016986
1375,7966.851,0.122071,0.834088,0.919905,0.748270,35,0.00003571,1,0.133684,0.023466,0.243902,0.884024,0.975682,0.792366,0.936133,0.941492,0.930775,0.005320,0.013689,0.014867,0.016311
1400,8260.242,0.125743,0.829948,0.918763,0.741133,35,0.00004022,0,0.139285,0.024624,0.253945,0.879950,0.974510,0.785390,0.935363,0.941387,0.929340,0.005696,0.014168,0.015213,0.016760
1425,8306.769,0.129726,0.828611,0.914210,0.743012,35,0.00002671,1,0.142709,0.027886,0.257532,0.877555,0.971180,0.783930,0.937032,0.939703,0.934362,0.006298,0.014542,0.015958,0.016858
