job	pair	arm	config	seed	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_sun_moon_srd_aw0p1875_seed1	sun_moon	srd	aw0p1875	1	converged	1500	0.331217	0.809083	0.700140	0.918025	0.845526	825	0.89575	0.952232	21	20	23	20	22.213	0.101667	0.896049	0.885008	0.00023319	3	0	2	10209.364
neg_sun_moon_srd_aw0p1875_seed2	sun_moon	srd	aw0p1875	2	converged	1500	0.243244	0.846797	0.745386	0.948207	0.850421	550	0.938483	0.948183	19	20	20	19	19.918	0.052078	0.942838	0.887171	0.00013849	0	0	1	7710.198
neg_water_fire_srd_aw0p1875_seed1	water_fire	srd	aw0p1875	1	converged	1500	0.102526	0.917485	0.913347	0.921623	0.921990	975	0.946778	0.959324	18	20	20	18	18.426	0.057256	0.944264	0.970018	0.00104526	0	0	2	5396.486
neg_water_fire_srd_aw0p1875_seed2	water_fire	srd	aw0p1875	2	converged	1500	0.126554	0.897189	0.931583	0.862795	0.907171	975	0.931035	0.938808	16	20	20	16	18.000	0.075356	0.927557	0.964076	0.00000007	0	0	4	5114.890
neg_cat_face_bass_srd_aw0p1875_seed1	cat_face_bass	srd	aw0p1875	1	converged	2750	0.110296	0.932642	0.925951	0.939333	0.932965	2450	0.96774	0.96774	17	20	20	17	19.054	0.031387	0.968528	0.961846	0.00001749	0	0	3	10535.458
neg_cat_face_bass_srd_aw0p1875_seed2	cat_face_bass	srd	aw0p1875	2	converged	1875	0.159512	0.904441	0.914057	0.894825	0.912597	1675	0.94751	0.955012	19	20	20	19	19.342	0.053431	0.947725	0.952957	0.00001314	0	0	1	6991.247
neg_horse_circle_srd_aw0p1875_seed1	horse_circle	srd	aw0p1875	1	converged	1500	0.272216	0.857287	0.739593	0.974982	0.861779	825	0.92947	0.93902	18	20	21	18	18.623	0.066315	0.930365	0.907900	0.00030939	0	1	3	8881.827
neg_horse_circle_srd_aw0p1875_seed2	horse_circle	srd	aw0p1875	2	converged	2300	0.219512	0.870357	0.824931	0.915783	0.877961	2025	0.955917	0.965899	19	20	20	19	19.237	0.035066	0.962152	0.900378	0.00058781	0	0	1	8514.375
neg_robot_man_srd_aw0p1875_seed1	robot_man	srd	aw0p1875	1	converged	1500	0.141422	0.875544	0.880320	0.870769	0.883314	1025	0.916793	0.929372	16	20	20	16	17.115	0.091381	0.914912	0.955360	0.00024692	0	0	4	6709.271
neg_robot_man_srd_aw0p1875_seed2	robot_man	srd	aw0p1875	2	converged	2000	0.139614	0.885325	0.868670	0.901979	0.891499	1750	0.929869	0.93504	15	20	20	15	17.346	0.074307	0.927855	0.951296	0.00015408	0	0	5	6890.519
neg_sun_moon_noadd_aw0p1875_seed1	sun_moon	noadd	aw0p1875	1	converged	1500	0.228606	0.846058	0.746116	0.946000	0.853960	650	0.960147	0.964563	17	20	20	17	18.770	0.024950	0.970223	0.865363	0.00033446	0	0	3	8384.226
neg_sun_moon_noadd_aw0p1875_seed2	sun_moon	noadd	aw0p1875	2	converged	1975	0.213098	0.865304	0.755738	0.974870	0.866718	1850	0.950128	0.95071	19	20	20	19	19.575	0.040792	0.954484	0.896536	0.00003398	0	0	1	11432.623
neg_water_fire_noadd_aw0p1875_seed1	water_fire	noadd	aw0p1875	1	converged	1600	0.097006	0.919818	0.932962	0.906674	0.922029	1300	0.94722	0.958879	18	20	20	18	18.369	0.057121	0.944486	0.972312	0.00070728	0	0	2	5638.975
neg_water_fire_noadd_aw0p1875_seed2	water_fire	noadd	aw0p1875	2	converged	2625	0.091351	0.926348	0.961601	0.891095	0.927395	2325	0.948808	0.953623	14	20	20	14	16.962	0.056118	0.945764	0.977602	0.00173489	0	0	6	8192.801
neg_cat_face_bass_noadd_aw0p1875_seed1	cat_face_bass	noadd	aw0p1875	1	converged	2275	0.136296	0.922726	0.886292	0.959160	0.922851	2150	0.953627	0.955429	18	20	20	18	19.478	0.048507	0.952488	0.966547	0.00055398	0	0	2	7820.896
neg_cat_face_bass_noadd_aw0p1875_seed2	cat_face_bass	noadd	aw0p1875	2	converged	1500	0.162675	0.905701	0.894495	0.916907	0.907146	1025	0.94829	0.955257	19	20	20	19	19.393	0.052487	0.949881	0.952814	0.00000880	0	0	1	5355.943
neg_horse_circle_noadd_aw0p1875_seed1	horse_circle	noadd	aw0p1875	1	converged	1550	0.212465	0.867174	0.828418	0.905931	0.871129	1500	0.959909	0.962496	17	20	20	17	18.270	0.029347	0.968267	0.891698	0.00032574	0	0	3	8228.809
neg_horse_circle_noadd_aw0p1875_seed2	horse_circle	noadd	aw0p1875	2	converged	2475	0.201459	0.881281	0.820607	0.941954	0.882537	2175	0.951471	0.959323	19	20	20	19	19.340	0.042634	0.956194	0.916339	0.00005913	0	0	1	8579.424
neg_robot_man_noadd_aw0p1875_seed1	robot_man	noadd	aw0p1875	1	converged	1725	0.169336	0.859087	0.827578	0.890596	0.875617	1425	0.923612	0.92887	14	20	20	14	16.171	0.076930	0.926061	0.926284	0.00006996	0	0	6	4715.745
neg_sun_moon_noaddsplit_aw0p1875_seed1	sun_moon	noaddsplit	aw0p1875	1	converged	2100	0.227418	0.845377	0.752046	0.938708	0.845377	2100	0.964747	0.965616	19	20	20	19	19.518	0.019501	0.976677	0.860920	0.00006604	0	0	1	2326.176
neg_sun_moon_noaddsplit_aw0p1875_seed2	sun_moon	noaddsplit	aw0p1875	2	converged	1850	0.214826	0.864947	0.778363	0.951531	0.864947	1850	0.945806	0.950428	19	20	20	19	19.693	0.046482	0.950255	0.901683	0.00008481	0	0	1	2120.934
neg_water_fire_noaddsplit_aw0p1875_seed1	water_fire	noaddsplit	aw0p1875	1	converged	1600	0.101904	0.917115	0.928321	0.905908	0.921234	1300	0.946492	0.96045	18	20	20	18	18.369	0.057573	0.943949	0.969867	0.00018496	0	0	2	1697.759
neg_water_fire_noaddsplit_aw0p1875_seed2	water_fire	noaddsplit	aw0p1875	2	converged	2875	0.089415	0.923837	0.954796	0.892878	0.926516	2575	0.950799	0.953673	18	20	20	18	18.828	0.052787	0.948507	0.972065	0.00000140	0	0	2	3085.220
neg_cat_face_bass_noaddsplit_aw0p1875_seed1	cat_face_bass	noaddsplit	aw0p1875	1	converged	1500	0.148664	0.913992	0.891977	0.936008	0.915302	1450	0.951856	0.954795	19	20	20	19	19.951	0.049240	0.951847	0.958406	0.00023074	0	0	1	1752.342
neg_cat_face_bass_noaddsplit_aw0p1875_seed2	cat_face_bass	noaddsplit	aw0p1875	2	converged	2375	0.148717	0.910594	0.912658	0.908529	0.912974	2200	0.953753	0.95583	19	20	20	19	19.250	0.046054	0.955226	0.952586	0.00000905	0	0	1	2572.315
neg_horse_circle_noaddsplit_aw0p1875_seed1	horse_circle	noaddsplit	aw0p1875	1	converged	1500	0.254418	0.859388	0.761383	0.957392	0.862064	1475	0.937849	0.950839	19	20	20	19	19.328	0.055629	0.941138	0.902547	0.00002655	0	0	1	1682.803
neg_horse_circle_noaddsplit_aw0p1875_seed2	horse_circle	noaddsplit	aw0p1875	2	converged	1500	0.230094	0.863709	0.773986	0.953433	0.863709	1500	0.948503	0.959022	19	20	20	19	19.623	0.042677	0.953653	0.897055	0.00052205	0	0	1	1658.648
