step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,1.404,1.489770,0.161199,0.164435,0.157964,20,0.00000000,0,0.076986,0.090495,0.063476,0.695182,0.664598,0.725765,0.173653,0.179315,0.167990,0.024774,0.027771,0.196353,0.273964,0.000100
25,27.400,1.182863,0.290809,0.296457,0.285161,20,0.00000000,0,0.037297,0.050037,0.024557,0.891992,0.861519,0.922466,0.301727,0.311291,0.292163,0.013400,0.010479,0.158564,0.223785,0.000100
50,202.678,0.921502,0.441406,0.433793,0.449018,23,0.00000849,0,0.029624,0.038132,0.021115,0.938955,0.921935,0.955976,0.454417,0.450335,0.458499,0.010215,0.009006,0.125786,0.171768,0.000100
75,233.863,0.722179,0.556588,0.532477,0.580700,23,0.00006980,0,0.025534,0.035249,0.015819,0.956891,0.939899,0.973883,0.570566,0.551246,0.589886,0.009390,0.006466,0.103152,0.129630,0.000100
100,435.353,0.604573,0.629756,0.610640,0.648871,26,0.00061629,1,0.022800,0.031436,0.014165,0.965695,0.952461,0.978929,0.643949,0.629836,0.658062,0.008803,0.006021,0.085598,0.108371,0.000100
125,470.999,0.513737,0.686331,0.671708,0.700955,26,0.00087997,0,0.022691,0.033203,0.012179,0.968733,0.954342,0.983124,0.701751,0.694010,0.709492,0.009058,0.005298,0.071682,0.092180,0.000100
150,694.640,0.453793,0.723689,0.703876,0.743502,28,0.00017779,1,0.026267,0.041481,0.011054,0.965977,0.946446,0.985509,0.742397,0.733073,0.751721,0.010987,0.004709,0.064585,0.078790,0.000100
175,733.606,0.399404,0.758832,0.728021,0.789643,28,0.00001126,3,0.030116,0.050502,0.009730,0.963000,0.938056,0.987944,0.781057,0.764788,0.797326,0.013889,0.003972,0.060022,0.064179,0.000100
200,979.204,0.367413,0.780476,0.741494,0.819458,31,0.00003128,2,0.034788,0.060640,0.008936,0.958861,0.928415,0.989308,0.806619,0.786458,0.826781,0.016540,0.003658,0.057422,0.054943,0.000100
225,1022.141,0.350739,0.797446,0.743391,0.851500,31,0.00005032,0,0.045268,0.080078,0.010458,0.948651,0.909311,0.987991,0.831663,0.802920,0.860405,0.022401,0.004345,0.058322,0.045207,0.000100
250,1293.323,0.326530,0.818423,0.748125,0.888722,33,0.00005670,2,0.058040,0.103702,0.012378,0.937426,0.888422,0.986430,0.862714,0.825707,0.899722,0.028653,0.005291,0.058210,0.033648,0.000100
275,1339.310,0.301719,0.838755,0.763351,0.914159,33,0.00004607,1,0.065433,0.114583,0.016283,0.932043,0.881310,0.982776,0.889931,0.850818,0.929044,0.031889,0.006979,0.055273,0.025855,0.000100
300,1631.528,0.281130,0.852100,0.773667,0.930534,36,0.00001970,1,0.066376,0.116071,0.016680,0.932089,0.881504,0.982674,0.904761,0.863467,0.946055,0.032295,0.007367,0.052870,0.021004,0.000100
325,1680.882,0.255790,0.867053,0.786007,0.948100,36,0.00012296,1,0.066464,0.113932,0.018997,0.932787,0.884858,0.980716,0.920834,0.875558,0.966111,0.031736,0.008335,0.049809,0.015390,0.000100
350,2003.017,0.232536,0.882932,0.796178,0.969685,36,0.00052989,2,0.070912,0.124349,0.017474,0.930315,0.878033,0.982597,0.940906,0.895182,0.986630,0.034436,0.007506,0.047807,0.008611,0.000100
375,2053.160,0.234304,0.882993,0.790464,0.975521,36,0.00041208,1,0.074049,0.131417,0.016680,0.927672,0.871883,0.983460,0.943069,0.894345,0.991792,0.036421,0.007093,0.049449,0.006800,0.000100
400,2374.884,0.232047,0.886273,0.795130,0.977416,36,0.00009380,2,0.075749,0.134487,0.017011,0.926715,0.870256,0.983175,0.948054,0.902065,0.994043,0.037342,0.007535,0.048536,0.006353,0.000100
425,2424.621,0.225196,0.890398,0.802308,0.978488,36,0.00004189,2,0.075758,0.136161,0.015356,0.927409,0.870040,0.984779,0.952532,0.911551,0.993513,0.037864,0.006769,0.046734,0.006005,0.000100
450,2741.992,0.223968,0.892029,0.804023,0.980035,36,0.00001054,1,0.076026,0.137556,0.014496,0.927448,0.869265,0.985630,0.954431,0.914621,0.994241,0.038411,0.006555,0.046525,0.005645,0.000100
