patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
34,-1,0.192342,0.914574,0.848356,0.980792,0.980840,0.929622,0.076819
33,11,0.191013,0.912887,0.842067,0.983707,0.978066,0.930165,0.076430
32,8,0.188094,0.915305,0.843918,0.986693,0.980150,0.930851,0.076015
31,17,0.191085,0.913073,0.840176,0.985971,0.978358,0.930021,0.076865
30,17,0.191240,0.913189,0.841001,0.985376,0.978406,0.930204,0.076746
29,18,0.191344,0.912881,0.840179,0.985582,0.978092,0.930050,0.076751
28,23,0.193823,0.912327,0.840907,0.983747,0.977817,0.929898,0.077030
27,24,0.197994,0.911177,0.839177,0.983177,0.978998,0.927673,0.079858
26,18,0.200858,0.909025,0.835856,0.982193,0.976761,0.927312,0.080071
25,3,0.198860,0.907636,0.847438,0.967833,0.970405,0.932762,0.073336
24,11,0.197475,0.908029,0.844454,0.971605,0.970014,0.933179,0.072700
23,21,0.199280,0.908219,0.842792,0.973646,0.972182,0.931324,0.075144
22,2,0.199838,0.907093,0.840613,0.973574,0.971087,0.931052,0.075384
21,13,0.203045,0.905013,0.836088,0.973938,0.969715,0.929775,0.076498
20,12,0.201757,0.907068,0.837783,0.976353,0.971937,0.929904,0.076565
19,16,0.208945,0.901508,0.826815,0.976201,0.965674,0.929157,0.076739
18,17,0.214723,0.897130,0.812292,0.981968,0.959678,0.928949,0.076400
17,2,0.222374,0.892876,0.806051,0.979700,0.955647,0.927762,0.077062
16,15,0.228741,0.890252,0.799789,0.980715,0.954021,0.925931,0.078706
15,5,0.246423,0.880620,0.785293,0.975946,0.946570,0.921672,0.082447
14,11,0.255415,0.875159,0.772243,0.978076,0.939406,0.921358,0.081678
13,13,0.274066,0.863053,0.749758,0.976348,0.926459,0.918613,0.082599
12,3,0.287207,0.855281,0.734021,0.976541,0.918075,0.916669,0.083416
11,10,0.305876,0.842480,0.707199,0.977760,0.903094,0.914323,0.083431
10,7,0.327097,0.829869,0.696051,0.963686,0.889000,0.913691,0.083070
9,8,0.342732,0.818532,0.670197,0.966866,0.876081,0.910554,0.083922
8,8,0.366765,0.799687,0.627819,0.971555,0.850938,0.908941,0.080837
7,7,0.401047,0.773401,0.620448,0.926355,0.817497,0.916497,0.070990
6,4,0.436842,0.751720,0.578879,0.924561,0.794579,0.909225,0.073444
5,0,0.468317,0.736084,0.587858,0.884311,0.780030,0.909633,0.074155
4,3,0.524385,0.697556,0.501254,0.893857,0.736054,0.895657,0.075975
3,0,0.584949,0.655949,0.425722,0.886176,0.687677,0.884919,0.072845
2,0,0.673458,0.609332,0.409587,0.809077,0.640946,0.877745,0.076248
1,0,0.878781,0.483608,0.253128,0.714087,0.503161,0.827959,0.076523
