patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
24,-1,0.103817,0.944159,0.913186,0.975131,0.975909,0.966178,0.034111
23,17,0.077315,0.952615,0.917232,0.987999,0.974100,0.976698,0.023278
22,12,0.073699,0.955029,0.919946,0.990111,0.976407,0.976929,0.023085
21,21,0.077549,0.952920,0.917098,0.988742,0.974933,0.976164,0.023793
20,14,0.075070,0.954581,0.919629,0.989533,0.976339,0.976531,0.023454
19,10,0.075314,0.954189,0.918656,0.989722,0.975065,0.977377,0.022545
18,17,0.078378,0.952308,0.915550,0.989066,0.973378,0.977048,0.022817
17,17,0.083012,0.949917,0.911421,0.988413,0.971512,0.976339,0.023468
16,9,0.086030,0.946342,0.903096,0.989587,0.966310,0.977654,0.021902
15,10,0.092299,0.942079,0.894493,0.989666,0.963590,0.975688,0.023753
14,12,0.101330,0.935981,0.885045,0.986917,0.957216,0.975582,0.023604
13,11,0.114548,0.927846,0.868325,0.987367,0.949563,0.974236,0.024602
12,12,0.125526,0.920392,0.855040,0.985744,0.942322,0.973428,0.025071
11,6,0.131743,0.914726,0.846195,0.983258,0.935271,0.974317,0.023941
10,9,0.148164,0.906422,0.847059,0.965785,0.927733,0.973487,0.024742
9,7,0.164183,0.894258,0.820159,0.968357,0.915126,0.972616,0.024888
8,2,0.184501,0.881227,0.796395,0.966059,0.903039,0.970530,0.026302
7,7,0.232159,0.842367,0.711949,0.972786,0.859787,0.969787,0.024091
6,5,0.283986,0.803352,0.657061,0.949643,0.815302,0.974750,0.018129
5,5,0.354239,0.759192,0.625676,0.892709,0.770706,0.974411,0.017739
4,3,0.449863,0.692643,0.517867,0.867419,0.701882,0.971107,0.016835
3,2,0.604693,0.602421,0.526747,0.678095,0.605764,0.989195,0.006062
2,2,0.763888,0.480681,0.278480,0.682882,0.482331,0.984620,0.004867
1,1,1.030923,0.315307,0.142330,0.488284,0.315850,0.974754,0.003813
