job_id	job_name	pair	arm	output_dir
4202068	h2_sun_moon_l200	sun_moon	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_sun_moon_l200
4202069	h2_sun_moon_l500	sun_moon	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_sun_moon_l500
4202070	h2_sun_moon_l2000	sun_moon	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_sun_moon_l2000
4202071	h2_water_fire_l200	water_fire	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_water_fire_l200
4202072	h2_water_fire_l500	water_fire	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_water_fire_l500
4202073	h2_water_fire_l2000	water_fire	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_water_fire_l2000
4202074	h2_cat_face_bass_l200	cat_face_bass	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_cat_face_bass_l200
4202075	h2_cat_face_bass_l500	cat_face_bass	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_cat_face_bass_l500
4202076	h2_cat_face_bass_l2000	cat_face_bass	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_cat_face_bass_l2000
4202077	h2_dance_argument_l200	dance_argument	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_dance_argument_l200
4202078	h2_dance_argument_l500	dance_argument	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_dance_argument_l500
4202079	h2_dance_argument_l2000	dance_argument	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_dance_argument_l2000
4202080	h2_horse_circle_l200	horse_circle	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_horse_circle_l200
4202081	h2_horse_circle_l500	horse_circle	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_horse_circle_l500
4202082	h2_horse_circle_l2000	horse_circle	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_horse_circle_l2000
4202083	h2_acm_scf_l200	acm_scf	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_acm_scf_l200
4202084	h2_acm_scf_l500	acm_scf	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_acm_scf_l500
4202085	h2_acm_scf_l2000	acm_scf	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_acm_scf_l2000
4202086	h2_teapot_droplets_l200	teapot_droplets	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_teapot_droplets_l200
4202087	h2_teapot_droplets_l500	teapot_droplets	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_teapot_droplets_l500
4202088	h2_teapot_droplets_l2000	teapot_droplets	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n20/h2_teapot_droplets_l2000
