patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
36,-1,0.284461,0.817566,0.886631,0.748501,0.926218,0.873711,0.140120
35,32,0.263100,0.824870,0.885630,0.764111,0.920459,0.887567,0.121285
34,9,0.256886,0.826180,0.884921,0.767439,0.918685,0.890528,0.116770
33,2,0.252494,0.831547,0.885672,0.777422,0.919878,0.895745,0.110210
32,32,0.246973,0.836033,0.885901,0.786165,0.922399,0.898734,0.106698
31,9,0.244470,0.837469,0.887492,0.787446,0.923048,0.899977,0.105741
30,25,0.239825,0.839679,0.881946,0.797413,0.919933,0.905675,0.098109
29,9,0.241233,0.837717,0.877830,0.797604,0.916292,0.907014,0.096120
28,17,0.238944,0.840903,0.879062,0.802744,0.918214,0.909027,0.094120
27,26,0.243089,0.838938,0.877705,0.800170,0.919979,0.905126,0.098939
26,26,0.243043,0.835279,0.878398,0.792160,0.913213,0.906946,0.095856
25,23,0.244467,0.832793,0.877768,0.787818,0.909598,0.907249,0.094769
24,17,0.258009,0.824044,0.875265,0.772823,0.905204,0.901013,0.101918
23,23,0.262005,0.817867,0.875995,0.759739,0.897155,0.900633,0.100630
22,16,0.263917,0.812656,0.878230,0.747082,0.888144,0.902540,0.096938
21,1,0.267814,0.806165,0.872725,0.739606,0.876704,0.906153,0.091111
20,11,0.286124,0.788948,0.865960,0.711935,0.859163,0.901765,0.093615
19,15,0.300771,0.777156,0.851632,0.702679,0.843560,0.903773,0.089638
18,3,0.315997,0.758817,0.850632,0.667001,0.824312,0.898609,0.091887
17,15,0.329249,0.751052,0.835149,0.666955,0.813589,0.901402,0.088164
16,8,0.346900,0.734441,0.826188,0.642693,0.796970,0.896381,0.090932
15,14,0.363576,0.718455,0.810862,0.626048,0.776628,0.898159,0.086496
14,1,0.387834,0.707115,0.785573,0.628657,0.767794,0.893661,0.091052
13,2,0.415988,0.674063,0.788739,0.559388,0.730578,0.884543,0.092137
12,6,0.447080,0.639252,0.790351,0.488153,0.692581,0.871170,0.094973
11,1,0.474122,0.622133,0.762642,0.481624,0.674397,0.868741,0.095451
10,5,0.509205,0.596441,0.740129,0.452753,0.647618,0.859719,0.098402
9,2,0.543508,0.570929,0.709109,0.432749,0.620210,0.853276,0.099816
8,1,0.579975,0.520131,0.709319,0.330944,0.558503,0.837770,0.091068
7,4,0.627753,0.469423,0.675435,0.263412,0.500017,0.827856,0.080950
6,4,0.686425,0.429199,0.612637,0.245760,0.455336,0.822264,0.077617
5,4,0.735363,0.392559,0.560659,0.224460,0.415560,0.820607,0.071815
4,4,0.805335,0.350007,0.484539,0.215475,0.371767,0.806170,0.074826
3,3,0.867613,0.284979,0.415269,0.154689,0.297969,0.809942,0.053972
2,0,0.975867,0.177139,0.317396,0.036881,0.182208,0.682994,0.037688
1,1,1.083778,0.099685,0.162886,0.036484,0.101441,0.712397,0.025605
