step,loss
1,0.894852
10,0.806823
20,0.746148
30,0.727738
40,0.709794
50,0.700814
60,0.671884
70,0.660605
80,0.652574
90,0.646390
100,0.638764
110,0.621221
120,0.610367
130,0.595692
140,0.586617
150,0.568839
160,0.553532
170,0.542784
180,0.534159
190,0.523954
200,0.520644
210,0.512691
220,0.503805
230,0.494755
240,0.482196
250,0.470844
260,0.460109
270,0.452600
280,0.446567
290,0.440864
300,0.438182
310,0.426892
320,0.416825
330,0.404664
340,0.393142
350,0.386662
360,0.380460
370,0.369760
380,0.371235
390,0.368819
400,0.364650
410,0.360424
420,0.348255
430,0.345082
440,0.341216
450,0.335757
460,0.329777
470,0.322351
480,0.316665
490,0.313786
500,0.306489
510,0.310631
520,0.303496
530,0.302456
540,0.302633
550,0.301825
560,0.300067
570,0.298168
580,0.299020
590,0.300111
600,0.301891
610,0.305132
620,0.297568
630,0.294900
640,0.293797
650,0.289320
660,0.288897
670,0.286046
680,0.283933
690,0.281572
700,0.279455
710,0.278585
720,0.279942
730,0.278761
740,0.278616
750,0.280372
760,0.281267
770,0.279509
780,0.280529
790,0.279591
800,0.278624
810,0.278186
820,0.279270
830,0.279694
840,0.280157
850,0.279071
860,0.276786
870,0.275499
880,0.277388
890,0.277770
900,0.274860
910,0.276271
920,0.273465
930,0.275443
940,0.283398
950,0.282340
960,0.283303
970,0.282380
980,0.283673
990,0.283318
1000,0.284270
