patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
32,-1,0.062522,0.959975,0.946759,0.973190,0.991375,0.968017,0.032877
31,21,0.070201,0.955459,0.937119,0.973798,0.985518,0.968931,0.031740
30,11,0.055748,0.965402,0.948619,0.982185,0.988921,0.975913,0.024643
29,26,0.062052,0.960462,0.939899,0.981025,0.985998,0.973602,0.026961
28,21,0.062300,0.961468,0.942839,0.980097,0.986906,0.973794,0.026778
27,15,0.061688,0.961024,0.940666,0.981383,0.987052,0.973167,0.027458
26,10,0.060805,0.961904,0.946038,0.977770,0.987937,0.973306,0.027324
25,2,0.062940,0.960234,0.940393,0.980075,0.986262,0.973159,0.027485
24,9,0.062839,0.960716,0.944640,0.976791,0.985440,0.974522,0.026005
23,23,0.069280,0.957184,0.938539,0.975828,0.983143,0.973108,0.027479
22,17,0.073369,0.954826,0.932636,0.977016,0.979216,0.974358,0.025929
21,18,0.085375,0.947957,0.920876,0.975038,0.974203,0.971991,0.028193
20,7,0.093692,0.943458,0.913686,0.973230,0.970573,0.970757,0.029243
19,5,0.106088,0.936655,0.906660,0.966651,0.964049,0.970058,0.029777
18,14,0.122077,0.928180,0.892362,0.963998,0.956353,0.968583,0.030855
17,10,0.147439,0.913947,0.870640,0.957254,0.943247,0.966466,0.032447
16,10,0.171608,0.901445,0.850321,0.952568,0.933270,0.962776,0.035717
15,14,0.199181,0.886425,0.819029,0.953821,0.918838,0.960680,0.037058
14,6,0.233925,0.866705,0.787964,0.945446,0.900631,0.957447,0.039465
13,9,0.269469,0.848025,0.749483,0.946568,0.883731,0.953405,0.042401
12,5,0.301148,0.829932,0.756313,0.903551,0.862395,0.956212,0.039159
11,10,0.332229,0.812967,0.718525,0.907410,0.845545,0.954739,0.039803
10,6,0.367213,0.793750,0.681738,0.905762,0.825779,0.953409,0.039944
9,1,0.402340,0.774780,0.654835,0.894725,0.806996,0.950963,0.041090
8,7,0.446355,0.751272,0.620794,0.881750,0.783312,0.947716,0.042284
7,7,0.493134,0.726687,0.599563,0.853811,0.742484,0.965182,0.024228
6,6,0.549526,0.696421,0.563281,0.829562,0.711030,0.963916,0.023714
5,3,0.621527,0.656030,0.558863,0.753198,0.668374,0.966271,0.021281
4,4,0.721779,0.598503,0.524609,0.672397,0.605671,0.976989,0.013177
3,0,0.874361,0.513232,0.504452,0.522013,0.518766,0.979485,0.010924
2,1,1.052544,0.412934,0.469157,0.356711,0.416587,0.981454,0.008300
1,1,1.282075,0.284751,0.283158,0.286343,0.285961,0.985459,0.004273
