job_id	job_name	pair	ratio	silhouette	negative_space	seed	output_dir
4114624	w_horse_circle_r0p5_seed1	horse_circle	0.5	1.5	3	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r0p5_seed1
4114625	w_horse_circle_r0p5_seed2	horse_circle	0.5	1.5	3	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r0p5_seed2
4114626	w_horse_circle_r0p8_seed0	horse_circle	0.8	2	2.5	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r0p8_seed0
4114627	w_horse_circle_r0p8_seed1	horse_circle	0.8	2	2.5	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r0p8_seed1
4114628	w_horse_circle_r0p8_seed2	horse_circle	0.8	2	2.5	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r0p8_seed2
4114629	w_horse_circle_r1_seed0	horse_circle	1	2.25	2.25	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r1_seed0
4114630	w_horse_circle_r1_seed1	horse_circle	1	2.25	2.25	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r1_seed1
4114631	w_horse_circle_r1_seed2	horse_circle	1	2.25	2.25	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r1_seed2
4114632	w_horse_circle_r2_seed0	horse_circle	2	3	1.5	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r2_seed0
4114633	w_horse_circle_r2_seed1	horse_circle	2	3	1.5	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r2_seed1
4114634	w_horse_circle_r2_seed2	horse_circle	2	3	1.5	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r2_seed2
4114635	w_horse_circle_r4_seed0	horse_circle	4	3.6	0.9	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r4_seed0
4114636	w_horse_circle_r4_seed1	horse_circle	4	3.6	0.9	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r4_seed1
4114637	w_horse_circle_r4_seed2	horse_circle	4	3.6	0.9	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_horse_circle_r4_seed2
4114638	w_sun_moon_r0p25_seed0	sun_moon	0.25	0.9	3.6	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r0p25_seed0
4114639	w_sun_moon_r0p25_seed1	sun_moon	0.25	0.9	3.6	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r0p25_seed1
4114640	w_sun_moon_r0p25_seed2	sun_moon	0.25	0.9	3.6	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r0p25_seed2
4114641	w_sun_moon_r0p5_seed0	sun_moon	0.5	1.5	3	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r0p5_seed0
4114642	w_sun_moon_r0p5_seed1	sun_moon	0.5	1.5	3	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r0p5_seed1
4114643	w_sun_moon_r0p5_seed2	sun_moon	0.5	1.5	3	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r0p5_seed2
4114644	w_sun_moon_r0p8_seed0	sun_moon	0.8	2	2.5	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r0p8_seed0
4114645	w_sun_moon_r0p8_seed1	sun_moon	0.8	2	2.5	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r0p8_seed1
4114646	w_sun_moon_r0p8_seed2	sun_moon	0.8	2	2.5	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r0p8_seed2
4114647	w_sun_moon_r1_seed0	sun_moon	1	2.25	2.25	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r1_seed0
4114648	w_sun_moon_r1_seed1	sun_moon	1	2.25	2.25	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r1_seed1
4114649	w_sun_moon_r1_seed2	sun_moon	1	2.25	2.25	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r1_seed2
4114650	w_sun_moon_r2_seed0	sun_moon	2	3	1.5	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r2_seed0
4114651	w_sun_moon_r2_seed1	sun_moon	2	3	1.5	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r2_seed1
4114652	w_sun_moon_r2_seed2	sun_moon	2	3	1.5	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r2_seed2
4114653	w_sun_moon_r4_seed0	sun_moon	4	3.6	0.9	0	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r4_seed0
4114654	w_sun_moon_r4_seed1	sun_moon	4	3.6	0.9	1	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r4_seed1
4114655	w_sun_moon_r4_seed2	sun_moon	4	3.6	0.9	2	/oscar/home/cjmok/automated-perspective-sculptor/results/weights/sweep_20260720_0247/w_sun_moon_r4_seed2
