step,loss
1,0.748559
10,0.662910
20,0.596122
30,0.548317
40,0.514477
50,0.487475
60,0.470945
70,0.455735
80,0.439530
90,0.421911
100,0.402433
110,0.390218
120,0.374554
130,0.361115
140,0.348998
150,0.343629
160,0.339508
170,0.334678
180,0.328961
190,0.324888
200,0.322830
210,0.319575
220,0.313354
230,0.309223
240,0.304028
250,0.296901
260,0.291142
270,0.284620
280,0.277626
290,0.271458
300,0.265848
310,0.259660
320,0.256486
330,0.254569
340,0.252632
350,0.250527
360,0.245633
370,0.242095
380,0.239182
390,0.235572
400,0.235918
410,0.232737
420,0.232883
430,0.230443
440,0.231503
450,0.232222
460,0.230500
470,0.229720
480,0.229254
490,0.227163
500,0.226529
510,0.226617
520,0.223074
530,0.224506
540,0.222308
550,0.222240
560,0.222382
570,0.222189
580,0.220139
590,0.219019
600,0.217897
610,0.220257
620,0.218496
630,0.216701
640,0.216439
650,0.216726
660,0.217600
670,0.216428
680,0.214129
690,0.213843
700,0.213951
710,0.213063
720,0.213406
730,0.213799
740,0.212379
750,0.213567
760,0.212003
770,0.214537
780,0.214632
790,0.215469
800,0.215918
810,0.213301
820,0.212585
830,0.213679
840,0.214698
850,0.215656
860,0.218951
870,0.221187
880,0.220864
890,0.217245
900,0.214697
910,0.215224
920,0.212535
930,0.217169
940,0.221836
950,0.219969
960,0.219312
970,0.215379
980,0.213203
990,0.215660
1000,0.215437
