round,candidate,score,new_view1,new_view2,spill_view1,spill_view2,covered_view1,covered_view2,panels
0,4799,102.000000,130,74,0,0,130,74,1
1,5401,96.500000,129,64,0,0,259,138,2
2,204,96.000000,96,96,0,0,355,234,3
3,1005,96.000000,96,96,0,0,451,330,4
4,2770,95.000000,94,96,0,0,545,426,5
5,2523,93.000000,126,60,0,0,671,486,6
6,667,92.500000,108,77,0,0,779,563,7
7,1483,92.500000,96,89,0,0,875,652,8
8,4229,92.500000,94,91,0,0,969,743,9
9,4580,92.000000,96,88,0,0,1065,831,10
10,1179,91.500000,95,88,0,0,1160,919,11
11,3304,91.500000,109,74,0,0,1269,993,12
12,542,90.000000,122,60,1,0,1392,1053,13
13,2614,90.000000,96,84,0,0,1488,1137,14
14,234,89.500000,119,60,0,0,1607,1197,15
15,1814,89.500000,88,93,1,0,1696,1290,16
16,3653,89.500000,105,74,0,0,1801,1364,17
17,4247,88.000000,88,88,0,0,1889,1452,18
18,4760,87.500000,102,73,0,0,1991,1525,19
19,287,87.000000,105,69,0,0,2096,1594,20
20,5543,87.000000,82,92,0,0,2178,1686,21
21,3004,86.000000,96,76,0,0,2274,1762,22
22,5623,86.000000,95,77,0,0,2369,1839,23
23,3624,85.000000,86,84,0,0,2455,1923,24
24,4522,85.000000,76,96,1,0,2532,2019,25
25,2514,84.000000,111,57,0,0,2643,2076,26
26,45,83.500000,81,86,0,0,2724,2162,27
27,4825,83.000000,106,60,0,0,2830,2222,28
28,1725,82.000000,128,40,0,2,2958,2264,29
29,1746,82.000000,88,76,0,0,3046,2340,30
30,5247,81.000000,112,50,0,0,3158,2390,31
31,614,80.000000,88,72,0,0,3246,2462,32
32,1759,79.500000,81,78,0,0,3327,2540,33
33,5607,79.500000,87,72,0,0,3414,2612,34
34,5826,79.500000,120,39,0,0,3534,2651,35
35,5364,76.500000,74,85,2,1,3610,2737,36
36,5646,76.000000,71,81,0,0,3681,2818,37
37,5822,74.000000,89,63,2,0,3772,2881,38
38,4274,72.500000,73,72,0,0,3845,2953,39
39,2366,70.500000,84,59,1,0,3930,3012,40
40,2685,68.500000,70,79,6,0,4006,3091,41
41,5374,68.500000,71,72,3,0,4080,3163,42
42,3314,68.000000,120,16,0,0,4200,3179,43
43,4761,68.000000,52,86,1,0,4253,3265,44
44,3210,67.000000,75,59,0,0,4328,3324,45
45,3212,66.500000,96,37,0,0,4424,3361,46
46,1770,64.500000,25,104,0,0,4449,3465,47
47,2314,63.000000,81,51,3,0,4533,3516,48
48,3287,61.500000,88,45,2,3,4623,3564,49
49,3154,61.000000,80,42,0,0,4703,3606,50
50,4700,60.000000,89,31,0,0,4792,3637,51
51,5333,59.500000,75,52,4,0,4871,3689,52
52,518,58.500000,63,54,0,0,4934,3743,53
53,5737,58.000000,30,86,0,0,4964,3829,54
54,3356,57.000000,15,103,1,1,4980,3933,55
55,5699,56.500000,29,84,0,0,5009,4017,56
56,3989,56.000000,96,20,2,0,5107,4037,57
57,5458,54.500000,68,41,0,0,5175,4078,58
58,5470,54.000000,114,30,18,0,5307,4108,59
59,3440,53.000000,81,29,2,0,5390,4137,60
60,3704,53.000000,75,57,13,0,5478,4194,61
61,2388,51.500000,36,67,0,0,5514,4261,62
62,1359,51.000000,59,77,17,0,5590,4338,63
63,1471,50.500000,35,66,0,0,5625,4404,64
64,3162,50.000000,17,87,2,0,5644,4491,65
65,159,48.500000,13,92,4,0,5661,4583,66
66,3658,48.500000,66,47,4,4,5731,4634,67
67,743,47.000000,67,33,3,0,5801,4667,68
68,5325,46.000000,83,11,1,0,5885,4678,69
69,4864,45.500000,79,14,1,0,5965,4692,70
70,3182,44.500000,29,68,1,3,5995,4763,71
71,4217,43.500000,26,61,0,0,6021,4824,72
72,1369,43.000000,12,82,1,3,6034,4909,73
73,4129,43.000000,16,70,0,0,6050,4979,74
74,193,42.000000,78,18,6,0,6134,4997,75
75,615,42.000000,75,11,1,0,6210,5008,76
76,3332,41.500000,71,14,1,0,6282,5022,77
77,2423,41.000000,12,104,17,0,6311,5126,78
78,3983,40.500000,46,51,7,1,6364,5178,79
79,129,39.000000,63,43,14,0,6441,5221,80
80,906,37.500000,28,75,14,0,6483,5296,81
81,5209,37.500000,1,74,0,0,6484,5370,82
82,5726,37.500000,61,14,0,0,6545,5384,83
83,2945,37.000000,45,53,12,0,6602,5437,84
84,1308,36.500000,18,77,1,10,6621,5524,85
85,1602,35.000000,70,0,0,0,6691,5524,86
86,4429,34.500000,60,9,0,0,6751,5533,87
87,4517,34.500000,2,67,0,0,6753,5600,88
88,5614,34.500000,54,15,0,0,6807,5615,89
89,5917,34.500000,13,70,7,0,6827,5685,90
90,1267,33.000000,57,9,0,0,6884,5694,91
91,1169,32.000000,14,50,0,0,6898,5744,92
92,4902,32.000000,19,45,0,0,6917,5789,93
93,5417,31.000000,39,23,0,0,6956,5812,94
94,5846,31.000000,39,35,0,6,6995,5853,95
95,1410,30.000000,76,0,8,0,7079,5853,96
96,4125,30.000000,8,52,0,0,7087,5905,97
97,4447,29.000000,6,56,2,0,7095,5961,98
98,2203,28.500000,23,38,2,0,7120,5999,99
99,3436,28.500000,59,0,1,0,7180,5999,100
100,3508,28.500000,19,56,9,0,7208,6055,101
101,2009,28.000000,55,1,0,0,7263,6056,102
102,4640,28.000000,28,46,1,8,7292,6110,103
103,578,27.500000,59,26,6,9,7357,6145,104
104,2790,27.000000,0,54,0,0,7357,6199,105
105,2256,26.000000,0,52,0,0,7357,6251,106
106,4697,26.000000,25,27,0,0,7382,6278,107
107,4455,25.000000,48,2,0,0,7430,6280,108
108,5834,24.500000,0,49,0,0,7430,6329,109
109,521,23.000000,11,37,0,1,7441,6367,110
110,1478,23.000000,24,28,3,0,7468,6395,111
111,2678,22.500000,0,45,0,0,7468,6440,112
112,3064,22.000000,43,5,2,0,7513,6445,113
113,986,21.500000,42,1,0,0,7555,6446,114
114,315,21.000000,25,19,1,0,7581,6465,115
115,5608,20.500000,20,25,2,0,7603,6490,116
116,3235,19.500000,0,41,0,1,7603,6532,117
117,5671,19.500000,11,64,18,0,7632,6596,118
118,80,19.000000,26,12,0,0,7658,6608,119
119,4170,19.000000,34,60,14,14,7706,6682,120
120,264,18.500000,5,36,2,0,7713,6718,121
121,710,18.500000,21,16,0,0,7734,6734,122
122,53,18.000000,29,17,5,0,7768,6751,123
123,2769,18.000000,29,7,0,0,7797,6758,124
124,4034,18.000000,24,12,0,0,7821,6770,125
125,5455,18.000000,29,7,0,0,7850,6777,126
126,3132,17.000000,32,2,0,0,7882,6779,127
127,3641,16.500000,33,0,0,0,7915,6779,128
128,5747,16.500000,24,15,3,0,7942,6794,129
129,679,16.000000,23,9,0,0,7965,6803,130
130,2268,16.000000,12,20,0,0,7977,6823,131
131,5943,15.500000,30,1,0,0,8007,6824,132
132,1071,15.000000,27,3,0,0,8034,6827,133
133,4201,15.000000,32,4,3,0,8069,6831,134
134,4056,14.500000,39,2,6,0,8114,6833,135
135,2978,14.000000,24,6,1,0,8139,6839,136
136,3925,14.000000,2,36,5,0,8146,6875,137
137,528,13.500000,21,20,6,1,8173,6896,138
138,791,13.500000,0,27,0,0,8173,6923,139
139,1198,13.500000,0,29,0,1,8173,6953,140
140,4302,13.500000,0,27,0,0,8173,6980,141
141,1592,13.000000,20,8,1,0,8194,6988,142
142,2304,12.500000,8,23,0,3,8202,7014,143
143,2469,12.500000,0,33,0,4,8202,7051,144
144,3915,12.500000,31,0,3,0,8236,7051,145
145,286,12.000000,32,0,4,0,8272,7051,146
146,4749,12.000000,18,10,0,2,8290,7063,147
147,1985,11.500000,0,23,0,0,8290,7086,148
148,3898,11.500000,16,7,0,0,8306,7093,149
149,5485,11.500000,19,4,0,0,8325,7097,150
150,1050,11.000000,17,9,2,0,8344,7106,151
151,2323,11.000000,9,17,2,0,8355,7123,152
152,557,10.500000,16,5,0,0,8371,7128,153
153,482,10.000000,4,30,4,3,8379,7161,154
154,4044,10.000000,0,20,0,0,8379,7181,155
155,4167,10.000000,1,51,9,7,8389,7239,156
156,3246,10.000000,0,20,0,0,8389,7259,157
157,2774,9.500000,0,19,0,0,8389,7278,158
158,4546,9.500000,0,19,0,0,8389,7297,159
159,2464,9.000000,15,3,0,0,8404,7300,160
160,4155,9.000000,12,10,2,0,8418,7310,161
161,1318,8.500000,9,8,0,0,8427,7318,162
162,3346,8.000000,2,14,0,0,8429,7332,163
163,4719,8.000000,11,7,1,0,8441,7339,164
164,2518,7.500000,16,1,1,0,8458,7340,165
165,4208,7.500000,2,13,0,0,8460,7353,166
166,4427,7.500000,9,6,0,0,8469,7359,167
167,24,6.500000,0,17,2,0,8471,7376,168
168,34,6.500000,9,4,0,0,8480,7380,169
169,93,6.500000,19,0,3,0,8502,7380,170
170,180,6.500000,13,0,0,0,8515,7380,171
171,745,6.500000,8,5,0,0,8523,7385,172
172,2070,6.500000,4,51,21,0,8548,7436,173
173,2337,6.500000,5,8,0,0,8553,7444,174
174,4915,6.500000,0,13,0,0,8553,7457,175
175,1753,6.000000,10,2,0,0,8563,7459,176
176,2591,6.000000,12,0,0,0,8575,7459,177
177,2855,6.000000,30,2,10,0,8615,7461,178
178,5211,6.000000,10,2,0,0,8625,7463,179
179,5670,6.000000,12,0,0,0,8637,7463,180
180,268,5.500000,18,27,16,1,8671,7491,181
181,2974,5.500000,13,2,2,0,8686,7493,182
182,4082,5.500000,4,7,0,0,8690,7500,183
183,4608,5.500000,0,51,20,0,8710,7551,184
184,5647,8.000000,0,30,0,7,8710,7588,185
185,5700,7.000000,0,14,0,0,8710,7602,186
186,5812,6.000000,0,12,0,0,8710,7614,187
187,2,5.000000,10,0,0,0,8720,7614,188
188,591,5.000000,22,0,6,0,8748,7614,189
189,2820,5.000000,9,1,0,0,8757,7615,190
190,4085,5.000000,10,0,0,0,8767,7615,191
191,4413,5.000000,0,10,0,0,8767,7625,192
192,5043,5.000000,16,0,3,0,8786,7625,193
193,5179,5.000000,0,50,0,20,8786,7695,194
194,1264,4.500000,15,0,3,0,8804,7695,195
195,1981,4.500000,9,0,0,0,8813,7695,196
196,2495,4.500000,8,1,0,0,8821,7696,197
197,4279,4.500000,23,0,7,0,8851,7696,198
198,4281,4.500000,0,9,0,0,8851,7705,199
199,4623,4.500000,0,19,0,5,8851,7729,200
200,4726,4.500000,10,5,3,0,8864,7734,201
201,5267,4.500000,12,3,3,0,8879,7737,202
202,81,4.000000,0,8,0,0,8879,7745,203
203,416,4.000000,8,0,0,0,8887,7745,204
204,1342,4.000000,10,0,1,0,8898,7745,205
205,3717,4.000000,10,0,1,0,8909,7745,206
206,4802,4.000000,0,8,0,0,8909,7753,207
207,4855,4.000000,8,0,0,0,8917,7753,208
208,1927,3.500000,0,9,0,1,8917,7763,209
209,5969,3.500000,15,0,4,0,8936,7763,210
210,68,3.000000,10,0,2,0,8948,7763,211
211,495,3.000000,1,5,0,0,8949,7768,212
212,767,3.000000,10,0,2,0,8961,7768,213
213,982,3.000000,36,0,15,0,9012,7768,214
214,2718,3.000000,3,3,0,0,9015,7771,215
215,675,2.500000,5,2,1,0,9021,7773,216
216,696,2.500000,0,9,0,2,9021,7784,217
217,1832,2.500000,7,0,1,0,9029,7784,218
218,2910,2.500000,7,0,1,0,9037,7784,219
219,3715,2.500000,2,3,0,0,9039,7787,220
220,5870,2.500000,5,0,0,0,9044,7787,221
221,145,2.000000,4,0,0,0,9048,7787,222
222,372,2.000000,4,0,0,0,9052,7787,223
223,654,2.000000,0,4,0,0,9052,7791,224
224,856,2.000000,18,0,7,0,9077,7791,225
225,1067,2.000000,2,2,0,0,9079,7793,226
226,1538,2.000000,4,0,0,0,9083,7793,227
227,1872,2.000000,4,0,0,0,9087,7793,228
228,2232,2.000000,0,8,0,2,9087,7803,229
229,3911,2.000000,1,3,0,0,9088,7806,230
230,5040,2.000000,0,4,0,0,9088,7810,231
231,70,1.500000,0,3,0,0,9088,7813,232
232,504,1.500000,2,1,0,0,9090,7814,233
233,805,1.500000,0,23,0,10,9090,7847,234
234,876,1.500000,3,0,0,0,9093,7847,235
235,1074,1.500000,0,9,0,3,9093,7859,236
236,3159,1.500000,3,0,0,0,9096,7859,237
237,3661,1.500000,11,0,4,0,9111,7859,238
238,4049,1.500000,0,3,0,0,9111,7862,239
239,4706,1.500000,3,0,0,0,9114,7862,240
240,5565,1.500000,5,0,1,0,9120,7862,241
241,5798,1.500000,7,0,2,0,9129,7862,242
242,157,1.000000,0,4,0,1,9129,7867,243
243,660,1.000000,2,0,0,0,9131,7867,244
244,875,1.000000,3,1,0,1,9134,7869,245
245,901,1.000000,0,2,0,0,9134,7871,246
246,1479,1.000000,0,2,0,0,9134,7873,247
247,1683,1.000000,2,0,0,0,9136,7873,248
248,1861,1.000000,0,6,0,2,9136,7881,249
249,2511,1.000000,2,0,0,0,9138,7881,250
250,2562,1.000000,0,2,0,0,9138,7883,251
251,2898,1.000000,2,0,0,0,9140,7883,252
252,3537,1.000000,0,2,0,0,9140,7885,253
253,3588,1.000000,2,0,0,0,9142,7885,254
254,4358,1.000000,4,0,1,0,9147,7885,255
255,4398,1.000000,2,0,0,0,9149,7885,256
256,4671,1.000000,2,0,0,0,9151,7885,257
257,5349,1.000000,6,0,2,0,9159,7885,258
258,5361,1.000000,0,2,0,0,9159,7887,259
