patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
16,-1,0.030448,0.964327,0.966088,0.962567,0.973063,0.990806,0.009068
15,15,0.037040,0.955215,0.956776,0.953654,0.967010,0.987470,0.012360
14,10,0.039165,0.953443,0.955221,0.951664,0.964507,0.988200,0.011618
13,2,0.043182,0.946997,0.951753,0.942240,0.958362,0.987664,0.012037
12,12,0.045806,0.944869,0.950885,0.938853,0.957917,0.985854,0.013871
11,9,0.052521,0.935190,0.936582,0.933798,0.948186,0.985684,0.013909
10,8,0.059639,0.927881,0.939020,0.916742,0.940981,0.985150,0.014206
9,7,0.074234,0.905715,0.900901,0.910530,0.916461,0.987374,0.011831
8,7,0.101132,0.868568,0.829659,0.907478,0.880148,0.986025,0.012954
7,6,0.124361,0.838678,0.813304,0.864051,0.848277,0.987324,0.011218
6,6,0.156985,0.795928,0.742060,0.849796,0.807503,0.984137,0.013845
5,5,0.186196,0.758572,0.727470,0.789674,0.768415,0.984274,0.012670
4,4,0.240130,0.687069,0.625544,0.748595,0.695174,0.985608,0.011005
3,3,0.311226,0.595376,0.587979,0.602773,0.601011,0.985010,0.009372
2,1,0.407984,0.466256,0.486179,0.446333,0.469209,0.985921,0.006558
1,0,0.531630,0.305592,0.382363,0.228821,0.307154,0.977087,0.005983
