step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.421,1.489770,0.161199,0.164435,0.157964,20,0.00000000,0,0.076986,0.090495,0.063476,0.695182,0.664598,0.725765,0.173653,0.179315,0.167990,0.024774,0.027771,0.196353,0.273964
25,27.304,1.182863,0.290809,0.296457,0.285161,20,0.00000000,0,0.037297,0.050037,0.024557,0.891992,0.861519,0.922466,0.301727,0.311291,0.292163,0.013400,0.010479,0.158564,0.223785
50,201.236,0.927924,0.437173,0.427791,0.446555,20,0.00000976,0,0.029624,0.038132,0.021115,0.938335,0.920926,0.955744,0.450044,0.444103,0.455984,0.010215,0.009006,0.127139,0.172556
75,227.958,0.710949,0.560809,0.531599,0.590018,20,0.00019950,0,0.023174,0.033110,0.013238,0.960738,0.943140,0.978336,0.573515,0.549200,0.597829,0.008851,0.005580,0.103168,0.126553
100,402.281,0.585768,0.645120,0.620370,0.669870,20,0.00237024,1,0.028576,0.044643,0.012510,0.958721,0.935553,0.981890,0.663158,0.648065,0.678250,0.012182,0.005467,0.084107,0.101772
125,429.497,0.469624,0.718272,0.693422,0.743123,20,0.00178061,2,0.031941,0.053292,0.010590,0.959045,0.931996,0.986094,0.740684,0.730376,0.750993,0.014458,0.004532,0.067877,0.078754
150,605.500,0.401531,0.760285,0.713163,0.807407,20,0.00127252,2,0.036743,0.065476,0.008009,0.955461,0.920667,0.990255,0.786866,0.759859,0.813873,0.017790,0.003529,0.064049,0.058838
175,633.026,0.369508,0.779669,0.724582,0.834756,20,0.00067090,2,0.038330,0.068452,0.008208,0.954553,0.918764,0.990342,0.807894,0.774182,0.841607,0.018679,0.003473,0.061608,0.050330
200,804.221,0.342680,0.795170,0.730396,0.859945,20,0.00021169,1,0.040587,0.072173,0.009002,0.952674,0.915615,0.989732,0.825398,0.783110,0.867686,0.019577,0.003616,0.060293,0.042288
225,830.689,0.318754,0.812992,0.716415,0.909568,20,0.00019089,0,0.050201,0.091797,0.008605,0.942837,0.894966,0.990708,0.849787,0.782180,0.917395,0.025069,0.003571,0.064820,0.027067
250,998.978,0.302846,0.828005,0.707234,0.948777,19,0.00009422,0,0.061334,0.113467,0.009200,0.932270,0.874058,0.990483,0.872494,0.787481,0.957506,0.031343,0.003751,0.068551,0.014830
