pair	group	n	milestone	mean_steps	mean_seconds	reached
acm_scf	basic	1	iou_0p50	-	-	0/1
acm_scf	basic	1	iou_0p60	-	-	0/1
acm_scf	basic	1	iou_0p70	-	-	0/1
acm_scf	basic	1	iou_0p75	-	-	0/1
acm_scf	basic	1	iou_0p80	-	-	0/1
acm_scf	basic	1	iou_0p85	-	-	0/1
acm_scf	basic	1	iou_0p90	-	-	0/1
acm_scf	basic	1	rel_90pct	550	147.511	1/1
acm_scf	basic	1	rel_95pct	1050	275.131	1/1
acm_scf	basic	1	rel_99pct	1400	364.003	1/1
cat_face_bass	basic	1	iou_0p50	150	41.346	1/1
cat_face_bass	basic	1	iou_0p60	225	61.726	1/1
cat_face_bass	basic	1	iou_0p70	350	94.946	1/1
cat_face_bass	basic	1	iou_0p75	-	-	0/1
cat_face_bass	basic	1	iou_0p80	-	-	0/1
cat_face_bass	basic	1	iou_0p85	-	-	0/1
cat_face_bass	basic	1	iou_0p90	-	-	0/1
cat_face_bass	basic	1	rel_90pct	300	81.709	1/1
cat_face_bass	basic	1	rel_95pct	350	94.946	1/1
cat_face_bass	basic	1	rel_99pct	475	127.994	1/1
crane_crab	basic	1	iou_0p50	625	162.342	1/1
crane_crab	basic	1	iou_0p60	-	-	0/1
crane_crab	basic	1	iou_0p70	-	-	0/1
crane_crab	basic	1	iou_0p75	-	-	0/1
crane_crab	basic	1	iou_0p80	-	-	0/1
crane_crab	basic	1	iou_0p85	-	-	0/1
crane_crab	basic	1	iou_0p90	-	-	0/1
crane_crab	basic	1	rel_90pct	700	181.916	1/1
crane_crab	basic	1	rel_95pct	850	221.573	1/1
crane_crab	basic	1	rel_99pct	1100	283.903	1/1
dance_argument	basic	1	iou_0p50	-	-	0/1
dance_argument	basic	1	iou_0p60	-	-	0/1
dance_argument	basic	1	iou_0p70	-	-	0/1
dance_argument	basic	1	iou_0p75	-	-	0/1
dance_argument	basic	1	iou_0p80	-	-	0/1
dance_argument	basic	1	iou_0p85	-	-	0/1
dance_argument	basic	1	iou_0p90	-	-	0/1
dance_argument	basic	1	rel_90pct	375	101.541	1/1
dance_argument	basic	1	rel_95pct	600	159.661	1/1
dance_argument	basic	1	rel_99pct	1150	298.699	1/1
dancer_guitar	basic	1	iou_0p50	425	114.41	1/1
dancer_guitar	basic	1	iou_0p60	1825	493.542	1/1
dancer_guitar	basic	1	iou_0p70	2950	802.986	1/1
dancer_guitar	basic	1	iou_0p75	-	-	0/1
dancer_guitar	basic	1	iou_0p80	-	-	0/1
dancer_guitar	basic	1	iou_0p85	-	-	0/1
dancer_guitar	basic	1	iou_0p90	-	-	0/1
dancer_guitar	basic	1	rel_90pct	2425	660.357	1/1
dancer_guitar	basic	1	rel_95pct	3025	822.016	1/1
dancer_guitar	basic	1	rel_99pct	3225	875.698	1/1
horse_circle	basic	1	iou_0p50	150	44.441	1/1
horse_circle	basic	1	iou_0p60	200	59.416	1/1
horse_circle	basic	1	iou_0p70	275	81.837	1/1
horse_circle	basic	1	iou_0p75	300	89.332	1/1
horse_circle	basic	1	iou_0p80	350	104.251	1/1
horse_circle	basic	1	iou_0p85	-	-	0/1
horse_circle	basic	1	iou_0p90	-	-	0/1
horse_circle	basic	1	rel_90pct	300	89.332	1/1
horse_circle	basic	1	rel_95pct	350	104.251	1/1
horse_circle	basic	1	rel_99pct	500	149.231	1/1
robot_man	basic	1	iou_0p50	250	87.403	1/1
robot_man	basic	1	iou_0p60	450	158.356	1/1
robot_man	basic	1	iou_0p70	950	339.986	1/1
robot_man	basic	1	iou_0p75	-	-	0/1
robot_man	basic	1	iou_0p80	-	-	0/1
robot_man	basic	1	iou_0p85	-	-	0/1
robot_man	basic	1	iou_0p90	-	-	0/1
robot_man	basic	1	rel_90pct	875	312.047	1/1
robot_man	basic	1	rel_95pct	950	339.986	1/1
robot_man	basic	1	rel_99pct	1175	421.591	1/1
siggraph_sigchi	basic	1	iou_0p50	-	-	0/1
siggraph_sigchi	basic	1	iou_0p60	-	-	0/1
siggraph_sigchi	basic	1	iou_0p70	-	-	0/1
siggraph_sigchi	basic	1	iou_0p75	-	-	0/1
siggraph_sigchi	basic	1	iou_0p80	-	-	0/1
siggraph_sigchi	basic	1	iou_0p85	-	-	0/1
siggraph_sigchi	basic	1	iou_0p90	-	-	0/1
siggraph_sigchi	basic	1	rel_90pct	1825	458.401	1/1
siggraph_sigchi	basic	1	rel_95pct	1975	496.683	1/1
siggraph_sigchi	basic	1	rel_99pct	2250	566.543	1/1
sun_moon	basic	1	iou_0p50	-	-	0/1
sun_moon	basic	1	iou_0p60	-	-	0/1
sun_moon	basic	1	iou_0p70	-	-	0/1
sun_moon	basic	1	iou_0p75	-	-	0/1
sun_moon	basic	1	iou_0p80	-	-	0/1
sun_moon	basic	1	iou_0p85	-	-	0/1
sun_moon	basic	1	iou_0p90	-	-	0/1
sun_moon	basic	1	rel_90pct	250	66.417	1/1
sun_moon	basic	1	rel_95pct	350	92.036	1/1
sun_moon	basic	1	rel_99pct	525	138.759	1/1
teapot_droplets	basic	1	iou_0p50	-	-	0/1
teapot_droplets	basic	1	iou_0p60	-	-	0/1
teapot_droplets	basic	1	iou_0p70	-	-	0/1
teapot_droplets	basic	1	iou_0p75	-	-	0/1
teapot_droplets	basic	1	iou_0p80	-	-	0/1
teapot_droplets	basic	1	iou_0p85	-	-	0/1
teapot_droplets	basic	1	iou_0p90	-	-	0/1
teapot_droplets	basic	1	rel_90pct	2025	510.238	1/1
teapot_droplets	basic	1	rel_95pct	2075	523.21	1/1
teapot_droplets	basic	1	rel_99pct	2525	635.827	1/1
water_fire	basic	1	iou_0p50	175	46.241	1/1
water_fire	basic	1	iou_0p60	300	79.057	1/1
water_fire	basic	1	iou_0p70	-	-	0/1
water_fire	basic	1	iou_0p75	-	-	0/1
water_fire	basic	1	iou_0p80	-	-	0/1
water_fire	basic	1	iou_0p85	-	-	0/1
water_fire	basic	1	iou_0p90	-	-	0/1
water_fire	basic	1	rel_90pct	400	105.899	1/1
water_fire	basic	1	rel_95pct	475	126.591	1/1
water_fire	basic	1	rel_99pct	925	249.566	1/1
