step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
750,4120.989,0.084502,0.938599,0.933573,0.943624,28,0.00013027,2,0.021412,0.028611,0.014213,0.978217,0.971067,0.985366,0.958660,0.960284,0.957036,0.006543,0.003107,0.013008,0.010304
775,4159.012,0.081696,0.940573,0.939524,0.941622,28,0.00011558,3,0.022756,0.028912,0.016600,0.976958,0.970961,0.982955,0.961970,0.966687,0.957253,0.006454,0.003458,0.011662,0.010587
800,4398.855,0.088096,0.936913,0.933152,0.940673,28,0.00002146,3,0.023042,0.031112,0.014972,0.976619,0.968678,0.984560,0.958471,0.962185,0.954758,0.007241,0.003322,0.013161,0.010918
825,4436.451,0.080663,0.941287,0.941668,0.940906,28,0.00015101,3,0.021233,0.029012,0.013453,0.978509,0.970930,0.986088,0.961276,0.968988,0.953564,0.006663,0.002852,0.011368,0.010727
850,4676.650,0.087881,0.936705,0.934244,0.939167,28,0.00007161,3,0.023016,0.033013,0.013019,0.976712,0.966924,0.986500,0.958240,0.965086,0.951394,0.007646,0.002847,0.012912,0.011119
875,4714.524,0.083562,0.939545,0.945007,0.934082,28,0.00070045,3,0.020849,0.027811,0.013887,0.978856,0.972164,0.985548,0.959171,0.971289,0.947054,0.006487,0.003008,0.010812,0.012130
900,4956.201,0.113911,0.920042,0.915949,0.924136,28,0.00033305,4,0.030917,0.045018,0.016817,0.968750,0.955081,0.982418,0.948430,0.957183,0.939677,0.010874,0.003374,0.016999,0.013769
925,4994.318,0.093012,0.931348,0.945638,0.917058,28,0.00136903,3,0.022547,0.028711,0.016383,0.977029,0.971332,0.982727,0.952436,0.972789,0.932082,0.006725,0.003269,0.010571,0.015117
950,5232.441,0.111327,0.920633,0.925777,0.915488,28,0.00052243,4,0.028064,0.043217,0.012911,0.971718,0.957168,0.986268,0.946547,0.965786,0.927308,0.010349,0.002797,0.014829,0.015585
975,5270.270,0.098039,0.928210,0.946240,0.910180,28,0.00091115,3,0.022780,0.030912,0.014647,0.976836,0.969284,0.984388,0.949501,0.975490,0.923511,0.007202,0.003296,0.010436,0.016782
1000,5504.440,0.100862,0.929835,0.937440,0.922231,28,0.00027093,2,0.029120,0.042617,0.015623,0.970906,0.958219,0.983593,0.957015,0.977391,0.936639,0.010178,0.003455,0.012318,0.014423
