patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
20,-1,0.151484,0.908560,0.921556,0.895565,0.963475,0.940878,0.060562
19,3,0.131119,0.917734,0.918247,0.917221,0.962757,0.951576,0.049056
18,13,0.128008,0.920058,0.920817,0.919299,0.962845,0.953995,0.046499
17,13,0.131527,0.918367,0.919548,0.917186,0.963684,0.951323,0.049340
16,15,0.130364,0.918625,0.918044,0.919207,0.961248,0.954031,0.046403
15,15,0.134105,0.916315,0.913204,0.919425,0.960657,0.952071,0.048413
14,13,0.133723,0.915954,0.917482,0.914426,0.959207,0.953166,0.047212
13,12,0.139677,0.911872,0.907599,0.916146,0.955649,0.952187,0.048038
12,7,0.143379,0.908851,0.910496,0.907207,0.952893,0.951705,0.048446
11,10,0.151344,0.897299,0.886890,0.907708,0.933948,0.958111,0.040835
10,3,0.158038,0.885289,0.890149,0.880429,0.913052,0.967077,0.031308
9,8,0.170765,0.874105,0.862709,0.885501,0.899110,0.969127,0.028750
8,6,0.188199,0.860019,0.861695,0.858343,0.886912,0.966239,0.031249
7,7,0.204509,0.845821,0.861830,0.829812,0.872028,0.966182,0.030816
6,3,0.226832,0.828363,0.853441,0.803286,0.855920,0.963315,0.032984
5,2,0.252673,0.806015,0.837419,0.774611,0.832224,0.963176,0.032193
4,4,0.316190,0.754189,0.774633,0.733744,0.778495,0.961155,0.031937
3,2,0.405150,0.680185,0.694980,0.665390,0.701459,0.958264,0.031032
2,2,0.533025,0.572575,0.688978,0.456172,0.592236,0.951450,0.031690
1,0,0.729169,0.391776,0.682203,0.101348,0.405714,0.914912,0.026297
