pair	group	n	milestone	mean_steps	mean_seconds	reached
water_fire	basic	1	iou_0p50	50	54.626	1/1
water_fire	basic	1	iou_0p60	50	54.626	1/1
water_fire	basic	1	iou_0p70	75	80.23	1/1
water_fire	basic	1	iou_0p75	100	106.253	1/1
water_fire	basic	1	iou_0p80	125	132.152	1/1
water_fire	basic	1	iou_0p85	250	264.198	1/1
water_fire	basic	1	iou_0p90	1075	1143.86	1/1
water_fire	basic	1	rel_90pct	175	184.645	1/1
water_fire	basic	1	rel_95pct	425	448.476	1/1
water_fire	basic	1	rel_99pct	1425	1516.3	1/1
