pair	group	n	final_loss	final_mean_iou	best_mean_iou	best_loss	final_patches	final_overlap	srd_total_adds	total_seconds
acm_scf	basic	1	0.400588	0.640308	0.65229	0.394155	20	0	-	1475.79
cat_face_bass	basic	1	0.10101	0.908051	0.910252	0.099573	20	1.708e-05	-	1691.16
crane_crab	basic	1	0.184223	0.723017	0.723017	0.18403	20	0.00019406	-	2177.63
dance_argument	basic	1	0.179743	0.791565	0.802054	0.175918	20	0.00039336	-	1577.67
dancer_guitar	basic	1	0.139826	0.762574	0.763935	0.134009	20	8.824e-05	-	1716.64
horse_circle	basic	1	0.264679	0.869596	0.873746	0.233023	20	0	-	1789.57
robot_man	basic	1	0.073422	0.904861	0.915075	0.065237	20	0.00025463	-	1568.65
siggraph_sigchi	basic	1	0.149002	0.777228	0.789795	0.142728	20	0.00013141	-	1655.93
sun_moon	basic	1	0.195994	0.80971	0.810914	0.187737	20	0.0001729	-	2794.55
teapot_droplets	basic	1	0.247854	0.636907	0.68188	0.198637	20	1.884e-05	-	1520.47
water_fire	basic	1	0.050136	0.921785	0.921785	0.04959	20	1.605e-05	-	2079.23
