job_id	job_name	pair	arm	config	view_loss	silhouette_weight	negative_space_weight	area_normalized	output_dir
6190509	neg_sun_moon_srd_softiou	sun_moon	srd	softiou	softiou	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_sun_moon_srd_softiou
6190510	neg_sun_moon_srd_tversky_r5p33	sun_moon	srd	tversky_r5p33	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_sun_moon_srd_tversky_r5p33
6190511	neg_sun_moon_srd_tversky_sym	sun_moon	srd	tversky_sym	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_sun_moon_srd_tversky_sym
6190512	neg_sun_moon_srd_tversky_r2	sun_moon	srd	tversky_r2	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_sun_moon_srd_tversky_r2
6190513	neg_horse_circle_srd_softiou	horse_circle	srd	softiou	softiou	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_horse_circle_srd_softiou
6190514	neg_horse_circle_srd_tversky_r5p33	horse_circle	srd	tversky_r5p33	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_horse_circle_srd_tversky_r5p33
6190515	neg_horse_circle_srd_tversky_sym	horse_circle	srd	tversky_sym	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_horse_circle_srd_tversky_sym
6190516	neg_horse_circle_srd_tversky_r2	horse_circle	srd	tversky_r2	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_horse_circle_srd_tversky_r2
6190517	neg_cat_face_bass_srd_softiou	cat_face_bass	srd	softiou	softiou	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_cat_face_bass_srd_softiou
6190518	neg_cat_face_bass_srd_tversky_r5p33	cat_face_bass	srd	tversky_r5p33	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_cat_face_bass_srd_tversky_r5p33
6190519	neg_cat_face_bass_srd_tversky_sym	cat_face_bass	srd	tversky_sym	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_cat_face_bass_srd_tversky_sym
6190520	neg_cat_face_bass_srd_tversky_r2	cat_face_bass	srd	tversky_r2	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_cat_face_bass_srd_tversky_r2
6190521	neg_water_fire_srd_softiou	water_fire	srd	softiou	softiou	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_water_fire_srd_softiou
6190522	neg_water_fire_srd_tversky_r5p33	water_fire	srd	tversky_r5p33	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_water_fire_srd_tversky_r5p33
6190523	neg_water_fire_srd_tversky_sym	water_fire	srd	tversky_sym	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_water_fire_srd_tversky_sym
6190524	neg_water_fire_srd_tversky_r2	water_fire	srd	tversky_r2	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_water_fire_srd_tversky_r2
6190525	neg_robot_man_srd_softiou	robot_man	srd	softiou	softiou	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_robot_man_srd_softiou
6190526	neg_robot_man_srd_tversky_r5p33	robot_man	srd	tversky_r5p33	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_robot_man_srd_tversky_r5p33
6190527	neg_robot_man_srd_tversky_sym	robot_man	srd	tversky_sym	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_robot_man_srd_tversky_sym
6190528	neg_robot_man_srd_tversky_r2	robot_man	srd	tversky_r2	tversky	0	0	False	/oscar/home/cjmok/automated-perspective-sculptor/results/negspace/neg_regionloss_20260910/neg_robot_man_srd_tversky_r2
