job_id	job_name	pair	arm	seed	output_dir
4145861	hard_siggraph_sigchi_basic_seed0	siggraph_sigchi	basic	0	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_siggraph_sigchi_basic_seed0
4145862	hard_siggraph_sigchi_basic_seed1	siggraph_sigchi	basic	1	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_siggraph_sigchi_basic_seed1
4145863	hard_siggraph_sigchi_basic_seed2	siggraph_sigchi	basic	2	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_siggraph_sigchi_basic_seed2
4145864	hard_siggraph_sigchi_srd_seed0	siggraph_sigchi	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_siggraph_sigchi_srd_seed0
4145865	hard_siggraph_sigchi_srd_seed1	siggraph_sigchi	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_siggraph_sigchi_srd_seed1
4145866	hard_siggraph_sigchi_srd_seed2	siggraph_sigchi	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_siggraph_sigchi_srd_seed2
4145867	hard_siggraph_sigchi_srd_no_swept_seed0	siggraph_sigchi	srd_no_swept	0	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_siggraph_sigchi_srd_no_swept_seed0
4145868	hard_siggraph_sigchi_srd_no_swept_seed1	siggraph_sigchi	srd_no_swept	1	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_siggraph_sigchi_srd_no_swept_seed1
4145869	hard_siggraph_sigchi_srd_no_swept_seed2	siggraph_sigchi	srd_no_swept	2	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_siggraph_sigchi_srd_no_swept_seed2
4145870	hard_crane_crab_basic_seed0	crane_crab	basic	0	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_crane_crab_basic_seed0
4145871	hard_crane_crab_basic_seed1	crane_crab	basic	1	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_crane_crab_basic_seed1
4145872	hard_crane_crab_basic_seed2	crane_crab	basic	2	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_crane_crab_basic_seed2
4145873	hard_crane_crab_srd_seed0	crane_crab	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_crane_crab_srd_seed0
4145874	hard_crane_crab_srd_seed1	crane_crab	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_crane_crab_srd_seed1
4145875	hard_crane_crab_srd_seed2	crane_crab	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_crane_crab_srd_seed2
4145876	hard_crane_crab_srd_no_swept_seed0	crane_crab	srd_no_swept	0	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_crane_crab_srd_no_swept_seed0
4145877	hard_crane_crab_srd_no_swept_seed1	crane_crab	srd_no_swept	1	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_crane_crab_srd_no_swept_seed1
4145878	hard_crane_crab_srd_no_swept_seed2	crane_crab	srd_no_swept	2	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_crane_crab_srd_no_swept_seed2
4145879	hard_teapot_droplets_basic_seed0	teapot_droplets	basic	0	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_teapot_droplets_basic_seed0
4145880	hard_teapot_droplets_basic_seed1	teapot_droplets	basic	1	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_teapot_droplets_basic_seed1
4145881	hard_teapot_droplets_basic_seed2	teapot_droplets	basic	2	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_teapot_droplets_basic_seed2
4145882	hard_teapot_droplets_srd_seed0	teapot_droplets	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_teapot_droplets_srd_seed0
4145883	hard_teapot_droplets_srd_seed1	teapot_droplets	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_teapot_droplets_srd_seed1
4145884	hard_teapot_droplets_srd_seed2	teapot_droplets	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_teapot_droplets_srd_seed2
4145885	hard_teapot_droplets_srd_no_swept_seed0	teapot_droplets	srd_no_swept	0	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_teapot_droplets_srd_no_swept_seed0
4145886	hard_teapot_droplets_srd_no_swept_seed1	teapot_droplets	srd_no_swept	1	/oscar/home/cjmok/automated-perspective-sculptor/results/hard_experiments/hard_20260721_1354/hard_teapot_droplets_srd_no_swept_seed1
