job_id	job_name	pair	arm	ratio	silhouette_weight	negative_space_weight	output_dir
4248326	aw_sun_moon_r0p25	sun_moon	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_sun_moon_r0p25
4248327	aw_sun_moon_r0p125	sun_moon	r0p125	0.125	0.5	4	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_sun_moon_r0p125
4248328	aw_sun_moon_r0p0625	sun_moon	r0p0625	0.0625	0.264706	4.23529	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_sun_moon_r0p0625
4248329	aw_sun_moon_r0p03125	sun_moon	r0p03125	0.03125	0.136364	4.36364	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_sun_moon_r0p03125
4248330	aw_sun_moon_r0p015625	sun_moon	r0p015625	0.015625	0.0692308	4.43077	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_sun_moon_r0p015625
4248331	aw_acm_scf_r0p25	acm_scf	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_acm_scf_r0p25
4248332	aw_acm_scf_r0p125	acm_scf	r0p125	0.125	0.5	4	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_acm_scf_r0p125
4248333	aw_acm_scf_r0p0625	acm_scf	r0p0625	0.0625	0.264706	4.23529	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_acm_scf_r0p0625
4248334	aw_acm_scf_r0p03125	acm_scf	r0p03125	0.03125	0.136364	4.36364	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_acm_scf_r0p03125
4248335	aw_acm_scf_r0p015625	acm_scf	r0p015625	0.015625	0.0692308	4.43077	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_acm_scf_r0p015625
4248336	aw_dance_argument_r0p25	dance_argument	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_dance_argument_r0p25
4248337	aw_dance_argument_r0p125	dance_argument	r0p125	0.125	0.5	4	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_dance_argument_r0p125
4248338	aw_dance_argument_r0p0625	dance_argument	r0p0625	0.0625	0.264706	4.23529	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_dance_argument_r0p0625
4248339	aw_dance_argument_r0p03125	dance_argument	r0p03125	0.03125	0.136364	4.36364	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_dance_argument_r0p03125
4248340	aw_dance_argument_r0p015625	dance_argument	r0p015625	0.015625	0.0692308	4.43077	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_dance_argument_r0p015625
4248341	aw_horse_circle_r0p25	horse_circle	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_horse_circle_r0p25
4248342	aw_horse_circle_r0p125	horse_circle	r0p125	0.125	0.5	4	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_horse_circle_r0p125
4248343	aw_horse_circle_r0p0625	horse_circle	r0p0625	0.0625	0.264706	4.23529	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_horse_circle_r0p0625
4248344	aw_horse_circle_r0p03125	horse_circle	r0p03125	0.03125	0.136364	4.36364	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_horse_circle_r0p03125
4248345	aw_horse_circle_r0p015625	horse_circle	r0p015625	0.015625	0.0692308	4.43077	/oscar/home/cjmok/aps-hinge2/results/areaweights/aw_low_20260724/aw_horse_circle_r0p015625
