## SLURM PROLOG ###############################################################
##    Job ID : 4079942
##  Job Name : 20260718_0323_comparison_water_fire_basic
##  Nodelist : gpu2603
##      CPUs : 
##  Mem/Node : 128000 MB
## Directory : /oscar/home/cjmok/automated-perspective-sculptor
##   Job Started : Sat Jul 18 03:41:58 AM EDT 2026
###############################################################################
[Swept volume] building (resolution=256)...
[Run] mode=full, trials=3, seeds=[0, 1, 2], steps=2000, srd=False, ablation_flags={'disable_swept_volume_adds': False, 'loss_only_deletion': False, 'disable_splitting': False}
[Trial 1/3] seed=0
[Patch] mapbox-earcut is not installed; falling back to fan fill, so non-convex pieces will render incorrectly. Install it with: pip install mapbox-earcut
  step 1000/2000: loss=0.098757, patches=20
  step 1050/2000: loss=0.098605, patches=20
  step 1100/2000: loss=0.098365, patches=20
  step 1150/2000: loss=0.099711, patches=20
  step 1200/2000: loss=0.096964, patches=20
  step 1250/2000: loss=0.096393, patches=20
  step 1300/2000: loss=0.095137, patches=20
  step 1350/2000: loss=0.095361, patches=20
  step 1400/2000: loss=0.095460, patches=20
  step 1450/2000: loss=0.094828, patches=20
  step 1500/2000: loss=0.092627, patches=20
  step 1550/2000: loss=0.089648, patches=20
  step 1600/2000: loss=0.082187, patches=20
  step 1650/2000: loss=0.081161, patches=20
  step 1700/2000: loss=0.083075, patches=20
  step 1750/2000: loss=0.081646, patches=20
  step 1800/2000: loss=0.080360, patches=20
  step 1850/2000: loss=0.078951, patches=20
  step 1900/2000: loss=0.078705, patches=20
  step 1950/2000: loss=0.080033, patches=20
  step 2000/2000: loss=0.079726, patches=20
[Trial 3] done: loss=0.079782, time=3237.0s
[Run] report written to results/slurm/20260718_0323/comparison_water_fire_basic/output.txt
