job_id	job_name	pair	method	seed	output_dir
-	conv_acm_scf_srd_seed0	acm_scf	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_acm_scf_srd_seed0
-	conv_acm_scf_srd_seed1	acm_scf	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_acm_scf_srd_seed1
-	conv_acm_scf_srd_seed2	acm_scf	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_acm_scf_srd_seed2
-	conv_acm_scf_base_seed0	acm_scf	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_acm_scf_base_seed0
-	conv_acm_scf_base_seed1	acm_scf	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_acm_scf_base_seed1
-	conv_acm_scf_base_seed2	acm_scf	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_acm_scf_base_seed2
-	conv_cat_face_bass_srd_seed0	cat_face_bass	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_cat_face_bass_srd_seed0
-	conv_cat_face_bass_srd_seed1	cat_face_bass	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_cat_face_bass_srd_seed1
-	conv_cat_face_bass_srd_seed2	cat_face_bass	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_cat_face_bass_srd_seed2
-	conv_cat_face_bass_base_seed0	cat_face_bass	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_cat_face_bass_base_seed0
-	conv_cat_face_bass_base_seed1	cat_face_bass	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_cat_face_bass_base_seed1
-	conv_cat_face_bass_base_seed2	cat_face_bass	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_cat_face_bass_base_seed2
-	conv_horse_circle_srd_seed0	horse_circle	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_horse_circle_srd_seed0
-	conv_horse_circle_srd_seed1	horse_circle	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_horse_circle_srd_seed1
-	conv_horse_circle_srd_seed2	horse_circle	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_horse_circle_srd_seed2
-	conv_horse_circle_base_seed0	horse_circle	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_horse_circle_base_seed0
-	conv_horse_circle_base_seed1	horse_circle	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_horse_circle_base_seed1
-	conv_horse_circle_base_seed2	horse_circle	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_horse_circle_base_seed2
-	conv_sun_moon_srd_seed0	sun_moon	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_sun_moon_srd_seed0
-	conv_sun_moon_srd_seed1	sun_moon	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_sun_moon_srd_seed1
-	conv_sun_moon_srd_seed2	sun_moon	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_sun_moon_srd_seed2
-	conv_sun_moon_base_seed0	sun_moon	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_sun_moon_base_seed0
-	conv_sun_moon_base_seed1	sun_moon	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_sun_moon_base_seed1
-	conv_sun_moon_base_seed2	sun_moon	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_sun_moon_base_seed2
-	conv_water_fire_srd_seed0	water_fire	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_water_fire_srd_seed0
-	conv_water_fire_srd_seed1	water_fire	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_water_fire_srd_seed1
-	conv_water_fire_srd_seed2	water_fire	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_water_fire_srd_seed2
-	conv_water_fire_base_seed0	water_fire	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_water_fire_base_seed0
-	conv_water_fire_base_seed1	water_fire	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_water_fire_base_seed1
-	conv_water_fire_base_seed2	water_fire	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_dryrun/conv_water_fire_base_seed2
