pair	group	n	final_loss	final_mean_iou	best_mean_iou	best_loss	final_patches	final_overlap	srd_total_adds	total_seconds
acm_scf	basic	3	0.368221	0.768483	0.771954	0.363277	20	3.929e-05	-	2470.16
acm_scf	srd	3	0.233933	0.85132	0.857175	0.226081	33	0.000105163	26.6667	12992.1
acm_scf	srd_no_swept	3	0.338057	0.791542	0.7956	0.331718	22	0.000107477	15.3333	8471.05
cat_face_bass	basic	3	0.145454	0.914148	0.916239	0.141229	20	0.000318303	-	2045.42
cat_face_bass	srd	3	0.0972317	0.941452	0.958641	0.0644963	29.6667	0.00128192	19.3333	13248.2
cat_face_bass	srd_no_swept	3	0.100594	0.939385	0.940634	0.0987833	19.3333	0.000297763	16.6667	7935.36
horse_circle	basic	3	0.223572	0.89536	0.89623	0.217901	20	0.00050876	-	2060.3
horse_circle	srd	3	0.197397	0.912509	0.942316	0.115906	30.3333	0.000111517	27.3333	14243.6
horse_circle	srd_no_swept	3	0.14199	0.922946	0.925198	0.136179	20.6667	7.29867e-05	15.3333	8412.25
sun_moon	basic	3	0.206045	0.855019	0.861773	0.198723	20	0.000277937	-	2399.96
sun_moon	srd	3	0.0665627	0.957652	0.95875	0.064616	31	6.084e-05	16	13427.1
sun_moon	srd_no_swept	3	0.220697	0.855308	0.869781	0.194341	19.3333	0.0002751	10.3333	7830.81
water_fire	basic	3	0.0650157	0.937135	0.940291	0.0603343	20	0.000279853	-	2033.79
water_fire	srd	3	0.044874	0.955485	0.964791	0.0352787	24	0.000307577	17.6667	9336.82
water_fire	srd_no_swept	3	0.067313	0.935531	0.946658	0.0556093	16	7.452e-05	10.6667	6766.1
