pair	group	n	milestone	mean_steps	mean_seconds	reached
acm_scf	basic	3	iou_0p50	158.333	193.855	3/3
acm_scf	basic	3	iou_0p60	216.667	270.033	3/3
acm_scf	basic	3	iou_0p70	508.333	668.649	3/3
acm_scf	basic	3	iou_0p75	525	514.04	1/3
acm_scf	basic	3	iou_0p80	800	784.79	1/3
acm_scf	basic	3	iou_0p85	-	-	0/3
acm_scf	basic	3	iou_0p90	-	-	0/3
acm_scf	basic	3	rel_90pct	441.667	548.346	3/3
acm_scf	basic	3	rel_95pct	658.333	829.652	3/3
acm_scf	basic	3	rel_99pct	1175	1474.92	3/3
acm_scf	srd	3	iou_0p50	116.667	439.08	3/3
acm_scf	srd	3	iou_0p60	175	775.903	3/3
acm_scf	srd	3	iou_0p70	241.667	1167.47	3/3
acm_scf	srd	3	iou_0p75	300	1571.34	3/3
acm_scf	srd	3	iou_0p80	400	2156.18	3/3
acm_scf	srd	3	iou_0p85	900	5463.07	2/3
acm_scf	srd	3	iou_0p90	-	-	0/3
acm_scf	srd	3	rel_90pct	325	1695.2	3/3
acm_scf	srd	3	rel_95pct	433.333	2396.78	3/3
acm_scf	srd	3	rel_99pct	1233.33	7998.49	3/3
acm_scf	srd_no_swept	3	iou_0p50	141.667	545.556	3/3
acm_scf	srd_no_swept	3	iou_0p60	225	912.737	3/3
acm_scf	srd_no_swept	3	iou_0p70	400	1659.5	3/3
acm_scf	srd_no_swept	3	iou_0p75	525	2246.79	3/3
acm_scf	srd_no_swept	3	iou_0p80	1925	6955.37	1/3
acm_scf	srd_no_swept	3	iou_0p85	-	-	0/3
acm_scf	srd_no_swept	3	iou_0p90	-	-	0/3
acm_scf	srd_no_swept	3	rel_90pct	441.667	1801.91	3/3
acm_scf	srd_no_swept	3	rel_95pct	541.667	2315.79	3/3
acm_scf	srd_no_swept	3	rel_99pct	1125	4514.02	3/3
cat_face_bass	basic	3	iou_0p50	75	79.0223	3/3
cat_face_bass	basic	3	iou_0p60	91.6667	95.927	3/3
cat_face_bass	basic	3	iou_0p70	175	181.493	3/3
cat_face_bass	basic	3	iou_0p75	233.333	241.297	3/3
cat_face_bass	basic	3	iou_0p80	316.667	327.25	3/3
cat_face_bass	basic	3	iou_0p85	358.333	370.415	3/3
cat_face_bass	basic	3	iou_0p90	758.333	776.995	3/3
cat_face_bass	basic	3	rel_90pct	333.333	344.585	3/3
cat_face_bass	basic	3	rel_95pct	441.667	458.113	3/3
cat_face_bass	basic	3	rel_99pct	875	896.326	3/3
