job	pair	group	arm	seed	overlap_mode	overlap_repair	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	final_patches	final_overlap	best_mean_iou	best_mean_iou_step	best_loss	best_loss_step	srd_total_adds	srd_total_deletes	total_seconds	iou_0p50_steps	iou_0p50_seconds	iou_0p60_steps	iou_0p60_seconds	iou_0p70_steps	iou_0p70_seconds	iou_0p75_steps	iou_0p75_seconds	iou_0p80_steps	iou_0p80_seconds	iou_0p85_steps	iou_0p85_seconds	iou_0p90_steps	iou_0p90_seconds	rel_90pct_steps	rel_90pct_seconds	rel_95pct_steps	rel_95pct_seconds	rel_99pct_steps	rel_99pct_seconds
final_acm_scf_basic_seed0	acm_scf	basic	basic	0	planar	True	steps	2000	0.304020	0.819725	0.832350	0.807099	20	0.00000000	0.824044	1975	0.301908	1975	-	-	1956.395	125	124.591	150	149.021	375	367.121	525	514.040	800	784.790	-1	-1	-1	-1	500	489.476	700	686.489	1225	1200.089
final_acm_scf_basic_seed1	acm_scf	basic	basic	1	planar	True	steps	2000	0.381052	0.743799	0.842737	0.644861	20	0.00010980	0.747340	1175	0.375318	1600	-	-	2117.139	200	208.061	275	286.079	450	470.496	-1	-1	-1	-1	-1	-1	-1	-1	350	364.711	525	551.028	1000	1054.297
final_acm_scf_basic_seed2	acm_scf	basic	basic	2	planar	True	steps	2000	0.419591	0.741926	0.801684	0.682168	20	0.00000807	0.744477	1600	0.412605	1675	-	-	3336.959	150	248.914	225	374.999	700	1168.329	-1	-1	-1	-1	-1	-1	-1	-1	475	790.850	750	1251.440	1300	2170.362
final_acm_scf_srd_no_swept_seed0	acm_scf	srd_no_swept	srd_no_swept	0	planar	True	steps	2000	0.327269	0.804961	0.820158	0.789763	19	0.00021627	0.804961	2000	0.327269	2000	13	14	7276.534	100	388.386	150	596.086	225	823.958	350	1391.510	1925	6955.374	-1	-1	-1	-1	325	1215.925	400	1592.650	1875	6784.809
final_acm_scf_srd_no_swept_seed1	acm_scf	srd_no_swept	srd_no_swept	1	planar	True	steps	2000	0.322996	0.796413	0.849345	0.743481	25	0.00000039	0.798470	1875	0.318330	1875	16	11	9554.870	175	641.937	300	1275.586	550	2404.372	650	2912.181	-1	-1	-1	-1	-1	-1	575	2439.627	675	2948.316	850	3910.703
final_acm_scf_srd_no_swept_seed2	acm_scf	srd_no_swept	srd_no_swept	2	planar	True	steps	2000	0.363906	0.773252	0.807889	0.738616	22	0.00010577	0.783368	675	0.349556	1300	17	15	8581.746	150	606.345	225	866.540	425	1750.175	575	2436.676	-1	-1	-1	-1	-1	-1	425	1750.175	550	2406.394	650	2846.562
final_acm_scf_srd_seed0	acm_scf	srd	srd	0	planar	True	steps	2000	0.226204	0.855158	0.918515	0.791801	33	0.00000015	0.861949	1725	0.218543	1750	30	17	12657.562	100	425.634	150	674.812	200	933.654	250	1204.076	375	1869.005	1325	8229.728	-1	-1	300	1498.264	475	2542.516	1600	10136.379
final_acm_scf_srd_seed1	acm_scf	srd	srd	1	planar	True	steps	2000	0.182153	0.884997	0.924512	0.845483	37	0.00013518	0.888826	1950	0.176837	1950	30	13	14030.060	125	438.288	200	934.823	275	1289.798	350	1902.629	400	2263.766	475	2696.421	-1	-1	400	2263.766	475	2696.421	1575	10843.489
final_acm_scf_srd_seed2	acm_scf	srd	srd	2	planar	True	steps	2000	0.293442	0.813804	0.859412	0.768196	29	0.00018016	0.820750	600	0.282862	600	20	11	12288.541	125	453.318	175	718.074	250	1278.944	300	1607.312	425	2335.775	-1	-1	-1	-1	275	1323.584	350	1951.402	525	3015.587
final_cat_face_bass_basic_seed0	cat_face_bass	basic	basic	0	planar	True	steps	2000	0.124695	0.924680	0.926387	0.922973	20	0.00007007	0.927407	1800	0.119491	1700	-	-	2107.191	75	81.064	75	81.064	125	134.537	150	160.622	250	264.690	300	317.258	675	715.186	275	290.823	525	555.352	900	953.421
final_cat_face_bass_basic_seed1	cat_face_bass	basic	basic	1	planar	True	steps	2000	0.147639	0.912721	0.897455	0.927987	20	0.00000982	0.913473	1925	0.145466	1975	-	-	1983.969	75	75.468	100	100.363	175	175.359	225	224.636	275	274.389	300	299.364	700	691.398	275	274.389	325	324.363	825	811.154
final_cat_face_bass_basic_seed2	cat_face_bass	basic	basic	2	planar	True	steps	2000	0.164029	0.905044	0.902752	0.907336	20	0.00087502	0.907838	1875	0.158730	1000	-	-	2045.087	75	80.535	100	106.354	225	234.582	325	338.633	425	442.670	475	494.624	900	924.402	450	468.544	475	494.624	900	924.402
final_cat_face_bass_srd_no_swept_seed0	cat_face_bass	srd_no_swept	srd_no_swept	0	planar	True	steps	2000	0.091642	0.943167	0.941625	0.944709	20	0.00009960	0.943414	1875	0.091582	1925	24	24	7659.936	75	224.158	100	397.224	125	426.074	175	616.422	250	952.519	350	1305.272	625	2263.563	350	1305.272	600	2233.999	1450	5519.770
final_cat_face_bass_srd_no_swept_seed1	cat_face_bass	srd_no_swept	srd_no_swept	1	planar	True	steps	2000	0.120019	0.928102	0.913855	0.942348	18	0.00016424	0.930472	1900	0.115799	1850	9	11	7593.836	75	233.641	100	435.153	150	667.844	200	896.708	225	930.129	275	1153.878	475	1986.117	250	1123.237	350	1550.973	1225	4780.181
final_cat_face_bass_srd_no_swept_seed2	cat_face_bass	srd_no_swept	srd_no_swept	2	planar	True	steps	2000	0.090121	0.946885	0.922698	0.971072	20	0.00062945	0.948017	1975	0.088969	1975	17	17	8552.304	75	227.387	100	418.869	200	889.370	225	921.530	250	1126.557	300	1363.174	950	4337.346	300	1363.174	950	4337.346	1400	6190.296
final_cat_face_bass_srd_seed0	cat_face_bass	srd	srd	0	planar	True	steps	2000	0.161279	0.906950	0.890702	0.923197	27	0.00370349	0.953841	1950	0.070086	1950	19	12	9980.237	75	220.070	100	414.866	100	414.866	150	659.124	200	901.276	250	1154.205	450	2177.135	275	1191.843	525	2460.854	1500	7441.599
final_cat_face_bass_srd_seed1	cat_face_bass	srd	srd	1	planar	True	steps	2000	0.070225	0.954878	0.940291	0.969465	28	0.00003561	0.959556	1275	0.063212	1250	19	11	17426.295	75	369.413	100	683.508	150	1090.659	200	1535.384	225	1601.480	250	2012.523	325	2572.003	250	2012.523	425	3477.798	850	7585.688
final_cat_face_bass_srd_seed2	cat_face_bass	srd	srd	2	planar	True	steps	2000	0.060191	0.962527	0.954939	0.970114	34	0.00010665	0.962527	2000	0.060191	2000	20	6	12338.028	75	228.640	100	426.166	150	682.966	175	721.710	200	963.650	225	1005.671	300	1595.172	250	1269.514	325	1641.131	1300	8032.214
final_horse_circle_basic_seed0	horse_circle	basic	basic	0	planar	True	steps	2000	0.313980	0.864774	0.765368	0.964180	20	0.00002228	0.864774	2000	0.304090	1025	-	-	2041.855	75	81.267	100	108.295	125	135.660	150	162.913	200	217.539	800	847.964	-1	-1	175	190.262	250	271.625	850	899.918
final_horse_circle_basic_seed1	horse_circle	basic	basic	1	planar	True	steps	2000	0.185806	0.914553	0.841626	0.987480	20	0.00001372	0.915889	1950	0.182146	1700	-	-	2085.276	75	79.452	100	106.013	125	132.660	175	185.576	250	265.343	325	345.844	900	949.454	275	292.062	600	636.600	975	1028.525
final_horse_circle_basic_seed2	horse_circle	basic	basic	2	planar	True	steps	2000	0.170931	0.906753	0.828003	0.985503	20	0.00149028	0.908026	1975	0.167468	1975	-	-	2053.762	75	79.769	75	79.769	100	106.464	125	133.552	175	186.562	325	344.121	1700	1743.032	225	239.434	350	369.879	1675	1716.934
final_horse_circle_srd_no_swept_seed0	horse_circle	srd_no_swept	srd_no_swept	0	planar	True	steps	2000	0.132664	0.931320	0.890114	0.972526	23	0.00001383	0.936827	1525	0.119533	1550	17	14	9121.717	75	228.895	100	408.715	125	439.578	175	654.099	250	1073.223	350	1564.428	525	2342.529	350	1564.428	475	2105.085	925	4207.479
