job_id	job_name	pair	arm	overlap_mode	seed	output_dir
4129997	final_sun_moon_basic_seed0	sun_moon	basic	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_sun_moon_basic_seed0
4129998	final_sun_moon_basic_seed1	sun_moon	basic	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_sun_moon_basic_seed1
4129999	final_sun_moon_basic_seed2	sun_moon	basic	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_sun_moon_basic_seed2
4130000	final_sun_moon_srd_seed0	sun_moon	srd	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_sun_moon_srd_seed0
4130001	final_sun_moon_srd_seed1	sun_moon	srd	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_sun_moon_srd_seed1
4130002	final_sun_moon_srd_seed2	sun_moon	srd	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_sun_moon_srd_seed2
4130003	final_sun_moon_srd_no_swept_seed0	sun_moon	srd_no_swept	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_sun_moon_srd_no_swept_seed0
4130004	final_sun_moon_srd_no_swept_seed1	sun_moon	srd_no_swept	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_sun_moon_srd_no_swept_seed1
4130005	final_sun_moon_srd_no_swept_seed2	sun_moon	srd_no_swept	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_sun_moon_srd_no_swept_seed2
4130006	final_horse_circle_basic_seed0	horse_circle	basic	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_horse_circle_basic_seed0
4130007	final_horse_circle_basic_seed1	horse_circle	basic	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_horse_circle_basic_seed1
