patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
23,-1,0.052625,0.957258,0.959117,0.955400,0.988075,0.968497,0.032205
22,3,0.055709,0.954607,0.958545,0.950669,0.986274,0.967545,0.033212
21,15,0.053191,0.956750,0.955690,0.957810,0.986165,0.969816,0.030739
20,3,0.053648,0.955304,0.959240,0.951368,0.987036,0.967506,0.033251
19,16,0.052320,0.956050,0.958674,0.953426,0.987016,0.968252,0.032405
18,15,0.055842,0.954010,0.957110,0.950910,0.985932,0.967189,0.033476
17,12,0.064279,0.951638,0.966381,0.936895,0.979470,0.970915,0.029424
16,2,0.067870,0.948006,0.963887,0.932125,0.978670,0.967880,0.032522
15,12,0.071922,0.946351,0.966277,0.926425,0.977443,0.967281,0.033135
14,2,0.081680,0.939660,0.957746,0.921574,0.972938,0.964705,0.035633
13,8,0.094443,0.933758,0.938595,0.928922,0.964680,0.966866,0.033160
12,4,0.111012,0.923376,0.919640,0.927111,0.956054,0.964575,0.035348
11,11,0.140649,0.907831,0.895254,0.920409,0.939838,0.964287,0.035116
10,8,0.169589,0.894182,0.906389,0.881976,0.920788,0.968611,0.029869
9,9,0.205686,0.873914,0.877780,0.870049,0.901288,0.966640,0.031380
8,3,0.244785,0.851337,0.836969,0.865705,0.883416,0.959989,0.037434
7,7,0.304442,0.818904,0.820854,0.816955,0.850757,0.956830,0.038938
6,2,0.363854,0.785446,0.831459,0.739434,0.822210,0.944565,0.047902
5,5,0.429758,0.748621,0.753188,0.744055,0.788821,0.936550,0.053787
4,2,0.518519,0.701153,0.651080,0.751227,0.739374,0.934968,0.053091
3,3,0.687080,0.612851,0.609732,0.615970,0.647523,0.921312,0.056461
2,0,0.883139,0.509640,0.624818,0.394462,0.532214,0.915831,0.045667
1,1,1.223197,0.326520,0.349178,0.303862,0.339627,0.894190,0.040070
