patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
37,-1,0.170661,0.865795,0.825146,0.906445,0.934532,0.921630,0.081653
36,34,0.165751,0.866203,0.826510,0.905897,0.930976,0.925440,0.076828
35,3,0.153743,0.873987,0.838019,0.909955,0.931446,0.934117,0.067513
34,32,0.143334,0.880849,0.848462,0.913235,0.932389,0.940828,0.059823
33,3,0.137848,0.887147,0.865311,0.908983,0.930485,0.950017,0.049404
32,3,0.138974,0.884243,0.855968,0.912517,0.932759,0.944265,0.055798
31,16,0.132790,0.888749,0.865391,0.912107,0.930394,0.951886,0.047452
30,19,0.133937,0.889775,0.867016,0.912535,0.933319,0.950079,0.049543
29,26,0.141288,0.884299,0.858859,0.909738,0.933041,0.944260,0.055985
28,6,0.131069,0.888758,0.863306,0.914210,0.929016,0.953236,0.045935
27,19,0.138341,0.883251,0.857187,0.909315,0.923734,0.952489,0.046556
26,24,0.138549,0.882013,0.852336,0.911690,0.923999,0.950640,0.048495
25,19,0.141225,0.879955,0.849985,0.909926,0.921813,0.950535,0.048460
24,20,0.143968,0.878435,0.847107,0.909763,0.922617,0.947890,0.051294
23,19,0.145831,0.876139,0.844028,0.908249,0.918866,0.949080,0.049730
22,22,0.150418,0.872977,0.841260,0.904693,0.917766,0.946603,0.052316
21,18,0.153012,0.867200,0.829012,0.905389,0.911923,0.945674,0.052894
20,15,0.158328,0.864032,0.825370,0.902694,0.908350,0.945695,0.052611
19,16,0.154348,0.866364,0.833180,0.899548,0.907819,0.949432,0.048973
18,17,0.168571,0.853410,0.812109,0.894710,0.898622,0.943251,0.054368
17,13,0.169445,0.853511,0.812510,0.894513,0.898082,0.944064,0.053742
16,15,0.176806,0.842358,0.788156,0.896561,0.884325,0.944655,0.051781
15,15,0.189741,0.830851,0.779915,0.881787,0.872474,0.943865,0.051955
14,14,0.204113,0.816744,0.753126,0.880363,0.859308,0.939980,0.054363
13,5,0.216755,0.805229,0.744951,0.865507,0.845571,0.941417,0.052155
12,11,0.224807,0.787471,0.702682,0.872261,0.823376,0.942613,0.048725
11,1,0.249763,0.770894,0.694771,0.847018,0.809151,0.937774,0.052664
10,9,0.263612,0.756077,0.683645,0.828508,0.791028,0.940663,0.048886
9,3,0.293426,0.729483,0.660435,0.798531,0.762449,0.939767,0.048025
8,3,0.340486,0.684207,0.589994,0.778421,0.717163,0.929210,0.052372
7,2,0.386840,0.633110,0.510815,0.755406,0.660774,0.925300,0.049056
6,1,0.439323,0.587488,0.479225,0.695752,0.611298,0.927316,0.044400
5,1,0.494454,0.548360,0.491716,0.605003,0.568932,0.933667,0.039323
4,3,0.580128,0.450797,0.337259,0.564334,0.464944,0.920028,0.035537
3,3,0.667347,0.373806,0.262200,0.485412,0.385378,0.901155,0.035954
2,2,0.762981,0.274220,0.145515,0.402924,0.280465,0.878209,0.027847
1,0,0.902701,0.160892,0.151838,0.169945,0.162040,0.958193,0.007095
