step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,1.408,0.840068,0.239231,0.292745,0.185717,20,0.00081343,0,0.352688,0.531514,0.173861,0.506943,0.457560,0.556326,0.333174,0.448343,0.218006,0.034668,0.039119,0.066064,0.176875,0.010000
25,27.249,0.595248,0.370269,0.432316,0.308222,20,0.00003567,1,0.175316,0.276803,0.073828,0.741817,0.666013,0.817620,0.441480,0.551982,0.330977,0.017985,0.016481,0.043959,0.137216,0.010000
50,193.469,0.475193,0.477478,0.513365,0.441592,23,0.00043444,2,0.147175,0.239766,0.054583,0.810726,0.726363,0.895089,0.551074,0.636452,0.465695,0.015361,0.011916,0.036246,0.108411,0.010000
75,223.165,0.408353,0.548093,0.572564,0.523622,23,0.00053294,3,0.138122,0.226771,0.049473,0.836676,0.755944,0.917408,0.625966,0.702404,0.549527,0.014604,0.010913,0.031362,0.091872,0.010000
100,412.119,0.363030,0.594825,0.620773,0.568877,24,0.00032805,3,0.125813,0.210526,0.041100,0.858131,0.781155,0.935107,0.671860,0.751462,0.592258,0.013501,0.009053,0.027194,0.082462,0.010000
125,443.041,0.343439,0.617500,0.652709,0.582290,24,0.00007541,1,0.114824,0.187135,0.042514,0.870010,0.805471,0.934550,0.690950,0.774854,0.607046,0.011968,0.009046,0.024333,0.079622,0.010000
150,624.664,0.322067,0.641716,0.684859,0.598573,22,0.00001141,0,0.098567,0.160819,0.036316,0.888220,0.831747,0.944693,0.707654,0.794997,0.620311,0.010325,0.008224,0.021433,0.076645,0.010000
175,652.878,0.317486,0.648180,0.682653,0.613708,22,0.00009663,0,0.111511,0.185510,0.037512,0.878942,0.813521,0.944364,0.723011,0.809292,0.636729,0.012007,0.008366,0.022129,0.073490,0.010000
200,826.845,0.310102,0.658468,0.690179,0.626756,21,0.00011169,1,0.117304,0.197531,0.037077,0.876571,0.807107,0.946036,0.738253,0.826511,0.649995,0.012873,0.008200,0.021898,0.070907,0.010000
225,853.814,0.305438,0.663697,0.683916,0.643478,21,0.00003381,2,0.127919,0.217999,0.037838,0.869480,0.792581,0.946379,0.750417,0.833008,0.667826,0.014181,0.008311,0.022752,0.067808,0.010000
250,1024.417,0.301183,0.664408,0.672244,0.656571,21,0.00004116,0,0.130355,0.223197,0.037512,0.867160,0.786513,0.947806,0.751744,0.822287,0.681200,0.014594,0.008358,0.023715,0.065193,0.010000
275,1050.992,0.307590,0.654621,0.660633,0.648609,21,0.00000741,2,0.128131,0.220598,0.035664,0.867390,0.785195,0.949585,0.739054,0.806368,0.671741,0.014346,0.008096,0.024528,0.066780,0.010000
300,1218.607,0.281190,0.683355,0.709276,0.657434,20,0.00001329,2,0.092557,0.148798,0.036316,0.897489,0.845583,0.949394,0.748062,0.814815,0.681309,0.009611,0.008289,0.019623,0.065154,0.010000
325,1244.761,0.274317,0.694041,0.716992,0.671090,20,0.00002479,0,0.094894,0.149123,0.040665,0.895860,0.846745,0.944976,0.761146,0.823912,0.698380,0.009672,0.009234,0.019153,0.062827,0.010000
350,1410.623,0.265027,0.700437,0.719184,0.681690,19,0.00004086,1,0.091964,0.146524,0.037404,0.899440,0.849113,0.949766,0.765874,0.824561,0.707187,0.009557,0.008358,0.018959,0.060417,0.010000
375,1436.006,0.258023,0.706502,0.725294,0.687710,19,0.00002543,0,0.085519,0.134178,0.036860,0.905305,0.859762,0.950848,0.767835,0.822612,0.713059,0.008649,0.008396,0.018265,0.059215,0.010000
400,1598.007,0.253209,0.709543,0.723771,0.695315,19,0.00001670,0,0.083841,0.130279,0.037404,0.906663,0.862624,0.950702,0.769693,0.818064,0.721322,0.008470,0.008241,0.018390,0.057653,0.010000
425,1623.161,0.249016,0.712385,0.718314,0.706457,19,0.00002233,0,0.088170,0.140676,0.035664,0.903495,0.853469,0.953521,0.775507,0.819363,0.731652,0.009168,0.007947,0.019002,0.055441,0.010000
450,1787.450,0.247594,0.717094,0.723002,0.711185,19,0.00000858,0,0.088128,0.134178,0.042079,0.902826,0.859380,0.946272,0.780562,0.820013,0.741111,0.008690,0.009532,0.018495,0.054923,0.010000
475,1813.085,0.245562,0.717928,0.719544,0.716312,19,0.00005271,1,0.090620,0.138726,0.042514,0.900670,0.855205,0.946136,0.783064,0.819363,0.746765,0.009073,0.009447,0.018861,0.053721,0.010000
500,1977.908,0.247480,0.718667,0.722885,0.714449,19,0.00000978,0,0.094360,0.144250,0.044471,0.897631,0.851505,0.943757,0.786691,0.827160,0.746222,0.009335,0.009896,0.018644,0.054231,0.010000
525,2003.288,0.242220,0.720782,0.724197,0.717366,19,0.00000973,0,0.085956,0.133203,0.038708,0.905486,0.860354,0.950617,0.782899,0.820663,0.745134,0.008675,0.008754,0.018451,0.053572,0.010000
550,2166.401,0.242554,0.719383,0.722699,0.716067,19,0.00002223,1,0.086928,0.136452,0.037404,0.904796,0.857531,0.952062,0.782082,0.821313,0.742851,0.008775,0.008415,0.018553,0.053697,0.010000
575,2191.418,0.237481,0.723109,0.724247,0.721972,19,0.00001094,0,0.084490,0.132229,0.036751,0.907169,0.861140,0.953199,0.784259,0.820013,0.748505,0.008585,0.008186,0.018341,0.052431,0.010000
600,2352.777,0.237313,0.726125,0.723265,0.728986,19,0.00000306,0,0.090504,0.142300,0.038708,0.902218,0.853069,0.951366,0.791695,0.826186,0.757203,0.009292,0.008833,0.018651,0.051391,0.010000
625,2377.770,0.236049,0.728002,0.721404,0.734600,19,0.00001253,0,0.094462,0.147498,0.041427,0.898700,0.848767,0.948632,0.796421,0.827810,0.765032,0.009641,0.009305,0.018868,0.050339,0.010000
650,2538.324,0.235356,0.728301,0.721023,0.735579,19,0.00001664,0,0.093002,0.143600,0.042405,0.899636,0.851678,0.947595,0.795667,0.824561,0.766772,0.009477,0.009468,0.018882,0.050094,0.010000
675,2563.274,0.231571,0.728849,0.717927,0.739772,19,0.00000304,0,0.093158,0.147173,0.039143,0.899971,0.848394,0.951548,0.796158,0.823587,0.768729,0.009500,0.008639,0.019004,0.049116,0.010000
700,2725.579,0.231834,0.729605,0.715578,0.743633,19,0.00000690,1,0.095383,0.149123,0.041644,0.897735,0.846488,0.948981,0.798444,0.822287,0.774600,0.009731,0.009227,0.019307,0.048491,0.010000
725,2750.487,0.232964,0.728934,0.718732,0.739135,19,0.00000271,0,0.094461,0.148148,0.040774,0.898731,0.847797,0.949664,0.797242,0.825211,0.769273,0.009618,0.009023,0.019003,0.049331,0.010000
750,2912.850,0.230506,0.731172,0.721544,0.740799,19,0.00000025,0,0.090771,0.144574,0.036969,0.902553,0.851021,0.954085,0.797023,0.825861,0.768185,0.009426,0.008403,0.018861,0.049060,0.010000
775,2937.608,0.232200,0.727981,0.718502,0.737459,19,0.00000682,0,0.091586,0.144899,0.038273,0.901314,0.850235,0.952394,0.794148,0.822612,0.765684,0.009380,0.008554,0.018892,0.049539,0.010000
800,3098.485,0.229743,0.729800,0.721162,0.738437,19,0.00000362,0,0.088713,0.140676,0.036751,0.904079,0.853963,0.954194,0.794094,0.822612,0.765576,0.009113,0.008212,0.018634,0.049284,0.010000
825,3123.110,0.228053,0.733516,0.725300,0.741733,19,0.00000954,0,0.088393,0.137752,0.039034,0.904371,0.856950,0.951793,0.797949,0.825211,0.770686,0.008940,0.008738,0.018400,0.048777,0.010000
850,3282.139,0.227456,0.732592,0.720864,0.744320,19,0.00000127,0,0.090720,0.142950,0.038491,0.902358,0.852151,0.952566,0.798441,0.823912,0.772969,0.009161,0.008593,0.018702,0.048239,0.010000
875,3306.617,0.229058,0.731685,0.719841,0.743528,19,0.00000396,1,0.093109,0.144574,0.041644,0.899848,0.850721,0.948974,0.799202,0.823912,0.774492,0.009301,0.009124,0.018795,0.048344,0.010000
900,3465.854,0.227540,0.732358,0.721321,0.743394,19,0.00001301,0,0.091213,0.141326,0.041100,0.901530,0.853486,0.949573,0.798605,0.823262,0.773948,0.009143,0.008812,0.018664,0.048203,0.010000
