job	pair	arm	kept_patches	kept_mean_iou	lambda_count	count_objective	count_lambda	count_softplus_beta	n_patches	seed	overlap_mode	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_spill	final_mean_precision	final_mean_coverage	final_patches	start_patches	max_patches	min_patches	mean_patches	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	iou_0p80_steps	iou_0p85_steps	iou_0p90_steps	total_seconds	pruned_patches	pruned_mean_iou	pruned_loss	pruned_mean_coverage	pruned_mean_precision	pruned_mean_spill	pruned_threshold	pruned_target_reached	count_target_reached	count_final_deficit	count_final_objective	patches_at_threshold	patches_shed_after_threshold
pc_water_fire_nopen	water_fire	nopen	23	0.954708	0	False	2000	0	5	0	planar	converged	3250	0.038899	0.954708	0.951704	0.957712	0.956982	2800	0.016347	0.983446	0.970321	23	5	30	5	22.863	0.00062725	31	2	15	325	375	950	14013.997	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_water_fire_penalty	water_fire	penalty	9	0.784019	0.01	False	2000	0	5	0	planar	converged	1075	0.178723	0.784019	0.728562	0.839476	0.784019	1075	0.034526	0.963041	0.812696	9	5	9	5	8.773	0.00116985	5	1	2	-1	-1	-1	1893.904	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_water_fire_prune	water_fire	prune	15	0.955215	0.0001	False	2000	0	5	0	planar	converged	2750	0.030448	0.964327	0.966088	0.962567	0.965879	2450	0.009068	0.990806	0.973063	16	5	21	5	17.459	0.00011397	23	1	28	250	350	425	8789.287	15	0.955215	0.037040	0.967010	0.987470	0.012360	0.954327	True	-	-	-	-	-
pc_water_fire_hinge	water_fire	hinge	8	0.894661	0	True	2000	200	5	0	planar	converged	1125	0.096193	0.894661	0.902391	0.886931	0.899849	825	0.039660	0.959423	0.930025	8	5	12	5	9.522	0.00056574	11	1	9	275	325	-1	2130.105	-	-	-	-	-	-	-	-	False	0.005339	8.057009	-1	-1
pc_acm_scf_nopen	acm_scf	nopen	24	0.770289	0	False	2000	0	5	0	planar	converged	1000	0.345602	0.770289	0.801585	0.738993	0.777153	625	0.117315	0.885936	0.858369	24	5	24	5	19.659	0.00000000	22	2	5	-1	-1	-1	3853.912	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_acm_scf_penalty	acm_scf	penalty	3	0.254437	0.01	False	2000	0	5	0	planar	converged	1000	1.009107	0.254437	0.113888	0.394985	0.255477	775	0.047118	0.852218	0.270244	3	5	7	3	3.341	0.00000000	0	2	4	-1	-1	-1	759.702	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_acm_scf_prune	acm_scf	prune	23	0.831825	0.0001	False	2000	0	5	0	planar	converged	1900	0.247894	0.838025	0.857061	0.818989	0.855589	1600	0.103488	0.905845	0.923368	25	5	25	5	21.286	0.00000209	25	2	31	1300	1475	-1	12802.907	23	0.831825	0.254568	0.919213	0.902796	0.106907	0.828025	True	-	-	-	-	-
pc_acm_scf_hinge	acm_scf	hinge	21	0.774496	0	True	2000	200	5	0	planar	converged	1525	0.345462	0.774496	0.745408	0.803584	0.779630	1225	0.105757	0.904505	0.858961	21	5	23	5	19.645	0.00000552	19	3	6	-1	-1	-1	5871.940	-	-	-	-	-	-	-	-	False	0.125504	52.502511	-1	-1
pc_siggraph_sigchi_nopen	siggraph_sigchi	nopen	25	0.849967	0	False	2000	0	5	0	planar	converged	3950	0.124490	0.849967	0.901980	0.797955	0.850403	3725	0.079762	0.920059	0.916050	25	5	28	5	24.270	0.00000311	34	4	18	3300	3650	-1	18177.906	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_siggraph_sigchi_penalty	siggraph_sigchi	penalty	11	0.585179	0.01	False	2000	0	5	0	planar	converged	1450	0.408706	0.585179	0.724324	0.446034	0.607736	1150	0.267981	0.747208	0.715910	11	5	12	5	10.288	0.00000000	7	2	3	-1	-1	-1	2896.393	-	-	-	-	-	-	-	-	-	-	-	-	-
