step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
750,725.811,0.450136,0.627601,0.675131,0.580071,20,0.00001347,0,0.051930,0.073340,0.030519,0.929759,0.908094,0.951425,0.661209,0.724645,0.597774,0.009669,0.008137,0.041585,0.099554
775,750.191,0.445504,0.631817,0.667424,0.596211,20,0.00000632,1,0.059341,0.090684,0.027998,0.922770,0.889225,0.956315,0.670426,0.727948,0.612903,0.011897,0.007596,0.043219,0.095535
800,774.978,0.448501,0.630513,0.662257,0.598769,20,0.00000903,1,0.058545,0.086224,0.030867,0.922671,0.892967,0.952375,0.668305,0.719359,0.617251,0.011392,0.008862,0.043778,0.095593
825,799.568,0.441666,0.631625,0.661933,0.601317,20,0.00001592,0,0.055794,0.081764,0.029823,0.925784,0.897516,0.954052,0.667653,0.716056,0.619250,0.010591,0.008109,0.043416,0.094452
850,824.778,0.439601,0.632376,0.660507,0.604244,20,0.00001100,1,0.055016,0.081599,0.028432,0.926869,0.897489,0.956248,0.667914,0.714404,0.621424,0.010681,0.007592,0.043727,0.093667
875,849.419,0.438590,0.633302,0.660372,0.606233,20,0.00000079,0,0.055676,0.084572,0.026780,0.926571,0.894389,0.958752,0.669344,0.716221,0.622468,0.011276,0.007012,0.044101,0.092951
900,874.058,0.439079,0.629858,0.654920,0.604796,20,0.00000076,0,0.052681,0.082755,0.022607,0.930115,0.895494,0.964736,0.663793,0.709118,0.618468,0.011014,0.005943,0.044770,0.093110
925,898.889,0.439527,0.628376,0.655357,0.601394,20,0.00000526,0,0.051690,0.080773,0.022607,0.931089,0.897634,0.964544,0.661641,0.708292,0.614990,0.010565,0.005788,0.044472,0.093859
950,923.669,0.437790,0.630243,0.659483,0.601002,20,0.00000009,0,0.052385,0.080773,0.023998,0.930340,0.898210,0.962469,0.664088,0.712752,0.615425,0.010680,0.005966,0.043881,0.093726
975,947.986,0.439428,0.631663,0.655304,0.608023,20,0.00000612,0,0.054220,0.085398,0.023041,0.928543,0.892805,0.964281,0.666649,0.711265,0.622033,0.011344,0.006624,0.044712,0.092779
1000,972.475,0.432024,0.632994,0.662262,0.603727,20,0.00000572,0,0.048408,0.074992,0.021824,0.935267,0.904702,0.965832,0.664414,0.711926,0.616903,0.009988,0.005220,0.043519,0.092884
1025,997.314,0.432808,0.631909,0.662916,0.600903,20,0.00003349,0,0.046408,0.071688,0.021129,0.937527,0.908342,0.966712,0.662019,0.710439,0.613599,0.009510,0.005127,0.043285,0.093658
1050,1022.476,0.427618,0.635319,0.658600,0.612038,20,0.00000204,0,0.049882,0.078461,0.021302,0.933783,0.900524,0.967043,0.667675,0.710274,0.625076,0.010310,0.005061,0.043924,0.090929
1075,1047.749,0.427333,0.634791,0.659398,0.610184,20,0.00004867,0,0.048391,0.075652,0.021129,0.935411,0.903620,0.967202,0.666180,0.709283,0.623076,0.009925,0.004959,0.043713,0.091278
1100,1072.786,0.427637,0.633127,0.662757,0.603497,20,0.00000083,0,0.044839,0.070202,0.019477,0.939627,0.909939,0.969315,0.662267,0.709283,0.615251,0.009065,0.004528,0.042996,0.092753
1125,1097.767,0.424235,0.637131,0.656801,0.617462,20,0.00001432,1,0.048960,0.077139,0.020781,0.934883,0.901684,0.968082,0.668880,0.707466,0.630293,0.010156,0.005110,0.044202,0.089573
1150,1123.074,0.423986,0.638112,0.659951,0.616274,20,0.00001739,0,0.048304,0.074001,0.022607,0.935418,0.905465,0.965370,0.669497,0.708788,0.630206,0.009918,0.005434,0.043720,0.089929
1175,1148.227,0.426847,0.636621,0.665688,0.607553,20,0.00000810,0,0.045735,0.069210,0.022259,0.938390,0.911379,0.965401,0.666419,0.711761,0.621076,0.009168,0.005426,0.042870,0.092114
1200,1173.073,0.421529,0.641968,0.661364,0.622571,20,0.00000853,1,0.052320,0.079947,0.024694,0.931034,0.899334,0.962735,0.676092,0.714239,0.637945,0.010624,0.005990,0.043689,0.088512
1225,1198.384,0.419421,0.641517,0.662312,0.620722,20,0.00001778,0,0.049243,0.074661,0.023824,0.934464,0.905062,0.963867,0.673635,0.711761,0.635510,0.009915,0.005475,0.043408,0.088700
1250,1223.224,0.421272,0.639433,0.662191,0.616675,20,0.00002587,0,0.045661,0.070367,0.020955,0.938739,0.909688,0.967789,0.669193,0.708788,0.629597,0.009344,0.005104,0.043304,0.089889
