job_id	job_name	pair	arm	output_dir
4216546	h2c_sun_moon_hinge2	sun_moon	hinge2	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_sun_moon_hinge2
4216547	h2c_sun_moon_prune	sun_moon	prune	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_sun_moon_prune
4216548	h2c_sun_moon_base	sun_moon	base	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_sun_moon_base
4216549	h2c_water_fire_hinge2	water_fire	hinge2	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_water_fire_hinge2
4216550	h2c_water_fire_prune	water_fire	prune	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_water_fire_prune
4216551	h2c_water_fire_base	water_fire	base	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_water_fire_base
4216552	h2c_cat_face_bass_hinge2	cat_face_bass	hinge2	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_cat_face_bass_hinge2
4216553	h2c_cat_face_bass_prune	cat_face_bass	prune	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_cat_face_bass_prune
4216554	h2c_cat_face_bass_base	cat_face_bass	base	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_cat_face_bass_base
4216555	h2c_dance_argument_hinge2	dance_argument	hinge2	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_dance_argument_hinge2
4216556	h2c_dance_argument_prune	dance_argument	prune	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_dance_argument_prune
4216557	h2c_dance_argument_base	dance_argument	base	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_dance_argument_base
4216558	h2c_horse_circle_hinge2	horse_circle	hinge2	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_horse_circle_hinge2
4216559	h2c_horse_circle_prune	horse_circle	prune	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_horse_circle_prune
4216560	h2c_horse_circle_base	horse_circle	base	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_horse_circle_base
4216561	h2c_acm_scf_hinge2	acm_scf	hinge2	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_acm_scf_hinge2
4216562	h2c_acm_scf_prune	acm_scf	prune	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_acm_scf_prune
4216563	h2c_acm_scf_base	acm_scf	base	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_acm_scf_base
4216564	h2c_teapot_droplets_hinge2	teapot_droplets	hinge2	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_teapot_droplets_hinge2
4216565	h2c_teapot_droplets_prune	teapot_droplets	prune	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_teapot_droplets_prune
4216566	h2c_teapot_droplets_base	teapot_droplets	base	/oscar/home/cjmok/aps-hinge2/results/h2compare/h2c_20260723_1050/h2c_teapot_droplets_base
