job	pair	arm	count_target_iou	count_lambda	count_power	count_margin_reward	count_hard_floor	count_start_mode	delete_eval_steps	shed_patience_evals	seed	stop_reason	final_step	count_target_reached	count_final_deficit	final_mean_iou	best_mean_iou	final_patches	shed_entered_step	shed_entry_patches	shed_entry_mean_iou	shed_evals	min_iou_after_target	patches_at_threshold	patches_shed_after_threshold	start_patches	max_patches	min_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
h2_sun_moon_l200	sun_moon	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1875	False	0.057900	0.852100	0.873031	16	-1	-1	-1	0	-1	-1	-1	20	20	16	0.055161	0.941412	0.897593	0.00205628	0	0	4	6102.014
h2_sun_moon_l2000	sun_moon	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1575	False	0.047240	0.862760	0.866016	18	-1	-1	-1	0	-1	-1	-1	20	20	18	0.042178	0.954633	0.898445	0.00113611	0	0	2	5532.142
h2_sun_moon_l500	sun_moon	l500	0.91	500	1	5	True	on_target	15	8	0	converged	2000	False	0.041277	0.868723	0.868723	17	-1	-1	-1	0	-1	-1	-1	20	20	17	0.031531	0.964050	0.893788	0.00019646	0	0	3	10772.083
h2_water_fire_l200	water_fire	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1800	False	0.011098	0.898902	0.900101	17	-1	-1	-1	0	-1	-1	-1	20	20	17	0.018928	0.979779	0.915934	0.00000003	0	0	3	6313.716
h2_water_fire_l2000	water_fire	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1000	False	0.020943	0.889057	0.892525	18	-1	-1	-1	0	-1	-1	-1	20	20	18	0.040279	0.958379	0.924797	0.00001905	0	0	2	3630.040
h2_water_fire_l500	water_fire	l500	0.91	500	1	5	True	on_target	15	8	0	shed_converged	2875	True	0.000000	0.922222	0.938815	12	1200	18	0.938235	68	0.835827	18	6	20	20	12	0.044290	0.956025	0.963054	0.00117613	0	0	8	15804.594
h2_cat_face_bass_l200	cat_face_bass	l200	0.91	200	1	5	True	on_target	15	8	0	shed_converged	2125	True	0.000000	0.912948	0.931187	11	1600	17	0.931187	22	0.899843	19	8	20	20	11	0.037726	0.962432	0.946881	0.00018694	0	0	9	7466.813
h2_cat_face_bass_l2000	cat_face_bass	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1025	True	0.000000	0.918662	0.922410	17	-1	-1	-1	0	0.911001	18	1	20	20	17	0.037892	0.961983	0.953435	0.00097517	0	0	3	3425.001
h2_cat_face_bass_l500	cat_face_bass	l500	0.91	500	1	5	True	on_target	15	8	0	shed_converged	2100	True	0.000000	0.916665	0.930557	8	825	18	0.930557	52	0.898100	18	10	20	20	8	0.017714	0.981309	0.932570	0.00049848	0	0	12	6423.062
h2_dance_argument_l200	dance_argument	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1750	False	0.067446	0.842554	0.850171	20	-1	-1	-1	0	-1	-1	-1	20	20	20	0.067857	0.929035	0.897480	0.00024427	0	0	0	10779.693
