pair,arm,patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
sun_moon,prune,27,-1,0.161003,0.878213,0.874458,0.881968,0.917790,0.954346,0.045181
sun_moon,prune,26,8,0.162346,0.875073,0.871121,0.879025,0.913781,0.954745,0.044345
sun_moon,prune,25,9,0.151311,0.881751,0.881513,0.881988,0.915596,0.960609,0.038390
sun_moon,prune,24,3,0.149831,0.881188,0.881145,0.881231,0.913759,0.961907,0.036964
sun_moon,prune,23,23,0.152037,0.880914,0.881722,0.880107,0.914397,0.960805,0.037992
sun_moon,prune,22,20,0.152806,0.880164,0.877660,0.882669,0.912799,0.961565,0.037132
sun_moon,prune,21,13,0.153859,0.878685,0.876548,0.880822,0.911464,0.961230,0.037349
sun_moon,prune,20,12,0.153438,0.878881,0.874846,0.882915,0.911439,0.961349,0.037123
sun_moon,prune,19,8,0.157529,0.874930,0.874540,0.875321,0.908069,0.960625,0.037884
sun_moon,prune,18,18,0.163115,0.870052,0.867480,0.872623,0.902250,0.961076,0.037058
sun_moon,prune,17,9,0.163927,0.868484,0.864543,0.872425,0.897834,0.964176,0.033874
sun_moon,prune,16,11,0.171303,0.862010,0.855206,0.868814,0.892702,0.961931,0.035734
sun_moon,prune,15,12,0.181952,0.852590,0.858344,0.846835,0.884214,0.960486,0.036982
sun_moon,prune,14,0,0.199559,0.835254,0.822049,0.848460,0.863200,0.962789,0.033739
sun_moon,prune,13,4,0.217280,0.811019,0.823505,0.798533,0.830026,0.973841,0.023167
sun_moon,prune,12,10,0.238325,0.796379,0.788095,0.804663,0.817790,0.968447,0.027059
sun_moon,prune,11,6,0.259495,0.776183,0.750052,0.802315,0.794830,0.970071,0.024599
sun_moon,prune,10,6,0.283855,0.755900,0.708714,0.803086,0.774709,0.967165,0.025859
sun_moon,prune,9,7,0.306553,0.737515,0.670126,0.804904,0.755042,0.966498,0.025221
sun_moon,prune,8,6,0.330182,0.718563,0.628746,0.808380,0.737272,0.961035,0.028209
sun_moon,prune,7,3,0.354458,0.693996,0.626452,0.761540,0.710932,0.963470,0.025919
sun_moon,prune,6,5,0.381394,0.671957,0.590349,0.753565,0.688331,0.960963,0.026421
sun_moon,prune,5,1,0.413962,0.643301,0.552055,0.734548,0.660594,0.954831,0.029258
sun_moon,prune,4,4,0.449030,0.611657,0.520885,0.702430,0.628126,0.952516,0.029254
sun_moon,prune,3,2,0.482248,0.575241,0.525054,0.625428,0.588262,0.959404,0.024140
sun_moon,prune,2,0,0.543809,0.516654,0.511442,0.521867,0.529681,0.954943,0.025347
sun_moon,prune,1,1,0.727083,0.352850,0.187342,0.518357,0.358146,0.930227,0.018497
horse_circle,prune,34,-1,0.192342,0.914574,0.848356,0.980792,0.980840,0.929622,0.076819
horse_circle,prune,33,11,0.191013,0.912887,0.842067,0.983707,0.978066,0.930165,0.076430
horse_circle,prune,32,8,0.188094,0.915305,0.843918,0.986693,0.980150,0.930851,0.076015
horse_circle,prune,31,17,0.191085,0.913073,0.840176,0.985971,0.978358,0.930021,0.076865
horse_circle,prune,30,17,0.191240,0.913189,0.841001,0.985376,0.978406,0.930204,0.076746
horse_circle,prune,29,18,0.191344,0.912881,0.840179,0.985582,0.978092,0.930050,0.076751
horse_circle,prune,28,23,0.193823,0.912327,0.840907,0.983747,0.977817,0.929898,0.077030
horse_circle,prune,27,24,0.197994,0.911177,0.839177,0.983177,0.978998,0.927673,0.079858
horse_circle,prune,26,18,0.200858,0.909025,0.835856,0.982193,0.976761,0.927312,0.080071
horse_circle,prune,25,3,0.198860,0.907636,0.847438,0.967833,0.970405,0.932762,0.073336
horse_circle,prune,24,11,0.197475,0.908029,0.844454,0.971605,0.970014,0.933179,0.072700
horse_circle,prune,23,21,0.199280,0.908219,0.842792,0.973646,0.972182,0.931324,0.075144
horse_circle,prune,22,2,0.199838,0.907093,0.840613,0.973574,0.971087,0.931052,0.075384
horse_circle,prune,21,13,0.203045,0.905013,0.836088,0.973938,0.969715,0.929775,0.076498
horse_circle,prune,20,12,0.201757,0.907068,0.837783,0.976353,0.971937,0.929904,0.076565
horse_circle,prune,19,16,0.208945,0.901508,0.826815,0.976201,0.965674,0.929157,0.076739
horse_circle,prune,18,17,0.214723,0.897130,0.812292,0.981968,0.959678,0.928949,0.076400
horse_circle,prune,17,2,0.222374,0.892876,0.806051,0.979700,0.955647,0.927762,0.077062
horse_circle,prune,16,15,0.228741,0.890252,0.799789,0.980715,0.954021,0.925931,0.078706
horse_circle,prune,15,5,0.246423,0.880620,0.785293,0.975946,0.946570,0.921672,0.082447
horse_circle,prune,14,11,0.255415,0.875159,0.772243,0.978076,0.939406,0.921358,0.081678
horse_circle,prune,13,13,0.274066,0.863053,0.749758,0.976348,0.926459,0.918613,0.082599
horse_circle,prune,12,3,0.287207,0.855281,0.734021,0.976541,0.918075,0.916669,0.083416
horse_circle,prune,11,10,0.305876,0.842480,0.707199,0.977760,0.903094,0.914323,0.083431
horse_circle,prune,10,7,0.327097,0.829869,0.696051,0.963686,0.889000,0.913691,0.083070
horse_circle,prune,9,8,0.342732,0.818532,0.670197,0.966866,0.876081,0.910554,0.083922
horse_circle,prune,8,8,0.366765,0.799687,0.627819,0.971555,0.850938,0.908941,0.080837
horse_circle,prune,7,7,0.401047,0.773401,0.620448,0.926355,0.817497,0.916497,0.070990
horse_circle,prune,6,4,0.436842,0.751720,0.578879,0.924561,0.794579,0.909225,0.073444
horse_circle,prune,5,0,0.468317,0.736084,0.587858,0.884311,0.780030,0.909633,0.074155
horse_circle,prune,4,3,0.524385,0.697556,0.501254,0.893857,0.736054,0.895657,0.075975
horse_circle,prune,3,0,0.584949,0.655949,0.425722,0.886176,0.687677,0.884919,0.072845
horse_circle,prune,2,0,0.673458,0.609332,0.409587,0.809077,0.640946,0.877745,0.076248
horse_circle,prune,1,0,0.878781,0.483608,0.253128,0.714087,0.503161,0.827959,0.076523
cat_face_bass,prune,23,-1,0.145563,0.908431,0.915566,0.901296,0.958106,0.946259,0.054815
cat_face_bass,prune,22,17,0.112829,0.923885,0.911015,0.936756,0.955788,0.965042,0.034605
cat_face_bass,prune,21,12,0.105555,0.928550,0.912814,0.944286,0.958607,0.967196,0.032510
cat_face_bass,prune,20,2,0.105144,0.928194,0.914655,0.941732,0.955228,0.970307,0.029228
