job	pair	arm	kept_patches	kept_mean_iou	lambda_count	lambda_mode	seed	overlap_mode	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_spill	final_mean_precision	final_mean_coverage	final_patches	start_patches	max_patches	min_patches	mean_patches	final_overlap	srd_total_adds	srd_total_deletes	total_seconds	pruned_patches	pruned_mean_iou	pruned_loss	pruned_mean_coverage	pruned_mean_precision	pruned_mean_spill	pruned_threshold	pruned_target_reached
pp_acm_scf_penalty	acm_scf	penalty	23	0.678495	0.01	fixed	0	planar	converged	1125	0.520320	0.678495	0.668931	0.688059	0.680169	875	0.162737	0.842372	0.789834	23	20	23	20	22.870	0.00003428	3	0	4855.583	-	-	-	-	-	-	-	-
pp_acm_scf_prune	acm_scf	prune	25	0.832793	0.0001	fixed	0	planar	converged	1300	0.284461	0.817566	0.886631	0.748501	0.834830	1050	0.140120	0.873711	0.926218	36	20	36	20	30.868	0.00031583	22	41	7859.231	25	0.832793	0.244467	0.909598	0.907249	0.094769	0.830903	True
pp_siggraph_sigchi_nopen	siggraph_sigchi	nopen	23	0.822986	0	fixed	0	planar	converged	2300	0.149210	0.822986	0.860607	0.785365	0.830869	1975	0.084206	0.916008	0.890410	23	20	25	20	23.194	0.00043166	14	11	10241.994	-	-	-	-	-	-	-	-
pp_siggraph_sigchi_penalty	siggraph_sigchi	penalty	21	0.729198	0.01	fixed	0	planar	converged	1100	0.228029	0.729198	0.816727	0.641669	0.740443	675	0.117970	0.874049	0.809416	21	20	25	20	22.156	0.00015279	9	8	4533.681	-	-	-	-	-	-	-	-
pp_siggraph_sigchi_prune	siggraph_sigchi	prune	20	0.849072	0.0001	fixed	0	planar	converged	1925	0.113560	0.857944	0.904340	0.811547	0.869757	1625	0.072410	0.927691	0.918302	26	20	30	20	26.923	0.00018160	22	41	15780.084	20	0.849072	0.116557	0.907967	0.927575	0.071851	0.847944	True
pp_crane_crab_nopen	crane_crab	nopen	28	0.787077	0	fixed	0	planar	converged	1975	0.172151	0.787077	0.748517	0.825638	0.794718	1675	0.090598	0.908091	0.856103	28	20	30	20	26.950	0.00021799	25	17	16645.255	-	-	-	-	-	-	-	-
pp_crane_crab_penalty	crane_crab	penalty	16	0.742924	0.01	fixed	0	planar	converged	2250	0.214112	0.742924	0.705619	0.780229	0.747377	1800	0.103512	0.891363	0.817639	16	20	24	16	18.286	0.00004113	4	8	7857.933	-	-	-	-	-	-	-	-
pp_crane_crab_prune	crane_crab	prune	24	0.810604	0.0001	fixed	0	planar	converged	2150	0.152050	0.816900	0.786559	0.847241	0.816900	2150	0.082436	0.916624	0.882909	26	20	33	20	27.379	0.00002108	28	47	11281.962	24	0.810604	0.153067	0.871910	0.919984	0.077502	0.806900	True
pp_teapot_droplets_nopen	teapot_droplets	nopen	32	0.827519	0	fixed	0	planar	converged	1500	0.127357	0.827519	0.921648	0.733389	0.851324	1275	0.149394	0.876575	0.938400	32	20	34	20	30.492	0.00026373	26	14	8892.694	-	-	-	-	-	-	-	-
pp_teapot_droplets_penalty	teapot_droplets	penalty	21	0.737527	0.01	fixed	0	planar	converged	1000	0.201643	0.737527	0.847619	0.627435	0.737527	1000	0.171101	0.849905	0.846701	21	20	23	20	20.317	0.00001513	7	6	3809.420	-	-	-	-	-	-	-	-
pp_teapot_droplets_prune	teapot_droplets	prune	26	0.827353	0.0001	fixed	0	planar	converged	1675	0.146236	0.800396	0.910316	0.690476	0.836729	1200	0.162780	0.864276	0.914434	29	20	31	20	27.971	0.00003131	28	47	8265.375	26	0.827353	0.120351	0.912550	0.897836	0.112894	0.826326	True
pp_dancer_guitar_nopen	dancer_guitar	nopen	22	0.866731	0	fixed	0	planar	converged	1225	0.103099	0.866731	0.845494	0.887967	0.881820	925	0.058945	0.939860	0.917424	22	20	28	20	25.040	0.00002676	17	15	5770.264	-	-	-	-	-	-	-	-
pp_dancer_guitar_penalty	dancer_guitar	penalty	16	0.831263	0.01	fixed	0	planar	converged	1975	0.127033	0.831263	0.809333	0.853192	0.849722	1775	0.055900	0.940502	0.877250	16	20	23	16	18.800	0.00102479	3	7	6863.165	-	-	-	-	-	-	-	-
pp_dancer_guitar_prune	dancer_guitar	prune	14	0.898145	0.0001	fixed	0	planar	converged	1725	0.083573	0.891014	0.870857	0.911170	0.891901	1175	0.046098	0.954061	0.931448	22	20	29	20	24.286	0.00002641	19	38	7907.860	14	0.898145	0.073270	0.926699	0.967031	0.031883	0.892717	True
pp_dance_argument_nopen	dance_argument	nopen	28	0.892229	0	fixed	0	planar	converged	2375	0.134874	0.892229	0.849538	0.934920	0.895747	2225	0.068891	0.933507	0.952039	28	20	31	20	27.729	0.00003455	13	5	12925.990	-	-	-	-	-	-	-	-
pp_dance_argument_penalty	dance_argument	penalty	25	0.853184	0.01	fixed	0	planar	converged	1125	0.169359	0.853184	0.791711	0.914658	0.859273	825	0.059602	0.937503	0.902531	25	20	26	20	24.739	0.00003290	6	1	5313.717	-	-	-	-	-	-	-	-
pp_dance_argument_prune	dance_argument	prune	25	0.879955	0.0001	fixed	0	planar	converged	1275	0.170661	0.865795	0.825146	0.906445	0.877095	1025	0.081653	0.921630	0.934532	37	20	38	20	30.077	0.00008765	28	47	7146.213	25	0.879955	0.141225	0.921813	0.950535	0.048460	0.879775	True
