job	pair	arm	config	seed	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_sun_moon_noswept_hinge2_aw0p1875	sun_moon	noswept_hinge2	aw0p1875	0	converged	1500	0.286881	0.830151	0.739996	0.920306	0.864002	800	0.91103	0.941071	18	20	20	18	18.590	0.086055	0.911608	0.897757	0.00048586	0	0	2	5246.694
neg_water_fire_noswept_hinge2_aw0p1875	water_fire	noswept_hinge2	aw0p1875	0	converged	1500	0.152736	0.880680	0.915142	0.846217	0.884646	975	0.915321	0.920876	18	20	20	18	18.295	0.094919	0.910852	0.963193	0.00008974	0	0	2	4969.563
neg_cat_face_bass_noswept_hinge2_aw0p1875	cat_face_bass	noswept_hinge2	aw0p1875	0	shed_converged	1750	0.127947	0.917310	0.905273	0.929347	0.931936	1225	0.965662	0.966978	8	20	21	8	15.296	0.031387	0.967868	0.946071	0.00026320	0	1	13	5571.327
neg_dance_argument_noswept_hinge2_aw0p1875	dance_argument	noswept_hinge2	aw0p1875	0	converged	1500	0.249607	0.829955	0.778338	0.881573	0.835679	625	0.916172	0.920064	20	20	20	20	20.000	0.079050	0.919096	0.893718	0.00002959	0	0	0	5934.978
neg_horse_circle_noswept_hinge2_aw0p1875	horse_circle	noswept_hinge2	aw0p1875	0	converged	1525	0.189963	0.901344	0.830234	0.972454	0.910777	1325	0.944908	0.962375	17	20	20	17	18.806	0.055780	0.944466	0.948821	0.00003143	0	0	3	5079.776
neg_acm_scf_noswept_hinge2_aw0p1875	acm_scf	noswept_hinge2	aw0p1875	0	converged	2825	0.322221	0.793741	0.791191	0.796291	0.794817	2750	0.869443	0.872352	18	20	20	18	18.719	0.140601	0.876553	0.905576	0.00000000	0	0	2	9434.075
neg_teapot_droplets_noswept_hinge2_aw0p1875	teapot_droplets	noswept_hinge2	aw0p1875	0	converged	1875	0.263027	0.749609	0.882926	0.616291	0.771114	1325	0.805258	0.835077	19	20	20	19	19.158	0.228352	0.822105	0.893749	0.00012645	0	0	1	6829.471
