step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
750,4658.194,0.449347,0.719285,0.644075,0.794494,20,0.00000028,0,0.113123,0.040124,0.186122,0.889280,0.943490,0.835069,0.806143,0.669918,0.942367,0.014955,0.025467,0.100900,0.028671
775,4700.309,0.447031,0.722419,0.646160,0.798678,20,0.00000551,0,0.112915,0.040198,0.185633,0.889832,0.943568,0.836096,0.809537,0.672135,0.946939,0.015018,0.025517,0.100391,0.028351
800,4971.654,0.447987,0.721265,0.643218,0.799311,20,0.00000651,0,0.111162,0.037833,0.184490,0.891641,0.946365,0.836917,0.807164,0.667553,0.946776,0.014360,0.025492,0.101113,0.028288
825,5013.725,0.448713,0.720576,0.644315,0.796836,20,0.00000453,0,0.114714,0.042489,0.186939,0.887737,0.940507,0.834967,0.808744,0.671691,0.945796,0.014977,0.025787,0.100453,0.028735
850,5285.867,0.451681,0.721144,0.644933,0.797355,20,0.00000334,0,0.113890,0.042637,0.185143,0.888274,0.940374,0.836175,0.808705,0.672430,0.944980,0.015847,0.025885,0.100881,0.028813
875,5327.679,0.447655,0.720320,0.646812,0.793827,20,0.00000792,0,0.114905,0.039607,0.190204,0.888399,0.944375,0.832422,0.808623,0.672430,0.944816,0.014713,0.025926,0.100042,0.028855
900,5601.245,0.449496,0.719567,0.642660,0.796475,20,0.00000361,0,0.114541,0.043449,0.185633,0.887433,0.939149,0.835717,0.807455,0.670583,0.944327,0.015694,0.025083,0.101222,0.028221
925,5643.264,0.451441,0.720352,0.646272,0.794432,20,0.00000533,0,0.116990,0.043449,0.190531,0.885898,0.939469,0.832328,0.810074,0.674352,0.945796,0.015888,0.026292,0.100280,0.029109
950,5915.421,0.446694,0.722294,0.649762,0.794826,20,0.00000632,0,0.115842,0.038868,0.192816,0.888275,0.945554,0.830996,0.811549,0.675017,0.948082,0.014689,0.026488,0.099327,0.028981
975,5957.515,0.443123,0.725471,0.648593,0.802350,20,0.00000195,0,0.110527,0.039829,0.181224,0.891858,0.944238,0.839479,0.811090,0.674425,0.947755,0.015224,0.025035,0.099824,0.027753
1000,6233.540,0.442463,0.726532,0.649332,0.803732,20,0.00000393,0,0.110674,0.040124,0.181224,0.891817,0.943922,0.839711,0.812387,0.675386,0.949388,0.015243,0.025246,0.099655,0.027588
1025,6275.476,0.441274,0.729119,0.653464,0.804774,20,0.00000186,0,0.115526,0.041011,0.190041,0.888782,0.943141,0.834424,0.818989,0.680263,0.957714,0.015416,0.026481,0.098408,0.027734
1050,6548.742,0.440615,0.728881,0.656214,0.801547,20,0.00000264,0,0.121006,0.039237,0.202776,0.885908,0.945594,0.826221,0.823022,0.681963,0.964082,0.014863,0.027754,0.097470,0.028092
1075,6590.654,0.442596,0.728178,0.655077,0.801279,20,0.00000313,0,0.121925,0.043523,0.200327,0.883881,0.940142,0.827620,0.822692,0.683588,0.961796,0.015743,0.027577,0.097635,0.028236
1100,6863.989,0.445992,0.725976,0.657919,0.794034,20,0.00001596,0,0.124357,0.044632,0.204082,0.881557,0.939021,0.824092,0.821682,0.687283,0.956082,0.016358,0.028135,0.097151,0.029262
1125,6905.956,0.443098,0.727601,0.662365,0.792837,20,0.00001584,0,0.122811,0.042193,0.203429,0.883329,0.942399,0.824260,0.822218,0.690313,0.954122,0.016114,0.028009,0.096208,0.029426
1150,7179.991,0.443834,0.726830,0.662321,0.791339,20,0.00000602,0,0.122772,0.042932,0.202612,0.882977,0.941485,0.824470,0.821215,0.690756,0.951673,0.016328,0.027920,0.096272,0.029547
1175,7222.229,0.440068,0.729994,0.664305,0.795683,20,0.00000039,0,0.122883,0.043154,0.202612,0.883319,0.941377,0.825260,0.824935,0.692973,0.956898,0.016345,0.027980,0.095507,0.029019
1200,7498.165,0.432837,0.735524,0.672651,0.798396,20,0.00000286,0,0.123175,0.045371,0.200980,0.883053,0.939388,0.826717,0.831014,0.703170,0.958857,0.016971,0.027781,0.093235,0.028667
1225,7540.887,0.425752,0.740177,0.681603,0.798752,20,0.00000044,0,0.124310,0.045518,0.203102,0.882743,0.939961,0.825526,0.836804,0.712628,0.960980,0.017084,0.028005,0.090751,0.028622
1250,7814.466,0.433939,0.736613,0.682363,0.790863,20,0.00000000,0,0.133432,0.048252,0.218612,0.875955,0.936804,0.815106,0.839522,0.715289,0.963755,0.017908,0.030007,0.090652,0.030037
1275,7856.622,0.433321,0.736918,0.685549,0.788287,20,0.00000000,0,0.135010,0.046183,0.223837,0.875589,0.939502,0.811676,0.840972,0.717210,0.964735,0.017445,0.030748,0.089811,0.030533
1300,8133.156,0.435650,0.735619,0.684608,0.786631,20,0.00000000,0,0.134369,0.047513,0.221224,0.875341,0.937862,0.812819,0.838894,0.717136,0.960653,0.017863,0.030575,0.090112,0.030887
