patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
26,-1,0.152050,0.816900,0.786559,0.847241,0.882909,0.916624,0.082436
25,5,0.156809,0.807642,0.775087,0.840197,0.872550,0.915963,0.082163
24,15,0.153067,0.810604,0.774521,0.846687,0.871910,0.919984,0.077502
23,22,0.158374,0.802100,0.762471,0.841730,0.863075,0.918495,0.078099
22,2,0.158695,0.803933,0.764401,0.843466,0.869365,0.913992,0.083574
21,21,0.164001,0.793416,0.752676,0.834157,0.853905,0.917508,0.078528
20,10,0.167499,0.790922,0.742808,0.839036,0.856690,0.910155,0.085801
19,5,0.163342,0.788682,0.732220,0.845144,0.850736,0.913202,0.081997
18,10,0.171287,0.783879,0.731553,0.836204,0.849373,0.908666,0.086557
17,15,0.170634,0.783363,0.729274,0.837453,0.849099,0.908291,0.087308
16,16,0.175169,0.778681,0.729807,0.827554,0.843181,0.909092,0.085636
15,13,0.182515,0.773756,0.728838,0.818675,0.839212,0.907389,0.087208
14,10,0.185386,0.770936,0.732398,0.809474,0.836536,0.907511,0.087474
13,9,0.190735,0.766312,0.732855,0.799769,0.829635,0.909820,0.084707
12,3,0.203957,0.752556,0.727194,0.777918,0.815131,0.908773,0.084761
11,10,0.211468,0.742715,0.723722,0.761709,0.801930,0.912060,0.081012
10,3,0.222523,0.717255,0.675058,0.759452,0.771010,0.910441,0.077604
9,3,0.228545,0.704131,0.652996,0.755265,0.754595,0.910891,0.074735
8,7,0.249939,0.681149,0.649381,0.712917,0.726188,0.915956,0.067750
7,5,0.269147,0.651684,0.608863,0.694506,0.692847,0.914368,0.065419
6,6,0.297421,0.605605,0.542373,0.668837,0.642496,0.908224,0.063911
5,5,0.318936,0.556663,0.466467,0.646859,0.583901,0.911342,0.053977
4,0,0.350508,0.534289,0.474141,0.594437,0.563224,0.905931,0.057453
3,3,0.398448,0.491226,0.473874,0.508579,0.517399,0.906876,0.054255
2,2,0.474006,0.390354,0.392879,0.387829,0.403977,0.922203,0.034803
1,0,0.552808,0.282327,0.289573,0.275080,0.289601,0.920370,0.025537
