config	arm	n	final_mean_iou	best_mean_iou	final_mean_tversky	best_mean_tversky	final_patches	max_patches	final_mean_spill	final_mean_coverage	srd_total_deletes	final_step	total_seconds
silonly	srd	3	0.552395	0.588629	0.576093	0.683416	37.6667	37.6667	0.825047	0.999901	4.33333	1650	15128.8
awflip	srd	3	0.835202	0.842113	0.844491	0.851098	22.3333	29.3333	0.20443	0.999142	15	1916.67	13597.7
