job	pair	arm	config	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_sun_moon_srd_restart_nonorm4	sun_moon	srd_restart	nonorm4	converged	2025	0.105187	0.760038	0.693190	0.826885	0.763328	1925	0.952769	0.954536	16	20	20	16	17.268	0.017404	0.977870	0.773295	0.00001403	0	0	4	7041.084
neg_water_fire_srd_restart_nonorm4	water_fire	srd_restart	nonorm4	converged	1825	0.026235	0.924426	0.906044	0.942809	0.929518	1675	0.983153	0.984842	17	20	20	17	17.946	0.010447	0.988888	0.933983	0.00000514	0	0	3	6437.296
neg_cat_face_bass_srd_restart_nonorm4	cat_face_bass	srd_restart	nonorm4	converged	2700	0.072600	0.902773	0.918533	0.887013	0.908405	1950	0.970778	0.971224	18	20	20	18	18.495	0.022304	0.976407	0.922918	0.00005644	0	0	2	9837.547
neg_dance_argument_srd_restart_nonorm4	dance_argument	srd_restart	nonorm4	converged	1625	0.118253	0.772813	0.779122	0.766504	0.792659	1325	0.936228	0.939675	16	20	20	16	17.030	0.038892	0.955566	0.803033	0.00003533	0	0	4	5581.304
neg_horse_circle_srd_restart_nonorm4	horse_circle	srd_restart	nonorm4	converged	1800	0.083768	0.869933	0.759353	0.980513	0.869933	1800	0.970877	0.972003	17	20	20	17	17.384	0.016492	0.980512	0.883430	0.00033983	0	0	3	6194.592
neg_acm_scf_srd_restart_nonorm4	acm_scf	srd_restart	nonorm4	converged	1650	0.202299	0.579270	0.441207	0.717333	0.580385	1350	0.906989	0.909291	14	20	20	14	15.821	0.022528	0.965677	0.593807	0.00000025	0	0	6	5332.183
neg_teapot_droplets_srd_restart_nonorm4	teapot_droplets	srd_restart	nonorm4	converged	2325	0.112552	0.638877	0.582732	0.695021	0.653224	1875	0.898987	0.909212	19	20	20	19	19.170	0.047306	0.942264	0.671377	0.00000000	0	0	1	8855.011
neg_sun_moon_hinge2_restart_nonorm4	sun_moon	hinge2_restart	nonorm4	converged	2250	0.100112	0.762679	0.703117	0.822240	0.771696	1650	0.954986	0.956355	15	20	20	15	17.242	0.015507	0.980241	0.774496	0.00001284	0	0	5	8039.977
neg_water_fire_hinge2_restart_nonorm4	water_fire	hinge2_restart	nonorm4	shed_converged	2100	0.022547	0.921614	0.934695	0.908533	0.934457	1500	0.98679	0.988009	9	20	20	9	16.482	0.005648	0.993917	0.926769	0.00000059	0	0	11	7407.096
neg_cat_face_bass_hinge2_restart_nonorm4	cat_face_bass	hinge2_restart	nonorm4	converged	2350	0.086341	0.876527	0.890576	0.862479	0.883789	2050	0.963971	0.972364	17	20	20	17	18.305	0.026173	0.971692	0.899399	0.00008167	0	0	3	13485.876
neg_dance_argument_hinge2_restart_nonorm4	dance_argument	hinge2_restart	nonorm4	converged	2425	0.116927	0.709079	0.661900	0.756258	0.754408	2025	0.937096	0.942169	15	20	20	15	15.633	0.023517	0.967961	0.724993	0.00121881	0	0	5	7563.043
neg_horse_circle_hinge2_restart_nonorm4	horse_circle	hinge2_restart	nonorm4	converged	2250	0.110806	0.808939	0.815648	0.802230	0.821711	1875	0.967395	0.971082	15	20	20	15	15.923	0.010311	0.987745	0.817329	0.00068833	0	0	5	7270.554
neg_acm_scf_hinge2_restart_nonorm4	acm_scf	hinge2_restart	nonorm4	converged	2050	0.190002	0.626971	0.504884	0.749058	0.649436	1750	0.915287	0.922143	15	20	20	15	17.072	0.026998	0.962390	0.645526	0.00000358	0	0	5	6655.946
neg_teapot_droplets_hinge2_restart_nonorm4	teapot_droplets	hinge2_restart	nonorm4	converged	2450	0.084305	0.722785	0.776609	0.668961	0.723249	2200	0.914064	0.914064	16	20	20	16	17.051	0.052375	0.936374	0.758383	0.00000000	0	0	4	8482.190
