config	arm	n	final_mean_iou	best_mean_iou	final_mean_tversky	best_mean_tversky	final_patches	max_patches	final_mean_spill	final_mean_coverage	srd_total_deletes	final_step	total_seconds
nonorm4	srd_restart	7	0.778304	0.78535	0.945683	0.948683	16.7143	20	0.0250533	0.797406	3.28571	1992.86	7039.86
nonorm4	hinge2_restart	7	0.775513	0.791249	0.948513	0.952312	14.5714	20	0.0229327	0.792414	5.42857	2267.86	8414.95
